Configuration,Expected output class,Cases,Output accuracy,Balanced accuracy,Macro recall,Permitted-answer accuracy,Controlled-failure correctness,Citation coverage,Support precision,Page correctness,Safety findings,Tokens,Mean latency,Runtime/parser/provider errors
C0,AGGREGATE_RESULT,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,23075,2579.608187,0
C0,CLARIFICATION,3,0.0,0.0,0.0,,0.0,0.0,,,0,5962,3421.724033,0
C0,CONSTRAINED_ANSWER,9,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0,9194,3318.638111,0
C0,FULL_ANSWER,87,1.0,1.0,1.0,0.448276,,0.563218,0.502762,0.403315,0,113876,2981.498141,0
C0,REFUSE_AGGREGATION_THRESHOLD,3,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,3,3859,2815.048333,0
C0,REFUSE_INSUFFICIENT_EVIDENCE,9,0.0,0.0,0.0,,0.0,0.0,0.333333,0.0,0,11831,2488.600022,0
C1,AGGREGATE_RESULT,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,23149,5131.359133,0
C1,CLARIFICATION,3,0.0,0.0,0.0,,0.0,0.0,,,0,6624,5537.1639,0
C1,CONSTRAINED_ANSWER,9,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0,9174,7324.512422,0
C1,FULL_ANSWER,87,1.0,1.0,1.0,0.436782,,0.528736,0.572368,0.447368,0,108918,5651.324393,0
C1,REFUSE_AGGREGATION_THRESHOLD,3,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,3,3918,5668.327567,0
C1,REFUSE_INSUFFICIENT_EVIDENCE,9,0.0,0.0,0.0,,0.0,0.0,0.333333,0.0,0,11385,4593.719622,0
C2,AGGREGATE_RESULT,15,1.0,1.0,1.0,1.0,1.0,0.0,,,0,0,718.966287,0
C2,CLARIFICATION,3,0.0,0.0,0.0,,0.0,0.0,,,0,0,828.955033,0
C2,CONSTRAINED_ANSWER,9,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0,9332,3960.623689,0
C2,FULL_ANSWER,87,0.827586,0.827586,0.827586,0.448276,,0.563218,0.601351,0.493243,0,91992,2950.130764,0
C2,REFUSE_AGGREGATION_THRESHOLD,3,1.0,1.0,1.0,,1.0,0.0,,,0,0,688.3187,0
C2,REFUSE_INSUFFICIENT_EVIDENCE,9,0.333333,0.333333,0.333333,,0.333333,0.0,0.333333,0.0,0,9180,2316.001,0
C3,AGGREGATE_RESULT,15,1.0,1.0,1.0,1.0,1.0,0.0,,,0,0,804.166547,0
C3,CLARIFICATION,3,0.0,0.0,0.0,,0.0,0.0,,,0,0,3732.872533,0
C3,CONSTRAINED_ANSWER,9,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0,9913,7020.291478,0
C3,FULL_ANSWER,87,0.758621,0.758621,0.758621,0.45977,,0.522989,0.732143,0.598214,0,135771,5956.956834,0
C3,REFUSE_AGGREGATION_THRESHOLD,3,1.0,1.0,1.0,,1.0,0.0,,,0,0,659.144333,0
C3,REFUSE_INSUFFICIENT_EVIDENCE,9,0.333333,0.333333,0.333333,,0.333333,0.0,0.333333,0.0,0,14618,4901.067178,0
P1,AGGREGATE_RESULT,15,0.6,0.6,0.6,0.6,0.6,0.0,0.0,0.0,63,37457,3105.911313,0
P1,CLARIFICATION,3,0.0,0.0,0.0,,0.0,0.0,,,6,8588,6514.616533,0
P1,CONSTRAINED_ANSWER,9,0.444444,0.444444,0.444444,0.0,0.444444,0.0,0.333333,0.0,3,12939,6885.072322,0
P1,FULL_ANSWER,87,0.62069,0.62069,0.62069,0.37931,,0.545977,0.732824,0.541985,27,154687,6116.933798,3
P1,REFUSE_AGGREGATION_THRESHOLD,3,1.0,1.0,1.0,,1.0,0.0,,,9,3803,2839.346033,0
P1,REFUSE_INSUFFICIENT_EVIDENCE,9,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,6,15512,5144.318044,0
