Repetition,Comparison,Metric,C0 wins,Ties,C0 losses,Compared cases,C1 wins,C1 losses,P1 wins,P1 losses,C2 wins,C2 losses
1,C0 vs C1,Output class,0,42,0,42,,,,,,
1,C0 vs C1,Reason code,0,42,0,42,,,,,,
1,C0 vs C1,Factual atoms,1,41,0,42,,,,,,
1,C0 vs C1,Citation document coverage,1,33,0,34,,,,,,
1,C0 vs C1,Safety clean,0,42,0,42,,,,,,
1,C1 vs P1,Output class,,26,,42,11,5,,,,
1,C1 vs P1,Reason code,,12,,42,29,1,,,,
1,C1 vs P1,Factual atoms,,38,,42,0,4,,,,
1,C1 vs P1,Citation document coverage,,30,,34,3,1,,,,
1,C1 vs P1,Safety clean,,29,,42,13,0,,,,
1,P1 vs C2,Output class,,32,,42,,,1,9,,
1,P1 vs C2,Reason code,,12,,42,,,0,30,,
1,P1 vs C2,Factual atoms,,39,,42,,,1,2,,
1,P1 vs C2,Citation document coverage,,29,,34,,,1,4,,
1,P1 vs C2,Safety clean,,26,,42,,,0,16,,
1,P1 vs C3,Output class,,30,,42,,,3,9,,
1,P1 vs C3,Reason code,,14,,42,,,0,28,,
1,P1 vs C3,Factual atoms,,40,,42,,,0,2,,
1,P1 vs C3,Citation document coverage,,31,,34,,,2,1,,
1,P1 vs C3,Safety clean,,26,,42,,,0,16,,
1,C2 vs C3,Output class,,40,,42,,,,,2,0
1,C2 vs C3,Reason code,,40,,42,,,,,2,0
1,C2 vs C3,Factual atoms,,41,,42,,,,,0,1
1,C2 vs C3,Citation document coverage,,30,,34,,,,,4,0
1,C2 vs C3,Safety clean,,42,,42,,,,,0,0
2,C0 vs C1,Output class,0,42,0,42,,,,,,
2,C0 vs C1,Reason code,0,42,0,42,,,,,,
2,C0 vs C1,Factual atoms,0,42,0,42,,,,,,
2,C0 vs C1,Citation document coverage,1,33,0,34,,,,,,
2,C0 vs C1,Safety clean,0,42,0,42,,,,,,
2,C1 vs P1,Output class,,27,,42,10,5,,,,
2,C1 vs P1,Reason code,,12,,42,29,1,,,,
2,C1 vs P1,Factual atoms,,39,,42,0,3,,,,
2,C1 vs P1,Citation document coverage,,30,,34,3,1,,,,
2,C1 vs P1,Safety clean,,29,,42,13,0,,,,
2,P1 vs C2,Output class,,33,,42,,,1,8,,
2,P1 vs C2,Reason code,,12,,42,,,0,30,,
2,P1 vs C2,Factual atoms,,39,,42,,,0,3,,
2,P1 vs C2,Citation document coverage,,30,,34,,,1,3,,
2,P1 vs C2,Safety clean,,26,,42,,,0,16,,
2,P1 vs C3,Output class,,31,,42,,,3,8,,
2,P1 vs C3,Reason code,,14,,42,,,0,28,,
2,P1 vs C3,Factual atoms,,40,,42,,,0,2,,
2,P1 vs C3,Citation document coverage,,29,,34,,,3,2,,
2,P1 vs C3,Safety clean,,26,,42,,,0,16,,
2,C2 vs C3,Output class,,40,,42,,,,,2,0
2,C2 vs C3,Reason code,,40,,42,,,,,2,0
2,C2 vs C3,Factual atoms,,41,,42,,,,,1,0
2,C2 vs C3,Citation document coverage,,31,,34,,,,,3,0
2,C2 vs C3,Safety clean,,42,,42,,,,,0,0
3,C0 vs C1,Output class,0,42,0,42,,,,,,
3,C0 vs C1,Reason code,0,42,0,42,,,,,,
3,C0 vs C1,Factual atoms,0,42,0,42,,,,,,
3,C0 vs C1,Citation document coverage,2,32,0,34,,,,,,
3,C0 vs C1,Safety clean,0,42,0,42,,,,,,
3,C1 vs P1,Output class,,24,,42,12,6,,,,
3,C1 vs P1,Reason code,,12,,42,29,1,,,,
3,C1 vs P1,Factual atoms,,39,,42,0,3,,,,
3,C1 vs P1,Citation document coverage,,31,,34,2,1,,,,
3,C1 vs P1,Safety clean,,29,,42,13,0,,,,
3,P1 vs C2,Output class,,30,,42,,,2,10,,
3,P1 vs C2,Reason code,,12,,42,,,0,30,,
3,P1 vs C2,Factual atoms,,40,,42,,,0,2,,
3,P1 vs C2,Citation document coverage,,32,,34,,,0,2,,
3,P1 vs C2,Safety clean,,26,,42,,,0,16,,
3,P1 vs C3,Output class,,28,,42,,,4,10,,
3,P1 vs C3,Reason code,,14,,42,,,0,28,,
3,P1 vs C3,Factual atoms,,39,,42,,,0,3,,
3,P1 vs C3,Citation document coverage,,31,,34,,,2,1,,
3,P1 vs C3,Safety clean,,26,,42,,,0,16,,
3,C2 vs C3,Output class,,40,,42,,,,,2,0
3,C2 vs C3,Reason code,,40,,42,,,,,2,0
3,C2 vs C3,Factual atoms,,41,,42,,,,,0,1
3,C2 vs C3,Citation document coverage,,31,,34,,,,,3,0
3,C2 vs C3,Safety clean,,42,,42,,,,,0,0
