Configuration,Permission group,Cases,Output accuracy,Balanced accuracy,Macro recall,Permitted-answer accuracy,Controlled-failure correctness,Citation coverage,Support precision,Page correctness,Safety findings,Tokens,Mean latency,Runtime/parser/provider errors
C0,Aggregate-only,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,26934,2618.848211,0
C0,Owner/Full,108,0.805556,0.25,0.25,0.40625,0.0,0.453704,0.46729,0.341121,0,140863,2980.746793,0
C1,Aggregate-only,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,27067,5220.853872,0
C1,Owner/Full,108,0.805556,0.25,0.25,0.395833,0.0,0.425926,0.518919,0.367568,0,136101,5699.451873,0
C2,Aggregate-only,18,1.0,1.0,1.0,1.0,1.0,0.0,,,0,0,713.858356,0
C2,Owner/Full,108,0.694444,0.29023,0.29023,0.40625,0.142857,0.453704,0.541436,0.403315,0,110504,2922.572813,0
C3,Aggregate-only,18,1.0,1.0,1.0,1.0,1.0,0.0,,,0,0,779.996178,0
C3,Owner/Full,108,0.638889,0.272988,0.272988,0.416667,0.142857,0.421296,0.661654,0.503759,0,160302,5895.797131,0
P1,Aggregate-only,18,0.666667,0.8,0.8,0.6,0.666667,0.0,0.0,0.0,72,41260,3061.483767,0
P1,Owner/Full,108,0.537037,0.266284,0.266284,0.34375,0.190476,0.439815,0.705479,0.486301,42,191726,6110.940771,3
