Repetition,Configuration,Cases,Output accuracy,Balanced accuracy,Macro recall,Permitted-answer accuracy,Controlled-failure correctness,Citation coverage,Support precision,Page correctness,Safety findings,Tokens,Mean latency,Runtime/parser/provider errors
1,C0,42,0.690476,0.166667,0.166667,0.351351,0.0,0.380952,0.383721,0.27907,3,55875,2914.332945,0
1,C1,42,0.690476,0.166667,0.166667,0.324324,0.0,0.357143,0.415584,0.285714,3,54554,5504.75734,0
1,C2,42,0.738095,0.52682,0.52682,0.459459,0.538462,0.404762,0.55,0.416667,0,36874,2688.46266,0
1,C3,42,0.690476,0.515326,0.515326,0.486486,0.538462,0.357143,0.659091,0.5,0,53929,5089.98985,0
1,P1,42,0.547619,0.425671,0.425671,0.378378,0.384615,0.369048,0.607143,0.410714,38,78064,5626.121686,1
2,C0,42,0.690476,0.166667,0.166667,0.351351,0.0,0.380952,0.383721,0.27907,3,55850,3034.9956,0
2,C1,42,0.690476,0.166667,0.166667,0.351351,0.0,0.369048,0.415584,0.298701,3,54428,5612.611167,0
2,C2,42,0.738095,0.52682,0.52682,0.513514,0.538462,0.380952,0.533333,0.4,0,36825,2405.794398,0
2,C3,42,0.690476,0.515326,0.515326,0.486486,0.538462,0.357143,0.659091,0.5,0,53220,5112.88454,0
2,P1,42,0.571429,0.431418,0.431418,0.405405,0.384615,0.380952,0.586207,0.413793,38,77571,5831.134771,1
3,C0,42,0.690476,0.166667,0.166667,0.351351,0.0,0.404762,0.390805,0.287356,3,56072,2837.81244,0
3,C1,42,0.690476,0.166667,0.166667,0.351351,0.0,0.369048,0.421053,0.302632,3,54186,5775.873683,0
3,C2,42,0.738095,0.52682,0.52682,0.486486,0.538462,0.380952,0.540984,0.393443,0,36805,2726.869471,0
3,C3,42,0.690476,0.515326,0.515326,0.513514,0.538462,0.369048,0.666667,0.511111,0,53153,5292.030879,0
3,P1,42,0.547619,0.475479,0.475479,0.351351,0.461538,0.380952,0.59322,0.40678,38,77351,5568.655712,1
