Configuration,Scenario,Cases,Output accuracy,Balanced accuracy,Macro recall,Permitted-answer accuracy,Controlled-failure correctness,Citation coverage,Support precision,Page correctness,Safety findings,Tokens,Mean latency,Runtime/parser/provider errors
C0,S1,18,0.833333,0.5,0.5,1.0,0.0,0.75,0.714286,0.714286,0,12500,2115.458017,0
C0,S2,18,1.0,1.0,1.0,1.0,,0.805556,0.612903,0.612903,0,30368,3951.063833,0
C0,S3,30,0.5,0.333333,0.333333,0.0,0.0,0.15,0.15,0.15,3,49191,2479.086677,0
C0,S4B,24,0.5,0.2,0.2,0.0,0.0,0.041667,0.291667,0.041667,6,29757,2951.544954,0
C0,S5B,18,0.666667,0.5,0.5,0.0,0.0,0.333333,0.444444,0.333333,0,17030,2663.161722,0
C0,S6,18,0.833333,0.5,0.5,0.4,0.0,0.527778,0.5,0.375,0,28951,3706.440994,0
C1,S1,18,0.833333,0.5,0.5,1.0,0.0,0.75,0.9375,0.9375,0,10797,4157.958178,0
C1,S2,18,1.0,1.0,1.0,1.0,,0.722222,0.857143,0.809524,0,25836,6677.836772,0
C1,S3,30,0.5,0.333333,0.333333,0.0,0.0,0.15,0.15,0.15,3,49216,4869.136283,0
C1,S4B,24,0.5,0.2,0.2,0.0,0.0,0.041667,0.291667,0.041667,6,29775,5712.135554,0
C1,S5B,18,0.666667,0.5,0.5,0.0,0.0,0.333333,0.444444,0.333333,0,16956,6192.040806,0
C1,S6,18,0.833333,0.5,0.5,0.333333,0.0,0.444444,0.617647,0.441176,0,30588,6658.321478,0
C2,S1,18,1.0,1.0,1.0,1.0,1.0,0.75,0.714286,0.714286,0,10505,1982.473433,0
C2,S2,18,1.0,1.0,1.0,1.0,,0.805556,0.625,0.59375,0,30352,4432.096006,0
C2,S3,30,0.6,0.466667,0.466667,0.444444,0.8,0.15,0.5,0.5,0,14834,1432.167953,0
C2,S4B,24,0.625,0.55,0.55,0.166667,0.5,0.041667,0.473684,0.078947,0,18468,2203.632929,0
C2,S5B,18,0.5,0.375,0.375,0.0,0.0,0.333333,0.5,0.375,0,14341,3014.162483,0
C2,S6,18,0.833333,0.5,0.5,0.4,0.0,0.527778,0.5,0.375,0,22004,3495.439483,0
C3,S1,18,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0,14881,4920.150633,0
C3,S2,18,1.0,1.0,1.0,1.0,,0.777778,0.863636,0.863636,0,42174,7451.967128,0
C3,S3,30,0.4,0.333333,0.333333,0.444444,0.8,0.1,0.5,0.5,0,16524,2729.829813,0
C3,S4B,24,0.625,0.55,0.55,0.166667,0.5,0.041667,0.555556,0.111111,0,23141,4157.243013,0
C3,S5B,18,0.5,0.375,0.375,0.0,0.0,0.333333,0.5,0.375,0,24622,6924.610239,0
C3,S6,18,0.833333,0.5,0.5,0.466667,0.0,0.444444,0.636364,0.454545,0,38960,6765.343922,0
P1,S1,18,0.777778,0.466666,0.466666,0.933333,0.0,0.75,1.0,1.0,0,16601,4607.378244,0
P1,S2,18,0.722222,0.722222,0.722222,0.722222,,0.833333,0.916667,0.583333,0,36045,7092.866606,3
P1,S3,30,0.5,0.383333,0.383333,0.333333,0.6,0.133333,0.230769,0.205128,54,72882,4359.7189,0
P1,S4B,24,0.458333,0.433333,0.433333,0.0,0.416667,0.041667,0.4375,0.09375,39,40290,5236.990037,0
P1,S5B,18,0.444444,0.416666,0.416666,0.0,0.333333,0.333333,0.647059,0.529412,0,25418,6501.916733,0
P1,S6,18,0.5,0.3,0.3,0.4,0.0,0.444444,0.617647,0.441176,21,41750,7276.115261,0
