mode,repetition_index,case_count,output_class_accuracy,balanced_accuracy,macro_recall,reason_code_accuracy,permitted_answer_accuracy,false_or_unsupported_answer_rate,false_answer_rate_on_expected_abstentions,false_answer_count,expected_non_answer_count,abstention_precision,abstention_recall,citation_document_coverage,citation_support_precision,page_level_citation_correctness,citation_coverage,safety_error_total,runtime_error_count
C0_VECTOR_ONLY,1,42,0.690476,0.166667,0.166667,0.690476,0.351351,1.0,1.0,5,5,,0.0,0.55,0.383721,0.27907,0.4,3,0
C0_VECTOR_ONLY,2,42,0.690476,0.166667,0.166667,0.690476,0.351351,1.0,1.0,5,5,,0.0,0.55,0.383721,0.27907,0.4,3,0
C0_VECTOR_ONLY,3,42,0.690476,0.166667,0.166667,0.690476,0.351351,1.0,1.0,5,5,,0.0,0.566667,0.390805,0.287356,0.416667,3,0
C1_VECTOR_ROUTING,1,42,0.690476,0.166667,0.166667,0.690476,0.324324,1.0,1.0,5,5,,0.0,0.533333,0.415584,0.285714,0.366667,3,0
C1_VECTOR_ROUTING,2,42,0.690476,0.166667,0.166667,0.690476,0.351351,1.0,1.0,5,5,,0.0,0.533333,0.415584,0.298701,0.383333,3,0
C1_VECTOR_ROUTING,3,42,0.690476,0.166667,0.166667,0.690476,0.351351,1.0,1.0,5,5,,0.0,0.533333,0.421053,0.302632,0.383333,3,0
P1_PROMPT_ONLY_GOVERNANCE,1,42,0.547619,0.425671,0.425671,0.02381,0.378378,0.2,0.2,1,5,0.076923,0.2,0.5,0.607143,0.410714,0.383333,38,1
P1_PROMPT_ONLY_GOVERNANCE,2,42,0.571429,0.431418,0.431418,0.02381,0.405405,0.2,0.2,1,5,0.076923,0.2,0.5,0.586207,0.413793,0.4,38,1
P1_PROMPT_ONLY_GOVERNANCE,3,42,0.547619,0.475479,0.475479,0.02381,0.351351,0.2,0.2,1,5,0.083333,0.2,0.516667,0.59322,0.40678,0.4,38,1
C2_PERMISSION_FILTERED,1,42,0.738095,0.52682,0.52682,0.738095,0.459459,0.4,0.4,2,5,0.25,0.4,0.55,0.55,0.416667,0.416667,0,0
C2_PERMISSION_FILTERED,2,42,0.738095,0.52682,0.52682,0.738095,0.513514,0.4,0.4,2,5,0.25,0.4,0.533333,0.533333,0.4,0.4,0,0
C2_PERMISSION_FILTERED,3,42,0.738095,0.52682,0.52682,0.738095,0.486486,0.4,0.4,2,5,0.25,0.4,0.55,0.540984,0.393443,0.4,0,0
C3_FULL_ROLE_AWARE,1,42,0.690476,0.515326,0.515326,0.690476,0.486486,0.4,0.4,2,5,0.2,0.4,0.483333,0.659091,0.5,0.366667,0,0
C3_FULL_ROLE_AWARE,2,42,0.690476,0.515326,0.515326,0.690476,0.486486,0.4,0.4,2,5,0.2,0.4,0.483333,0.659091,0.5,0.366667,0,0
C3_FULL_ROLE_AWARE,3,42,0.690476,0.515326,0.515326,0.690476,0.513514,0.4,0.4,2,5,0.2,0.4,0.5,0.666667,0.511111,0.383333,0,0
