Configuration,Expected output class,Cases,Output accuracy,Permitted-answer accuracy,Controlled-failure correctness,Citation coverage,Support precision,Page correctness,Safety findings,Tokens,Mean latency,Runtime/parser/provider errors
C0,AGGREGATE_RESULT,5,0.0,0.0,0.0,0.0,0.0,0.0,2,4170,265.3913,0
C0,CLARIFICATION,1,0.0,,0.0,0.0,,,0,1023,393.2686,0
C0,CONSTRAINED_ANSWER,3,0.0,0.0,0.0,0.0,0.285714,0.0,0,1760,325.493233,0
C0,FULL_ANSWER,29,1.0,0.413793,,0.517241,0.566038,0.396226,0,21043,308.924979,0
C0,REFUSE_AGGREGATION_THRESHOLD,1,0.0,,0.0,0.0,0.0,0.0,1,643,605.4885,0
C0,REFUSE_INSUFFICIENT_EVIDENCE,3,0.0,,0.0,0.0,0.333333,0.0,0,2014,279.9801,0
C1,AGGREGATE_RESULT,5,0.0,0.0,0.0,0.0,0.0,0.0,2,4170,232.36594,0
C1,CLARIFICATION,1,0.0,,0.0,0.0,,,0,1034,208.113,0
C1,CONSTRAINED_ANSWER,3,0.0,0.0,0.0,0.0,0.285714,0.0,0,1760,223.028467,0
C1,FULL_ANSWER,29,1.0,0.413793,,0.5,0.617021,0.425532,0,20414,221.609976,0
C1,REFUSE_AGGREGATION_THRESHOLD,1,0.0,,0.0,0.0,0.0,0.0,1,643,460.7983,0
C1,REFUSE_INSUFFICIENT_EVIDENCE,3,0.0,,0.0,0.0,0.333333,0.0,0,2014,207.115067,0
C2,AGGREGATE_RESULT,5,1.0,1.0,1.0,0.0,,,0,0,505.0901,0
C2,CLARIFICATION,1,0.0,,0.0,0.0,,,0,0,459.949,0
C2,CONSTRAINED_ANSWER,3,0.0,0.0,0.0,0.0,0.285714,0.0,0,1760,450.800967,0
C2,FULL_ANSWER,29,0.827586,0.413793,,0.517241,0.666667,0.5,0,16943,579.706921,0
C2,REFUSE_AGGREGATION_THRESHOLD,1,1.0,,1.0,0.0,,,0,0,445.1034,0
C2,REFUSE_INSUFFICIENT_EVIDENCE,3,0.333333,,0.333333,0.0,0.333333,0.0,0,1438,677.6296,0
C3,AGGREGATE_RESULT,5,1.0,1.0,1.0,0.0,,,0,0,349.19936,0
C3,CLARIFICATION,1,0.0,,0.0,0.0,,,0,0,382.9169,0
C3,CONSTRAINED_ANSWER,3,0.0,0.0,0.0,0.0,0.333333,0.0,0,1373,374.8669,0
C3,FULL_ANSWER,29,0.758621,0.413793,,0.5,0.764706,0.588235,0,19791,426.285997,0
C3,REFUSE_AGGREGATION_THRESHOLD,1,1.0,,1.0,0.0,,,0,0,322.5592,0
C3,REFUSE_INSUFFICIENT_EVIDENCE,3,0.333333,,0.333333,0.0,0.333333,0.0,0,1842,358.944567,0
