Configuration,Scenario,Cases,Output accuracy,Permitted-answer accuracy,Controlled-failure correctness,Citation coverage,Support precision,Page correctness,Safety findings,Tokens,Mean latency,Runtime/parser/provider errors
C0,S1,6,0.833333,1.0,0.0,0.75,0.833333,0.833333,0,2667,85.5151,0
C0,S2,6,1.0,1.0,,0.833333,0.857143,0.857143,0,5608,311.379567,0
C0,S3,10,0.5,0.0,0.0,0.1,0.15,0.1,1,8596,193.1072,0
C0,S4B,8,0.5,0.0,0.0,0.041667,0.4,0.05,2,5550,531.4205,0
C0,S5B,6,0.666667,0.0,0.0,0.25,0.428571,0.285714,0,3192,244.148517,0
C0,S6,6,0.833333,0.2,0.0,0.444444,0.5,0.3125,0,5040,512.043817,0
C1,S1,6,0.833333,1.0,0.0,0.75,1.0,1.0,0,2499,89.82805,0
C1,S2,6,1.0,1.0,,0.833333,1.0,1.0,0,4901,285.382067,0
C1,S3,10,0.5,0.0,0.0,0.1,0.15,0.1,1,8596,212.51622,0
C1,S4B,8,0.5,0.0,0.0,0.041667,0.4,0.05,2,5550,325.93245,0
C1,S5B,6,0.666667,0.0,0.0,0.25,0.428571,0.285714,0,3192,202.05025,0
C1,S6,6,0.833333,0.2,0.0,0.361111,0.583333,0.333333,0,5297,225.279483,0
C2,S1,6,1.0,1.0,1.0,0.75,0.833333,0.833333,0,2220,517.720417,0
C2,S2,6,1.0,1.0,,0.833333,0.857143,0.857143,0,5608,769.656283,0
C2,S3,10,0.6,0.444444,0.8,0.1,0.5,0.333333,0,2568,548.50069,0
C2,S4B,8,0.625,0.166667,0.5,0.041667,0.545455,0.090909,0,3330,639.251662,0
C2,S5B,6,0.5,0.0,0.0,0.25,0.5,0.333333,0,2661,462.364083,0
C2,S6,6,0.833333,0.2,0.0,0.444444,0.5,0.3125,0,3754,421.6384,0
C3,S1,6,1.0,1.0,1.0,0.75,1.0,1.0,0,2572,340.72915,0
C3,S2,6,1.0,1.0,,0.833333,1.0,1.0,0,6158,410.53065,0
C3,S3,10,0.4,0.444444,0.8,0.1,0.5,0.5,0,2190,368.33512,0
C3,S4B,8,0.625,0.166667,0.5,0.041667,0.714286,0.142857,0,3261,434.251413,0
C3,S5B,6,0.5,0.0,0.0,0.25,0.5,0.333333,0,3465,368.965717,0
C3,S6,6,0.833333,0.2,0.0,0.361111,0.583333,0.333333,0,5360,522.7476,0
