Configuration,Expected output class,Cases,Output accuracy,Permitted-answer accuracy,Controlled-failure correctness,Citation coverage,Support precision,Page correctness,Safety findings,Tokens,Mean latency,Runtime/parser/provider errors
C0,AGGREGATE_RESULT,15,0.0,0.0,0.0,0.0,0.0,0.0,6,18733,136.907167,0
C0,CLARIFICATION,3,0.0,,0.0,0.0,,,0,4855,2225.338167,0
C0,CONSTRAINED_ANSWER,9,0.0,0.0,0.0,0.0,0.285714,0.0,0,7123,3091.435344,0
C0,FULL_ANSWER,87,1.0,0.413793,,0.534483,0.534483,0.396552,0,93148,3989.718448,0
C0,REFUSE_AGGREGATION_THRESHOLD,3,0.0,,0.0,0.0,0.0,0.0,3,3195,307.447033,0
C0,REFUSE_INSUFFICIENT_EVIDENCE,9,0.0,,0.0,0.0,0.333333,0.0,0,9527,2048.752022,0
C1,AGGREGATE_RESULT,15,0.0,0.0,0.0,0.0,0.0,0.0,5,17500,671.98854,1
C1,CLARIFICATION,3,0.0,,0.0,0.0,,,0,3528,1956.817933,1
C1,CONSTRAINED_ANSWER,9,0.0,0.0,0.0,0.0,0.285714,0.0,0,4734,4470.910289,3
C1,FULL_ANSWER,87,0.827586,0.402299,,0.454023,0.598291,0.478632,0,72721,10660.619468,15
C1,REFUSE_AGGREGATION_THRESHOLD,3,0.0,,0.0,0.0,0.0,0.0,2,2130,884.242233,1
C1,REFUSE_INSUFFICIENT_EVIDENCE,9,0.0,,0.0,0.0,0.428571,0.0,0,8207,2835.224089,1
C2,AGGREGATE_RESULT,15,1.0,1.0,1.0,0.0,,,0,0,1093.137107,0
C2,CLARIFICATION,3,0.0,,0.0,0.0,,,0,0,2164.781633,0
C2,CONSTRAINED_ANSWER,9,0.0,0.0,0.0,0.0,0.285714,0.0,0,7116,3325.7546,0
C2,FULL_ANSWER,87,0.827586,0.413793,,0.534483,0.638298,0.489362,0,75310,2991.772652,0
C2,REFUSE_AGGREGATION_THRESHOLD,3,1.0,,1.0,0.0,,,0,0,1207.955,0
C2,REFUSE_INSUFFICIENT_EVIDENCE,9,0.333333,,0.333333,0.0,0.333333,0.0,0,7419,2287.581756,0
C3,AGGREGATE_RESULT,15,1.0,1.0,1.0,0.0,,,0,0,1147.692427,0
C3,CLARIFICATION,3,0.0,,0.0,0.0,,,0,0,2216.431733,0
C3,CONSTRAINED_ANSWER,9,0.0,0.0,0.0,0.0,0.333333,0.0,0,7820,2713.835789,0
C3,FULL_ANSWER,87,0.758621,0.413793,,0.534483,0.756757,0.621622,0,113455,7056.008284,0
C3,REFUSE_AGGREGATION_THRESHOLD,3,1.0,,1.0,0.0,,,0,0,1232.515133,0
C3,REFUSE_INSUFFICIENT_EVIDENCE,9,0.333333,,0.333333,0.0,0.333333,0.0,0,11984,2403.550311,0
