Repetition,Comparison,Metric,C0 wins,Ties,C0 losses,Compared cases,C1 wins,C1 losses,C2 wins,C2 losses
1,C0 vs C1,Output class,0,42,0,42,,,,
1,C0 vs C1,Reason code,0,42,0,42,,,,
1,C0 vs C1,Factual atoms,0,42,0,42,,,,
1,C0 vs C1,Citation document coverage,2,32,0,34,,,,
1,C0 vs C1,Safety clean,0,42,0,42,,,,
1,C0 vs C2,Output class,5,30,7,42,,,,
1,C0 vs C2,Reason code,5,30,7,42,,,,
1,C0 vs C2,Factual atoms,0,37,5,42,,,,
1,C0 vs C2,Citation document coverage,1,33,0,34,,,,
1,C0 vs C2,Safety clean,0,39,3,42,,,,
1,C0 vs C3,Output class,7,28,7,42,,,,
1,C0 vs C3,Reason code,7,28,7,42,,,,
1,C0 vs C3,Factual atoms,0,37,5,42,,,,
1,C0 vs C3,Citation document coverage,4,30,0,34,,,,
1,C0 vs C3,Safety clean,0,39,3,42,,,,
1,C1 vs C3,Output class,,28,,42,7,7,,
1,C1 vs C3,Reason code,,28,,42,7,7,,
1,C1 vs C3,Factual atoms,,37,,42,0,5,,
1,C1 vs C3,Citation document coverage,,30,,34,3,1,,
1,C1 vs C3,Safety clean,,39,,42,0,3,,
1,C2 vs C3,Output class,,40,,42,,,2,0
1,C2 vs C3,Reason code,,40,,42,,,2,0
1,C2 vs C3,Factual atoms,,42,,42,,,0,0
1,C2 vs C3,Citation document coverage,,31,,34,,,3,0
1,C2 vs C3,Safety clean,,42,,42,,,0,0
2,C0 vs C1,Output class,0,42,0,42,,,,
2,C0 vs C1,Reason code,0,42,0,42,,,,
2,C0 vs C1,Factual atoms,0,42,0,42,,,,
2,C0 vs C1,Citation document coverage,1,33,0,34,,,,
2,C0 vs C1,Safety clean,0,42,0,42,,,,
2,C0 vs C2,Output class,5,30,7,42,,,,
2,C0 vs C2,Reason code,5,30,7,42,,,,
2,C0 vs C2,Factual atoms,0,37,5,42,,,,
2,C0 vs C2,Citation document coverage,1,33,0,34,,,,
2,C0 vs C2,Safety clean,0,39,3,42,,,,
2,C0 vs C3,Output class,7,28,7,42,,,,
2,C0 vs C3,Reason code,7,28,7,42,,,,
2,C0 vs C3,Factual atoms,0,37,5,42,,,,
2,C0 vs C3,Citation document coverage,4,30,0,34,,,,
2,C0 vs C3,Safety clean,0,39,3,42,,,,
2,C1 vs C3,Output class,,28,,42,7,7,,
2,C1 vs C3,Reason code,,28,,42,7,7,,
2,C1 vs C3,Factual atoms,,37,,42,0,5,,
2,C1 vs C3,Citation document coverage,,31,,34,3,0,,
2,C1 vs C3,Safety clean,,39,,42,0,3,,
2,C2 vs C3,Output class,,40,,42,,,2,0
2,C2 vs C3,Reason code,,40,,42,,,2,0
2,C2 vs C3,Factual atoms,,42,,42,,,0,0
2,C2 vs C3,Citation document coverage,,31,,34,,,3,0
2,C2 vs C3,Safety clean,,42,,42,,,0,0
3,C0 vs C1,Output class,15,27,0,42,,,,
3,C0 vs C1,Reason code,15,27,0,42,,,,
3,C0 vs C1,Factual atoms,1,41,0,42,,,,
3,C0 vs C1,Citation document coverage,15,19,0,34,,,,
3,C0 vs C1,Safety clean,0,40,2,42,,,,
3,C0 vs C2,Output class,5,30,7,42,,,,
3,C0 vs C2,Reason code,5,30,7,42,,,,
3,C0 vs C2,Factual atoms,0,37,5,42,,,,
3,C0 vs C2,Citation document coverage,1,33,0,34,,,,
3,C0 vs C2,Safety clean,0,39,3,42,,,,
3,C0 vs C3,Output class,7,28,7,42,,,,
3,C0 vs C3,Reason code,7,28,7,42,,,,
3,C0 vs C3,Factual atoms,0,37,5,42,,,,
3,C0 vs C3,Citation document coverage,4,30,0,34,,,,
3,C0 vs C3,Safety clean,0,39,3,42,,,,
3,C1 vs C3,Output class,,21,,42,3,18,,
3,C1 vs C3,Reason code,,21,,42,3,18,,
3,C1 vs C3,Factual atoms,,36,,42,0,6,,
3,C1 vs C3,Citation document coverage,,22,,34,0,12,,
3,C1 vs C3,Safety clean,,41,,42,0,1,,
3,C2 vs C3,Output class,,40,,42,,,2,0
3,C2 vs C3,Reason code,,40,,42,,,2,0
3,C2 vs C3,Factual atoms,,42,,42,,,0,0
3,C2 vs C3,Citation document coverage,,31,,34,,,3,0
3,C2 vs C3,Safety clean,,42,,42,,,0,0
