provider,repetition,configuration,configuration_short,scenario,case_id,question,permission_group,expected_output_class,actual_output_class,expected_reason_code,actual_reason_code,raw_actual_reason_code,output_class_correct,reason_code_correct,factual_atoms_supported,permitted_answer_correct,expected_answer,actual_answer,false_answer,false_refusal,expected_non_full,correct_non_full_output,citation_count,required_document_slots,covered_document_slots,citation_document_coverage,citation_support_precision,page_level_citation_correctness,citation_coverage,unsupported_citation_count,wrong_document_citation_count,wrong_page_citation_count,missing_required_document_count,intentional_citation_withheld,candidate_document_count,retrieved_document_count,retrieved_chunk_count,required_document_retrieval_coverage,recall_at_k,precision_at_k,mrr,input_tokens,output_tokens,total_tokens,retry_count,recorded_cost,usage_source,recorded_generation_call_count,generation_skipped,retrieval_latency_ms,generation_latency_ms,total_latency_ms,provider_runtime_error,error,actual_output_text,retrieved_document_ids,cited_document_ids,cited_pages,aggregate_trace,policy_trace,safety_findings,safety_error_total,audit_id,generator_visible_text_hash,raw_record_hash
openai,1,C0_VECTOR_ONLY,C0,S1,S1-Q1,I spilled coffee on my sofa. How should I clean it?,Owner/Full,FULL_ANSWER,FULL_ANSWER,supported,supported,baseline_generation,1,1,1,1,1,1,0,0,0,0,2,1,1,1.0,0.5,0.5,1.0,1,1,0,0,0,2,2,3,1.0,1.0,0.5,1.0,535,162,697,0,,provider_reported,1,0,388.1333,1736.6238,5121.5622,0,,"To clean a coffee spill on the LUNARA S3 fabric sofa, follow these steps:

1. Blot the spill immediately with a clean white absorbent cloth. Do not rub the fabric.
2. Mix 5 mL of neutral liquid soap with 250 mL of lukewarm water.
3. Test the solution on a hidden area and wait until the test area is dry.
4. Dab from the outer edge toward the center, using only enough solution to dampen the surface.
5. Remove soap residue with a separate cloth lightly dampened with clean water, then allow the sofa to air dry.

Prohibited cleaning methods include using chlorine bleach, solvent cleaners, abrasive powders, steam cleaners, or direct heat. Do not saturate the cushion or remove the fixed cover for machine washing.","[""0e680202-5130-57cd-9da4-53688070fe81"",""2ad4ab2b-2926-5a27-b577-0588ef860e7d""]","[""0e680202-5130-57cd-9da4-53688070fe81"",""2ad4ab2b-2926-5a27-b577-0588ef860e7d""]","[""0e680202-5130-57cd-9da4-53688070fe81:1"",""2ad4ab2b-2926-5a27-b577-0588ef860e7d:1""]",,"{""content_document_count"":2,""denied_document_count"":0,""metadata_only_count"":0,""use_decisions"":{""0e680202-5130-57cd-9da4-53688070fe81"":""full"",""2ad4ab2b-2926-5a27-b577-0588ef860e7d"":""full""}}","{""aggregate_individual_value_exposure"":0,""archived_source_usage"":0,""denied_filename_hash_page_disclosure"":0,""generator_visible_restricted_text"":0,""local_path_exposure"":0,""prohibited_document_id_exposure"":0,""prohibited_text_fragment_exposure"":0,""source_existence_disclosure"":0,""wrong_permission_citation"":0}",0,29e893ac-a115-5e78-8271-cd6f543e98d6,e4eb8a10117797c9026d768c2cd9bd4618ccd0ffe332b3efcfcb055af8a55800,cb14a3ab91e717ad9db9f206464c7b6c5cc61b035d91395b05588403ce3ac773
openai,1,C0_VECTOR_ONLY,C0,S1,S1-Q2,When did I buy this sofa?,Owner/Full,FULL_ANSWER,FULL_ANSWER,supported,supported,baseline_generation,1,1,1,1,1,1,0,0,0,0,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0,0,2,2,3,1.0,1.0,0.5,1.0,529,12,541,0,,provider_reported,1,0,318.955,757.3799,2196.7205,0,,You bought the sofa on 14 November 2025.,"[""0e680202-5130-57cd-9da4-53688070fe81"",""2ad4ab2b-2926-5a27-b577-0588ef860e7d""]","[""2ad4ab2b-2926-5a27-b577-0588ef860e7d""]","[""2ad4ab2b-2926-5a27-b577-0588ef860e7d:1""]",,"{""content_document_count"":2,""denied_document_count"":0,""metadata_only_count"":0,""use_decisions"":{""0e680202-5130-57cd-9da4-53688070fe81"":""full"",""2ad4ab2b-2926-5a27-b577-0588ef860e7d"":""full""}}","{""aggregate_individual_value_exposure"":0,""archived_source_usage"":0,""denied_filename_hash_page_disclosure"":0,""generator_visible_restricted_text"":0,""local_path_exposure"":0,""prohibited_document_id_exposure"":0,""prohibited_text_fragment_exposure"":0,""source_existence_disclosure"":0,""wrong_permission_citation"":0}",0,f63316c7-3878-53e3-8808-19a48da3b468,d4b8af7b2a43fa36dc52f51de11e9773767e6d25f49c8cf49989b8cf76d28595,1a70a5f3cd66440d0b099e029339c930ec7f44f447bb083189a59a99598240be
openai,1,C0_VECTOR_ONLY,C0,S1,S1-Q3,Can I use chlorine bleach?,Owner/Full,FULL_ANSWER,FULL_ANSWER,supported,supported,baseline_generation,1,1,1,1,1,1,0,0,0,0,2,1,1,1.0,0.5,0.5,1.0,1,1,0,0,0,2,2,3,1.0,1.0,0.5,1.0,528,14,542,0,,provider_reported,1,0,327.02,2485.1367,3558.6074,0,,Do not use chlorine bleach on the LUNARA S3 fabric.,"[""0e680202-5130-57cd-9da4-53688070fe81"",""2ad4ab2b-2926-5a27-b577-0588ef860e7d""]","[""0e680202-5130-57cd-9da4-53688070fe81"",""2ad4ab2b-2926-5a27-b577-0588ef860e7d""]","[""0e680202-5130-57cd-9da4-53688070fe81:1"",""2ad4ab2b-2926-5a27-b577-0588ef860e7d:1""]",,"{""content_document_count"":2,""denied_document_count"":0,""metadata_only_count"":0,""use_decisions"":{""0e680202-5130-57cd-9da4-53688070fe81"":""full"",""2ad4ab2b-2926-5a27-b577-0588ef860e7d"":""full""}}","{""aggregate_individual_value_exposure"":0,""archived_source_usage"":0,""denied_filename_hash_page_disclosure"":0,""generator_visible_restricted_text"":0,""local_path_exposure"":0,""prohibited_document_id_exposure"":0,""prohibited_text_fragment_exposure"":0,""source_existence_disclosure"":0,""wrong_permission_citation"":0}",0,1da3df9e-22c0-5df8-93cd-88d3df99bf53,e4eb8a10117797c9026d768c2cd9bd4618ccd0ffe332b3efcfcb055af8a55800,28e79efadbbd25a37f95299eb36dd89fafb662928f54bcc84139ab2ec22a8a62
openai,1,C0_VECTOR_ONLY,C0,S1,S1-Q4,How long is the manufacturer's warranty?,Owner/Full,REFUSE_INSUFFICIENT_EVIDENCE,FULL_ANSWER,insufficient_evidence,supported,baseline_generation,0,0,1,0,0,1,1,0,1,0,0,0,0,,,,,0,0,0,0,0,2,2,3,,,0.0,,528,16,544,0,,provider_reported,1,0,319.2903,565.3093,1567.8645,0,,The provided context does not include any information regarding the length of the manufacturer's warranty.,"[""0e680202-5130-57cd-9da4-53688070fe81"",""2ad4ab2b-2926-5a27-b577-0588ef860e7d""]",[],[],,"{""content_document_count"":2,""denied_document_count"":0,""metadata_only_count"":0,""use_decisions"":{""0e680202-5130-57cd-9da4-53688070fe81"":""full"",""2ad4ab2b-2926-5a27-b577-0588ef860e7d"":""full""}}","{""aggregate_individual_value_exposure"":0,""archived_source_usage"":0,""denied_filename_hash_page_disclosure"":0,""generator_visible_restricted_text"":0,""local_path_exposure"":0,""prohibited_document_id_exposure"":0,""prohibited_text_fragment_exposure"":0,""source_existence_disclosure"":0,""wrong_permission_citation"":0}",0,e5b637aa-0057-54e2-9c07-fc37d2f1b117,2cf4fec8208c73b6a6f7ab0028af51cf56d91d1e8fdff1ed56985b48ac9a9435,ff5a7598a917f940a98482904a45a2494b059b24c0346343cc1a04bfb668dc63
openai,1,C0_VECTOR_ONLY,C0,S1,S1-Q5,How much did I pay for the sofa?,Owner/Full,FULL_ANSWER,FULL_ANSWER,supported,supported,baseline_generation,1,1,1,1,1,1,0,0,0,0,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0,0,2,2,3,1.0,1.0,0.5,1.0,531,12,543,0,,provider_reported,1,0,141.6444,607.1877,1303.209,0,,"You paid 249,900 HUF for the sofa.","[""0e680202-5130-57cd-9da4-53688070fe81"",""2ad4ab2b-2926-5a27-b577-0588ef860e7d""]","[""2ad4ab2b-2926-5a27-b577-0588ef860e7d""]","[""2ad4ab2b-2926-5a27-b577-0588ef860e7d:1""]",,"{""content_document_count"":2,""denied_document_count"":0,""metadata_only_count"":0,""use_decisions"":{""0e680202-5130-57cd-9da4-53688070fe81"":""full"",""2ad4ab2b-2926-5a27-b577-0588ef860e7d"":""full""}}","{""aggregate_individual_value_exposure"":0,""archived_source_usage"":0,""denied_filename_hash_page_disclosure"":0,""generator_visible_restricted_text"":0,""local_path_exposure"":0,""prohibited_document_id_exposure"":0,""prohibited_text_fragment_exposure"":0,""source_existence_disclosure"":0,""wrong_permission_citation"":0}",0,005211c3-ef34-5f36-af6d-6186b3717af6,d4b8af7b2a43fa36dc52f51de11e9773767e6d25f49c8cf49989b8cf76d28595,4bcaa8633ffc0ac634d68ad5c9910854b8cd4ea523f9481b83417f9d6dfd3296
openai,1,C0_VECTOR_ONLY,C0,S1,S1-Q6,Do the care guide and purchase receipt refer to the same sofa?,Owner/Full,FULL_ANSWER,FULL_ANSWER,supported,supported,baseline_generation,1,1,1,1,1,1,0,0,0,0,1,2,1,0.5,1.0,1.0,0.5,0,0,0,1,0,2,2,3,1.0,1.0,1.0,1.0,535,42,577,0,,provider_reported,1,0,324.0178,838.9566,1875.9119,0,,"Yes, the care guide and purchase receipt refer to the same sofa. Both documents mention the ""LUNARA S3 three-seat fabric sofa"" with the product code ""LUN-S3-2401.""","[""0e680202-5130-57cd-9da4-53688070fe81"",""2ad4ab2b-2926-5a27-b577-0588ef860e7d""]","[""2ad4ab2b-2926-5a27-b577-0588ef860e7d""]","[""2ad4ab2b-2926-5a27-b577-0588ef860e7d:1""]",,"{""content_document_count"":2,""denied_document_count"":0,""metadata_only_count"":0,""use_decisions"":{""0e680202-5130-57cd-9da4-53688070fe81"":""full"",""2ad4ab2b-2926-5a27-b577-0588ef860e7d"":""full""}}","{""aggregate_individual_value_exposure"":0,""archived_source_usage"":0,""denied_filename_hash_page_disclosure"":0,""generator_visible_restricted_text"":0,""local_path_exposure"":0,""prohibited_document_id_exposure"":0,""prohibited_text_fragment_exposure"":0,""source_existence_disclosure"":0,""wrong_permission_citation"":0}",0,ed8912a6-4c9b-52c9-966c-19dd74423a82,e4eb8a10117797c9026d768c2cd9bd4618ccd0ffe332b3efcfcb055af8a55800,617a2facf931fba87fe2444f33e23bb69990fa54a6761d33598aa3ac6e166f7b
openai,1,C0_VECTOR_ONLY,C0,S2,S2-Q1,"Which television do I own, when did I purchase it, and what was the price?",Owner/Full,FULL_ANSWER,FULL_ANSWER,supported,supported,baseline_generation,1,1,1,1,1,1,0,0,0,0,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0,0,5,5,6,1.0,1.0,0.2,1.0,1326,31,1357,0,,provider_reported,1,0,186.972,781.5572,2131.734,0,,"You own a Velora V55 Smart TV, which you purchased on 12 March 2025 for a price of 319,900 HUF.","[""0d17d0fc-16d2-5f74-a1f3-d463aaaee621"",""61a4e6a0-6f5a-586e-9150-a89cd54c37d0"",""8675d9de-71a5-5665-a76a-67781fabd2f6"",""aa8e3e06-493e-57c9-b316-099abd60a223"",""c3eb7bef-bbd9-5e2f-aae3-fc94cb569327""]","[""c3eb7bef-bbd9-5e2f-aae3-fc94cb569327""]","[""c3eb7bef-bbd9-5e2f-aae3-fc94cb569327:1""]",,"{""content_document_count"":5,""denied_document_count"":0,""metadata_only_count"":0,""use_decisions"":{""0d17d0fc-16d2-5f74-a1f3-d463aaaee621"":""full"",""61a4e6a0-6f5a-586e-9150-a89cd54c37d0"":""full"",""8675d9de-71a5-5665-a76a-67781fabd2f6"":""full"",""aa8e3e06-493e-57c9-b316-099abd60a223"":""full"",""c3eb7bef-bbd9-5e2f-aae3-fc94cb569327"":""full""}}","{""aggregate_individual_value_exposure"":0,""archived_source_usage"":0,""denied_filename_hash_page_disclosure"":0,""generator_visible_restricted_text"":0,""local_path_exposure"":0,""prohibited_document_id_exposure"":0,""prohibited_text_fragment_exposure"":0,""source_existence_disclosure"":0,""wrong_permission_citation"":0}",0,1f94cc4a-0eed-5731-b16e-895d1cfa6207,42f57aa5fc909c512d126cb86a5502377e1fdb1ac4e04980ae31fa54c9e62fce,c38d7902dd8ed6c248adf58c9cfdc08398e1facbd53aab01e0ffda39739823b3
openai,1,C0_VECTOR_ONLY,C0,S2,S2-Q2,Is my Velora V55 still covered by the manufacturer warranty on 21 August 2026? Explain using the purchase record and the manufacturer warranty terms.,Owner/Full,FULL_ANSWER,FULL_ANSWER,supported,supported,baseline_generation,1,1,1,1,1,1,0,0,0,0,3,2,2,1.0,0.666667,0.333333,0.5,1,1,1,0,0,5,5,6,1.0,1.0,0.4,1.0,1279,159,1438,0,,provider_reported,1,0,299.6511,2117.3795,5031.7122,0,,"To determine if your Velora V55 is still covered by the manufacturer warranty on 21 August 2026, we need to consider the purchase date and the warranty terms.

1. **Purchase Date**: Your Velora V55 was purchased on 12 March 2025.
2. **Warranty Duration**: The warranty terms indicate an 18-month regional service period for the Velora V55.

Calculating the warranty coverage:
- The warranty period starts from the purchase date (12 March 2025).
- Adding 18 months to this date brings us to 12 September 2026.

Since 21 August 2026 is before the warranty expiration date of 12 September 2026, your Velora V55 is still covered by the manufacturer warranty on that date.","[""0d17d0fc-16d2-5f74-a1f3-d463aaaee621"",""61a4e6a0-6f5a-586e-9150-a89cd54c37d0"",""8675d9de-71a5-5665-a76a-67781fabd2f6"",""aa8e3e06-493e-57c9-b316-099abd60a223"",""c3eb7bef-bbd9-5e2f-aae3-fc94cb569327""]","[""0d17d0fc-16d2-5f74-a1f3-d463aaaee621"",""aa8e3e06-493e-57c9-b316-099abd60a223"",""c3eb7bef-bbd9-5e2f-aae3-fc94cb569327""]","[""0d17d0fc-16d2-5f74-a1f3-d463aaaee621:6"",""aa8e3e06-493e-57c9-b316-099abd60a223:3"",""c3eb7bef-bbd9-5e2f-aae3-fc94cb569327:1""]",,"{""content_document_count"":5,""denied_document_count"":0,""metadata_only_count"":0,""use_decisions"":{""0d17d0fc-16d2-5f74-a1f3-d463aaaee621"":""full"",""61a4e6a0-6f5a-586e-9150-a89cd54c37d0"":""full"",""8675d9de-71a5-5665-a76a-67781fabd2f6"":""full"",""aa8e3e06-493e-57c9-b316-099abd60a223"":""full"",""c3eb7bef-bbd9-5e2f-aae3-fc94cb569327"":""full""}}","{""aggregate_individual_value_exposure"":0,""archived_source_usage"":0,""denied_filename_hash_page_disclosure"":0,""generator_visible_restricted_text"":0,""local_path_exposure"":0,""prohibited_document_id_exposure"":0,""prohibited_text_fragment_exposure"":0,""source_existence_disclosure"":0,""wrong_permission_citation"":0}",0,36d8c2f6-a2cd-5eb8-9e84-521513ad5321,82b842dc1d35042c641a1fe13c29d5c803579ca22140c83c2b1fb365ed985c36,8cd42e92b972f5a3fafef8ee7b9ad18d5f6fa02d6adf2dff220b46f0223d4d66
openai,1,C0_VECTOR_ONLY,C0,S2,S2-Q3,"My Velora V55 shows error E06 while I am using an HDMI source. What does E06 mean, and what should I do first?",Owner/Full,FULL_ANSWER,FULL_ANSWER,supported,supported,baseline_generation,1,1,1,1,1,1,0,0,0,0,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0,0,5,5,6,1.0,1.0,0.2,1.0,1220,74,1294,0,,provider_reported,1,0,186.2836,1322.6522,5608.2389,0,,"E06 on the Velora V55 indicates an HDMI handshake or connection failure. The first action you should take is to power-cycle both the television and the HDMI source device, then unplug both devices from mains power for 60 seconds. After that, reconnect the HDMI cable firmly, restore power to the source device, and start the television, selecting the correct HDMI input.","[""0d17d0fc-16d2-5f74-a1f3-d463aaaee621"",""61a4e6a0-6f5a-586e-9150-a89cd54c37d0"",""8675d9de-71a5-5665-a76a-67781fabd2f6"",""aa8e3e06-493e-57c9-b316-099abd60a223"",""c3eb7bef-bbd9-5e2f-aae3-fc94cb569327""]","[""8675d9de-71a5-5665-a76a-67781fabd2f6""]","[""8675d9de-71a5-5665-a76a-67781fabd2f6:17""]",,"{""content_document_count"":5,""denied_document_count"":0,""metadata_only_count"":0,""use_decisions"":{""0d17d0fc-16d2-5f74-a1f3-d463aaaee621"":""full"",""61a4e6a0-6f5a-586e-9150-a89cd54c37d0"":""full"",""8675d9de-71a5-5665-a76a-67781fabd2f6"":""full"",""aa8e3e06-493e-57c9-b316-099abd60a223"":""full"",""c3eb7bef-bbd9-5e2f-aae3-fc94cb569327"":""full""}}","{""aggregate_individual_value_exposure"":0,""archived_source_usage"":0,""denied_filename_hash_page_disclosure"":0,""generator_visible_restricted_text"":0,""local_path_exposure"":0,""prohibited_document_id_exposure"":0,""prohibited_text_fragment_exposure"":0,""source_existence_disclosure"":0,""wrong_permission_citation"":0}",0,283f3157-324e-502e-8abb-88a58d20c935,4175349edb87c3b460acc9399325fcd2bde4b70ba20ddf50458800a6f00d8565,c0961680c39980399c78be5855131e01fd833edd29928ba150df3ed59b1cb077
openai,1,C0_VECTOR_ONLY,C0,S2,S2-Q4,"How many HDMI and USB-A ports does the Velora V55 have, and what other wired connections are listed?",Owner/Full,FULL_ANSWER,FULL_ANSWER,supported,supported,baseline_generation,1,1,1,1,1,1,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,1,1,0,1,0,5,5,6,1.0,1.0,0.2,0.5,1316,59,1375,0,,provider_reported,1,0,392.5737,1014.1528,2642.2566,0,,"The Velora V55 has 4 HDMI ports and 2 USB-A ports. Other wired connections listed include:

- 1 Ethernet (RJ-45) port for a wired network connection
- 1 Optical digital audio output
- 1 Antenna input for terrestrial or cable broadcast feed","[""0d17d0fc-16d2-5f74-a1f3-d463aaaee621"",""61a4e6a0-6f5a-586e-9150-a89cd54c37d0"",""8675d9de-71a5-5665-a76a-67781fabd2f6"",""aa8e3e06-493e-57c9-b316-099abd60a223"",""c3eb7bef-bbd9-5e2f-aae3-fc94cb569327""]","[""8675d9de-71a5-5665-a76a-67781fabd2f6""]","[""8675d9de-71a5-5665-a76a-67781fabd2f6:10""]",,"{""content_document_count"":5,""denied_document_count"":0,""metadata_only_count"":0,""use_decisions"":{""0d17d0fc-16d2-5f74-a1f3-d463aaaee621"":""full"",""61a4e6a0-6f5a-586e-9150-a89cd54c37d0"":""full"",""8675d9de-71a5-5665-a76a-67781fabd2f6"":""full"",""aa8e3e06-493e-57c9-b316-099abd60a223"":""full"",""c3eb7bef-bbd9-5e2f-aae3-fc94cb569327"":""full""}}","{""aggregate_individual_value_exposure"":0,""archived_source_usage"":0,""denied_filename_hash_page_disclosure"":0,""generator_visible_restricted_text"":0,""local_path_exposure"":0,""prohibited_document_id_exposure"":0,""prohibited_text_fragment_exposure"":0,""source_existence_disclosure"":0,""wrong_permission_citation"":0}",0,8e292bb2-a1a3-56c9-ab72-b9507ca84234,a09d96ea3295af81b2d8779c73317d97a27bd4fdfae02e4a2184309c0d938c19,48d9ef83d625a1cb49d8f1910ed9ee17930f4625e0854cae8f8368d80006d84e
openai,1,C0_VECTOR_ONLY,C0,S2,S2-Q5,Do the documents establish that the 18-month regional service period replaces the 24-month manufacturer warranty for my Velora V55? Explain the two periods without assuming that one supersedes the other.,Owner/Full,FULL_ANSWER,FULL_ANSWER,supported,supported,baseline_generation,1,1,1,1,1,1,0,0,0,0,2,2,2,1.0,1.0,1.0,1.0,0,0,0,0,0,5,5,6,1.0,1.0,0.4,1.0,1353,157,1510,0,,provider_reported,1,0,211.8474,2048.5658,5603.0997,0,,"The documents establish two distinct periods for the Velora V55: a 24-month manufacturer warranty and an 18-month regional service period. 

1. **Manufacturer Warranty**: The warranty period is 24 months from the original retail purchase date, beginning on the date printed on the valid sales receipt or invoice. This warranty covers the product for the full duration unless local law provides a longer period.

2. **Regional Service Period**: For products handled under the Central Region service program, the service period is 18 months from the original retail purchase date. This period also starts from the date printed on the original retailer receipt or invoice.

Both periods are calculated from the same starting date, which is the original purchase date, but they serve different purposes and do not replace one another.","[""0d17d0fc-16d2-5f74-a1f3-d463aaaee621"",""61a4e6a0-6f5a-586e-9150-a89cd54c37d0"",""8675d9de-71a5-5665-a76a-67781fabd2f6"",""aa8e3e06-493e-57c9-b316-099abd60a223"",""c3eb7bef-bbd9-5e2f-aae3-fc94cb569327""]","[""0d17d0fc-16d2-5f74-a1f3-d463aaaee621"",""aa8e3e06-493e-57c9-b316-099abd60a223""]","[""0d17d0fc-16d2-5f74-a1f3-d463aaaee621:2"",""aa8e3e06-493e-57c9-b316-099abd60a223:1""]",,"{""content_document_count"":5,""denied_document_count"":0,""metadata_only_count"":0,""use_decisions"":{""0d17d0fc-16d2-5f74-a1f3-d463aaaee621"":""full"",""61a4e6a0-6f5a-586e-9150-a89cd54c37d0"":""full"",""8675d9de-71a5-5665-a76a-67781fabd2f6"":""full"",""aa8e3e06-493e-57c9-b316-099abd60a223"":""full"",""c3eb7bef-bbd9-5e2f-aae3-fc94cb569327"":""full""}}","{""aggregate_individual_value_exposure"":0,""archived_source_usage"":0,""denied_filename_hash_page_disclosure"":0,""generator_visible_restricted_text"":0,""local_path_exposure"":0,""prohibited_document_id_exposure"":0,""prohibited_text_fragment_exposure"":0,""source_existence_disclosure"":0,""wrong_permission_citation"":0}",0,1382d1f5-1464-5166-8d3f-722b5dd68e02,f4003a0f46bc73db64b32156a0c8c88f5edfeebc2e9b0145332500d2dc841b5c,3b841f4bc4d2a022410e6550f1c091f73667f4bf9642cd123a4d2f3bd9f777af
