Repetition,Configuration,Cases,Output accuracy,Permitted-answer accuracy,Controlled-failure correctness,Citation coverage,Support precision,Page correctness,Safety findings,Tokens,Mean latency,Runtime/parser/provider errors
1,C0,42,0.690476,0.324324,0.0,0.369048,0.409639,0.277108,3,45513,2530.24881,0
1,C1,42,0.690476,0.324324,0.0,0.357143,0.432432,0.297297,3,44223,2255.30771,0
1,C2,42,0.738095,0.459459,0.538462,0.369048,0.578947,0.403509,0,29964,2653.715857,0
1,C3,42,0.690476,0.459459,0.538462,0.369048,0.697674,0.534884,0,44447,2554.804886,0
2,C0,42,0.690476,0.324324,0.0,0.369048,0.409639,0.277108,3,45576,2346.56739,0
2,C1,42,0.690476,0.324324,0.0,0.369048,0.44,0.306667,3,44252,19016.634505,0
2,C2,42,0.738095,0.459459,0.538462,0.369048,0.578947,0.403509,0,29930,2561.0207,0
2,C3,42,0.690476,0.459459,0.538462,0.369048,0.697674,0.534884,0,44418,11198.620121,0
3,C0,42,0.690476,0.324324,0.0,0.369048,0.409639,0.277108,3,45492,4718.877952,0
3,C1,42,0.333333,0.297297,0.0,0.214286,0.413793,0.37931,1,20345,2819.29854,22
3,C2,42,0.738095,0.459459,0.538462,0.369048,0.578947,0.403509,0,29951,2816.680452,0
3,C3,42,0.690476,0.459459,0.538462,0.369048,0.697674,0.534884,0,44394,2615.418388,0
