Configuration,Scenario,Cases,Output accuracy,Permitted-answer accuracy,Controlled-failure correctness,Citation coverage,Support precision,Page correctness,Safety findings,Tokens,Mean latency,Runtime/parser/provider errors
C0,S1,18,0.833333,1.0,0.0,0.75,0.714286,0.714286,0,10328,2342.026594,0
C0,S2,18,1.0,1.0,,0.75,0.777778,0.666667,0,25147,3647.506411,0
C0,S3,30,0.5,0.0,0.0,0.1,0.15,0.1,3,39917,1309.481757,0
C0,S4B,24,0.5,0.0,0.0,0.041667,0.291667,0.041667,6,24388,2090.969417,0
C0,S5B,18,0.666667,0.0,0.0,0.333333,0.571429,0.428571,0,13415,2705.296639,0
C0,S6,18,0.833333,0.2,0.0,0.527778,0.5,0.375,0,23386,8724.694561,0
C1,S1,18,0.833333,1.0,0.0,0.75,1.0,1.0,0,9318,2200.527161,0
C1,S2,18,1.0,1.0,,0.777778,0.863636,0.863636,0,20993,3381.748578,0
C1,S3,30,0.433333,0.0,0.0,0.066667,0.115385,0.076923,2,34580,1406.231363,4
C1,S4B,24,0.333333,0.0,0.0,0.027778,0.283019,0.037736,5,18644,31550.372346,6
C1,S5B,18,0.444444,0.0,0.0,0.222222,0.571429,0.428571,0,8975,3429.530094,6
C1,S6,18,0.555556,0.133333,0.0,0.296296,0.636364,0.454545,0,16310,2790.207194,6
C2,S1,18,1.0,1.0,1.0,0.75,0.714286,0.714286,0,8700,2557.808417,0
C2,S2,18,1.0,1.0,,0.75,0.777778,0.666667,0,25161,3968.565178,0
C2,S3,30,0.6,0.444444,0.8,0.1,0.5,0.333333,0,12020,1612.2853,0
C2,S4B,24,0.625,0.166667,0.5,0.041667,0.461538,0.076923,0,15127,2088.198833,0
C2,S5B,18,0.5,0.0,0.0,0.333333,0.666667,0.5,0,11163,3057.027917,0
C2,S6,18,0.833333,0.2,0.0,0.527778,0.5,0.375,0,17674,3685.164233,0
C3,S1,18,1.0,1.0,1.0,0.75,1.0,1.0,0,13314,22661.685222,0
C3,S2,18,1.0,1.0,,0.833333,0.875,0.875,0,34868,3868.243822,0
C3,S3,30,0.4,0.444444,0.8,0.1,0.5,0.5,0,13535,1646.099197,0
C3,S4B,24,0.625,0.166667,0.5,0.041667,0.555556,0.111111,0,19461,2002.695908,0
C3,S5B,18,0.5,0.0,0.0,0.333333,0.666667,0.5,0,19956,3007.339922,0
C3,S6,18,0.833333,0.2,0.0,0.444444,0.636364,0.454545,0,32125,3242.939083,0
