Case,Configuration,Repetitions,Status,Output class stable 3/3,Reason code stable,Answer text identical,Factual-atom pass stable,Citation document set stable,Citation page set stable,Safety outcome stable,Repeated failure 3/3,One-off failure
S1-Q1,C0,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S1-Q1,C1,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S1-Q1,C2,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S1-Q1,C3,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S1-Q2,C0,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S1-Q2,C1,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S1-Q2,C2,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S1-Q2,C3,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S1-Q3,C0,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S1-Q3,C1,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S1-Q3,C2,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S1-Q3,C3,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S1-Q4,C0,3,COMPLETE,YES,YES,NO,YES,YES,YES,YES,0,0
S1-Q4,C1,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S1-Q4,C2,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S1-Q4,C3,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S1-Q5,C0,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S1-Q5,C1,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S1-Q5,C2,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S1-Q5,C3,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S1-Q6,C0,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S1-Q6,C1,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S1-Q6,C2,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S1-Q6,C3,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S2-Q1,C0,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S2-Q1,C1,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S2-Q1,C2,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S2-Q1,C3,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S2-Q2,C0,3,COMPLETE,YES,YES,NO,YES,YES,YES,YES,0,0
S2-Q2,C1,3,COMPLETE,YES,YES,NO,YES,NO,NO,YES,0,0
S2-Q2,C2,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S2-Q2,C3,3,COMPLETE,YES,YES,NO,YES,YES,YES,YES,0,0
S2-Q3,C0,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S2-Q3,C1,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S2-Q3,C2,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S2-Q3,C3,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S2-Q4,C0,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S2-Q4,C1,3,COMPLETE,YES,YES,NO,YES,YES,YES,YES,0,0
S2-Q4,C2,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S2-Q4,C3,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S2-Q5,C0,3,COMPLETE,YES,YES,NO,YES,YES,YES,YES,0,0
S2-Q5,C1,3,COMPLETE,YES,YES,NO,YES,YES,YES,YES,0,0
S2-Q5,C2,3,COMPLETE,YES,YES,NO,YES,YES,YES,YES,0,0
S2-Q5,C3,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S2-Q6,C0,3,COMPLETE,YES,YES,NO,YES,YES,YES,YES,0,0
S2-Q6,C1,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S2-Q6,C2,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S2-Q6,C3,3,COMPLETE,YES,YES,NO,YES,YES,YES,YES,0,0
S3-Q1,C0,3,COMPLETE,YES,YES,NO,YES,YES,YES,YES,0,0
S3-Q1,C1,3,COMPLETE,YES,YES,NO,YES,YES,YES,YES,0,0
S3-Q1,C2,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S3-Q1,C3,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S3-Q10,C0,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S3-Q10,C1,3,COMPLETE,NO,NO,NO,YES,NO,NO,YES,0,1
S3-Q10,C2,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S3-Q10,C3,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S3-Q2,C0,3,COMPLETE,YES,YES,NO,YES,YES,YES,YES,0,0
S3-Q2,C1,3,COMPLETE,YES,YES,NO,YES,YES,YES,YES,0,0
S3-Q2,C2,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S3-Q2,C3,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S3-Q3,C0,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S3-Q3,C1,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S3-Q3,C2,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S3-Q3,C3,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S3-Q4,C0,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S3-Q4,C1,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S3-Q4,C2,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S3-Q4,C3,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S3-Q5,C0,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S3-Q5,C1,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S3-Q5,C2,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S3-Q5,C3,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S3-Q6,C0,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S3-Q6,C1,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S3-Q6,C2,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S3-Q6,C3,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S3-Q7,C0,3,COMPLETE,YES,YES,YES,YES,YES,YES,YES,0,0
S3-Q7,C1,3,COMPLETE,NO,NO,NO,YES,NO,NO,YES,0,1
