expected_output_class,actual_output_class,count
FULL_ANSWER,AGGREGATE_RESULT,0
FULL_ANSWER,CLARIFICATION,0
FULL_ANSWER,CONSTRAINED_ANSWER,0
FULL_ANSWER,FULL_ANSWER,29
FULL_ANSWER,REFUSE_AGGREGATION_THRESHOLD,0
FULL_ANSWER,REFUSE_INSUFFICIENT_EVIDENCE,0
AGGREGATE_RESULT,AGGREGATE_RESULT,0
AGGREGATE_RESULT,CLARIFICATION,0
AGGREGATE_RESULT,CONSTRAINED_ANSWER,0
AGGREGATE_RESULT,FULL_ANSWER,5
AGGREGATE_RESULT,REFUSE_AGGREGATION_THRESHOLD,0
AGGREGATE_RESULT,REFUSE_INSUFFICIENT_EVIDENCE,0
CONSTRAINED_ANSWER,AGGREGATE_RESULT,0
CONSTRAINED_ANSWER,CLARIFICATION,0
CONSTRAINED_ANSWER,CONSTRAINED_ANSWER,0
CONSTRAINED_ANSWER,FULL_ANSWER,3
CONSTRAINED_ANSWER,REFUSE_AGGREGATION_THRESHOLD,0
CONSTRAINED_ANSWER,REFUSE_INSUFFICIENT_EVIDENCE,0
REFUSE_INSUFFICIENT_EVIDENCE,AGGREGATE_RESULT,0
REFUSE_INSUFFICIENT_EVIDENCE,CLARIFICATION,0
REFUSE_INSUFFICIENT_EVIDENCE,CONSTRAINED_ANSWER,0
REFUSE_INSUFFICIENT_EVIDENCE,FULL_ANSWER,3
REFUSE_INSUFFICIENT_EVIDENCE,REFUSE_AGGREGATION_THRESHOLD,0
REFUSE_INSUFFICIENT_EVIDENCE,REFUSE_INSUFFICIENT_EVIDENCE,0
REFUSE_AGGREGATION_THRESHOLD,AGGREGATE_RESULT,0
REFUSE_AGGREGATION_THRESHOLD,CLARIFICATION,0
REFUSE_AGGREGATION_THRESHOLD,CONSTRAINED_ANSWER,0
REFUSE_AGGREGATION_THRESHOLD,FULL_ANSWER,1
REFUSE_AGGREGATION_THRESHOLD,REFUSE_AGGREGATION_THRESHOLD,0
REFUSE_AGGREGATION_THRESHOLD,REFUSE_INSUFFICIENT_EVIDENCE,0
CLARIFICATION,AGGREGATE_RESULT,0
CLARIFICATION,CLARIFICATION,0
CLARIFICATION,CONSTRAINED_ANSWER,0
CLARIFICATION,FULL_ANSWER,1
CLARIFICATION,REFUSE_AGGREGATION_THRESHOLD,0
CLARIFICATION,REFUSE_INSUFFICIENT_EVIDENCE,0
