Configuration,Expected output class,Cases,Output accuracy,Balanced accuracy,Macro recall,Permitted-answer accuracy,Controlled-failure correctness,Citation coverage,Support precision,Page correctness,Safety findings,Tokens,Mean latency,Runtime/parser/provider errors
C0,AGGREGATE_RESULT,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4170,316.33306,0
C0,CLARIFICATION,1,0.0,0.0,0.0,,0.0,0.0,,,0,1023,510.9591,0
C0,CONSTRAINED_ANSWER,3,0.0,0.0,0.0,0.0,0.0,0.0,0.285714,0.0,0,1760,291.634033,0
C0,FULL_ANSWER,29,1.0,1.0,1.0,0.413793,,0.517241,0.566038,0.396226,0,21043,340.800138,0
C0,REFUSE_AGGREGATION_THRESHOLD,1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1,643,563.5743,0
C0,REFUSE_INSUFFICIENT_EVIDENCE,3,0.0,0.0,0.0,,0.0,0.0,0.333333,0.0,0,2014,305.069333,0
C1,AGGREGATE_RESULT,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4170,243.0058,0
C1,CLARIFICATION,1,0.0,0.0,0.0,,0.0,0.0,,,0,1034,226.9123,0
C1,CONSTRAINED_ANSWER,3,0.0,0.0,0.0,0.0,0.0,0.0,0.285714,0.0,0,1760,200.650833,0
C1,FULL_ANSWER,29,1.0,1.0,1.0,0.413793,,0.5,0.617021,0.425532,0,20414,232.275562,0
C1,REFUSE_AGGREGATION_THRESHOLD,1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1,643,367.5591,0
C1,REFUSE_INSUFFICIENT_EVIDENCE,3,0.0,0.0,0.0,,0.0,0.0,0.333333,0.0,0,2014,206.623333,0
C2,AGGREGATE_RESULT,5,1.0,1.0,1.0,1.0,1.0,0.0,,,0,0,494.94368,0
C2,CLARIFICATION,1,0.0,0.0,0.0,,0.0,0.0,,,0,0,607.9978,0
C2,CONSTRAINED_ANSWER,3,0.0,0.0,0.0,0.0,0.0,0.0,0.285714,0.0,0,1760,659.576933,0
C2,FULL_ANSWER,29,0.827586,0.827586,0.827586,0.413793,,0.517241,0.666667,0.5,0,16943,696.467652,0
C2,REFUSE_AGGREGATION_THRESHOLD,1,1.0,1.0,1.0,,1.0,0.0,,,0,0,397.4853,0
C2,REFUSE_INSUFFICIENT_EVIDENCE,3,0.333333,0.333333,0.333333,,0.333333,0.0,0.333333,0.0,0,1438,620.234467,0
C3,AGGREGATE_RESULT,5,1.0,1.0,1.0,1.0,1.0,0.0,,,0,0,599.44906,0
C3,CLARIFICATION,1,0.0,0.0,0.0,,0.0,0.0,,,0,0,611.6121,0
C3,CONSTRAINED_ANSWER,3,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0,1373,657.257067,0
C3,FULL_ANSWER,29,0.758621,0.758621,0.758621,0.413793,,0.5,0.764706,0.588235,0,19791,698.300383,0
C3,REFUSE_AGGREGATION_THRESHOLD,1,1.0,1.0,1.0,,1.0,0.0,,,0,0,538.2729,0
C3,REFUSE_INSUFFICIENT_EVIDENCE,3,0.333333,0.333333,0.333333,,0.333333,0.0,0.333333,0.0,0,1842,698.6146,0
P1,AGGREGATE_RESULT,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,5982,266.25972,0
P1,CLARIFICATION,1,0.0,0.0,0.0,,0.0,0.0,,,2,1243,219.5202,0
P1,CONSTRAINED_ANSWER,3,0.0,0.0,0.0,0.0,0.0,0.0,0.285714,0.0,1,2279,245.953133,0
P1,FULL_ANSWER,29,1.0,1.0,1.0,0.413793,,0.5,0.617021,0.425532,9,25752,244.646703,0
P1,REFUSE_AGGREGATION_THRESHOLD,1,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,5,638,120.3996,0
P1,REFUSE_INSUFFICIENT_EVIDENCE,3,0.0,0.0,0.0,,0.0,0.0,0.333333,0.0,2,2551,226.4332,0
