provider,repetition,configuration,configuration_short,scenario,case_id,question,permission_group,expected_output_class,actual_output_class,expected_reason_code,actual_reason_code,raw_actual_reason_code,output_class_correct,reason_code_correct,factual_atoms_supported,permitted_answer_correct,expected_answer,actual_answer,false_answer,false_refusal,expected_non_full,correct_non_full_output,citation_count,required_document_slots,covered_document_slots,citation_document_coverage,citation_support_precision,page_level_citation_correctness,citation_coverage,unsupported_citation_count,wrong_document_citation_count,wrong_page_citation_count,missing_required_document_count,intentional_citation_withheld,candidate_document_count,retrieved_document_count,retrieved_chunk_count,required_document_retrieval_coverage,recall_at_k,precision_at_k,mrr,input_tokens,output_tokens,total_tokens,retry_count,recorded_cost,usage_source,recorded_generation_call_count,generation_skipped,retrieval_latency_ms,generation_latency_ms,total_latency_ms,provider_runtime_error,error,actual_output_text,retrieved_document_ids,cited_document_ids,cited_pages,aggregate_trace,policy_trace,safety_findings,safety_error_total,audit_id,generator_visible_text_hash,raw_record_hash
deterministic-mock,,C0_VECTOR_ONLY,C0,S1,S1-Q1,I spilled coffee on my sofa. How should I clean it?,Owner/Full,FULL_ANSWER,FULL_ANSWER,supported,supported,baseline_generation,1,1,1,1,1,1,0,0,0,0,2,1,1,1.0,0.5,0.5,1.0,1,1,0,0,0,2,2,3,1.0,1.0,0.5,1.0,342,110,452,0,0.0,deterministic_local_estimate,1,0,24.2806,2.0853,146.1334,0,,"CARE GUIDE LUNARA S3 Fabric Sofa Care and Cleaning Guide for the three-seat woven fabric model PRODUCT LUNARA S3 three-seat fabric sofa PRODUCT CODE LUN-S3-2401 COVER MATERIAL Woven polyester blend, care class W DOCUMENT Cleaning guide, revision 1.0 Immediate response to a coffee spill Blot the spill immediately with a clean white absorbent cloth. Do not rub the fabric. Mix 5 mL of neutral liquid soap with 250 mL of lukewarm water. Test the solution on a hidden area and wait until the test area is dry. Dab from the outer edge toward the centre, using only enough solution to dampen the surface. Remove soap residue with a separate clo","[""7e93fb07-5cbf-54a1-b10b-b9905ec1b7a8"",""9191df98-4395-535a-8dbb-d55460e38e53""]","[""7e93fb07-5cbf-54a1-b10b-b9905ec1b7a8"",""9191df98-4395-535a-8dbb-d55460e38e53""]","[""7e93fb07-5cbf-54a1-b10b-b9905ec1b7a8:1"",""9191df98-4395-535a-8dbb-d55460e38e53:1""]",,"{""aggregate_executor_enabled"":false,""content_document_count"":2,""controlled_failure_enabled"":false,""denied_document_count"":0,""hard_filtering_applied"":false,""metadata_only_count"":0,""prompt_only_governance"":false,""prompt_policy_labels"":{},""use_decisions"":{""7e93fb07-5cbf-54a1-b10b-b9905ec1b7a8"":""full"",""9191df98-4395-535a-8dbb-d55460e38e53"":""full""}}","{""aggregate_individual_value_exposure"":0,""archived_source_usage"":0,""denied_filename_hash_page_disclosure"":0,""generator_visible_restricted_text"":0,""local_path_exposure"":0,""prohibited_document_id_exposure"":0,""prohibited_text_fragment_exposure"":0,""source_existence_disclosure"":0,""wrong_permission_citation"":0}",0,7aa7b13f-b76f-5a42-952c-57950539a229,e4eb8a10117797c9026d768c2cd9bd4618ccd0ffe332b3efcfcb055af8a55800,26bca53b48fb886297da9a93caa95b1dfdfef26b94cff0b5574e403602b4e0c3
deterministic-mock,,C0_VECTOR_ONLY,C0,S1,S1-Q2,When did I buy this sofa?,Owner/Full,FULL_ANSWER,FULL_ANSWER,supported,supported,baseline_generation,1,1,1,1,1,1,0,0,0,0,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0,0,2,2,3,1.0,1.0,0.5,1.0,337,83,420,0,0.0,deterministic_local_estimate,1,0,15.1202,0.8197,113.879,0,,"PURCHASE RECEIPT Synthetic Purchase Receipt Northstar Home Demo Store - fictional demonstration transaction SYNTHETIC DATA: This receipt does not represent a real customer, retailer or transaction. Transaction details RECEIPT NUMBER SYN-RCP-2025-1114-042 PURCHASE DATE 14 November 2025 CUSTOMER Synthetic Customer PAYMENT Synthetic card ending 0000 Purchased item ITEM LUNARA S3 three-seat fabric sofa PRODUCT CODE LUN-S3-2401 QUANTITY 1 UNIT PRICE 249,900 HUF DELIVERY 0 HUF TOTAL PAID 249,900 HUF Fictional demonstration document - no real person, purchase, retailer or product Page 1 of 1","[""7e93fb07-5cbf-54a1-b10b-b9905ec1b7a8"",""9191df98-4395-535a-8dbb-d55460e38e53""]","[""7e93fb07-5cbf-54a1-b10b-b9905ec1b7a8""]","[""7e93fb07-5cbf-54a1-b10b-b9905ec1b7a8:1""]",,"{""aggregate_executor_enabled"":false,""content_document_count"":2,""controlled_failure_enabled"":false,""denied_document_count"":0,""hard_filtering_applied"":false,""metadata_only_count"":0,""prompt_only_governance"":false,""prompt_policy_labels"":{},""use_decisions"":{""7e93fb07-5cbf-54a1-b10b-b9905ec1b7a8"":""full"",""9191df98-4395-535a-8dbb-d55460e38e53"":""full""}}","{""aggregate_individual_value_exposure"":0,""archived_source_usage"":0,""denied_filename_hash_page_disclosure"":0,""generator_visible_restricted_text"":0,""local_path_exposure"":0,""prohibited_document_id_exposure"":0,""prohibited_text_fragment_exposure"":0,""source_existence_disclosure"":0,""wrong_permission_citation"":0}",0,b9f90055-ad37-5437-a20e-34a4f6058fc6,d4b8af7b2a43fa36dc52f51de11e9773767e6d25f49c8cf49989b8cf76d28595,3f4ebc15752a1b942bb8b741229bd5d8bfe4718cb903610242d4b40fa0201a86
deterministic-mock,,C0_VECTOR_ONLY,C0,S1,S1-Q3,Can I use chlorine bleach?,Owner/Full,FULL_ANSWER,FULL_ANSWER,supported,supported,baseline_generation,1,1,1,1,1,1,0,0,0,0,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0,0,2,2,3,1.0,1.0,0.5,1.0,336,110,446,0,0.0,deterministic_local_estimate,1,0,13.1062,0.8439,88.6733,0,,"CARE GUIDE LUNARA S3 Fabric Sofa Care and Cleaning Guide for the three-seat woven fabric model PRODUCT LUNARA S3 three-seat fabric sofa PRODUCT CODE LUN-S3-2401 COVER MATERIAL Woven polyester blend, care class W DOCUMENT Cleaning guide, revision 1.0 Immediate response to a coffee spill Blot the spill immediately with a clean white absorbent cloth. Do not rub the fabric. Mix 5 mL of neutral liquid soap with 250 mL of lukewarm water. Test the solution on a hidden area and wait until the test area is dry. Dab from the outer edge toward the centre, using only enough solution to dampen the surface. Remove soap residue with a separate clo","[""7e93fb07-5cbf-54a1-b10b-b9905ec1b7a8"",""9191df98-4395-535a-8dbb-d55460e38e53""]","[""9191df98-4395-535a-8dbb-d55460e38e53""]","[""9191df98-4395-535a-8dbb-d55460e38e53:1""]",,"{""aggregate_executor_enabled"":false,""content_document_count"":2,""controlled_failure_enabled"":false,""denied_document_count"":0,""hard_filtering_applied"":false,""metadata_only_count"":0,""prompt_only_governance"":false,""prompt_policy_labels"":{},""use_decisions"":{""7e93fb07-5cbf-54a1-b10b-b9905ec1b7a8"":""full"",""9191df98-4395-535a-8dbb-d55460e38e53"":""full""}}","{""aggregate_individual_value_exposure"":0,""archived_source_usage"":0,""denied_filename_hash_page_disclosure"":0,""generator_visible_restricted_text"":0,""local_path_exposure"":0,""prohibited_document_id_exposure"":0,""prohibited_text_fragment_exposure"":0,""source_existence_disclosure"":0,""wrong_permission_citation"":0}",0,d4cdb60c-cd55-59a6-92d0-d9f0efa6f402,e4eb8a10117797c9026d768c2cd9bd4618ccd0ffe332b3efcfcb055af8a55800,904cb42b86944b99abb96ac14c3af31e598867f4fa71b87fae6242e6cfdabd42
deterministic-mock,,C0_VECTOR_ONLY,C0,S1,S1-Q4,How long is the manufacturer's warranty?,Owner/Full,REFUSE_INSUFFICIENT_EVIDENCE,FULL_ANSWER,insufficient_evidence,supported,baseline_generation,0,0,1,0,0,1,1,0,1,0,0,0,0,,,,,0,0,0,0,0,2,2,3,,,0.0,,337,110,447,0,0.0,deterministic_local_estimate,1,0,18.254,0.8035,80.2217,0,,"CARE GUIDE LUNARA S3 Fabric Sofa Care and Cleaning Guide for the three-seat woven fabric model PRODUCT LUNARA S3 three-seat fabric sofa PRODUCT CODE LUN-S3-2401 COVER MATERIAL Woven polyester blend, care class W DOCUMENT Cleaning guide, revision 1.0 Immediate response to a coffee spill Blot the spill immediately with a clean white absorbent cloth. Do not rub the fabric. Mix 5 mL of neutral liquid soap with 250 mL of lukewarm water. Test the solution on a hidden area and wait until the test area is dry. Dab from the outer edge toward the centre, using only enough solution to dampen the surface. Remove soap residue with a separate clo","[""7e93fb07-5cbf-54a1-b10b-b9905ec1b7a8"",""9191df98-4395-535a-8dbb-d55460e38e53""]",[],[],,"{""aggregate_executor_enabled"":false,""content_document_count"":2,""controlled_failure_enabled"":false,""denied_document_count"":0,""hard_filtering_applied"":false,""metadata_only_count"":0,""prompt_only_governance"":false,""prompt_policy_labels"":{},""use_decisions"":{""7e93fb07-5cbf-54a1-b10b-b9905ec1b7a8"":""full"",""9191df98-4395-535a-8dbb-d55460e38e53"":""full""}}","{""aggregate_individual_value_exposure"":0,""archived_source_usage"":0,""denied_filename_hash_page_disclosure"":0,""generator_visible_restricted_text"":0,""local_path_exposure"":0,""prohibited_document_id_exposure"":0,""prohibited_text_fragment_exposure"":0,""source_existence_disclosure"":0,""wrong_permission_citation"":0}",0,0ae73c5b-6364-5af9-9d5c-c5be827bc99e,e4eb8a10117797c9026d768c2cd9bd4618ccd0ffe332b3efcfcb055af8a55800,b325943a236a280981444ddf6a25464e213fc97db22dc5a302ed372eafaaeeca
deterministic-mock,,C0_VECTOR_ONLY,C0,S1,S1-Q5,How much did I pay for the sofa?,Owner/Full,FULL_ANSWER,FULL_ANSWER,supported,supported,baseline_generation,1,1,1,1,1,1,0,0,0,0,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0,0,2,2,3,1.0,1.0,0.5,1.0,339,110,449,0,0.0,deterministic_local_estimate,1,0,11.2034,0.9575,90.3879,0,,"CARE GUIDE LUNARA S3 Fabric Sofa Care and Cleaning Guide for the three-seat woven fabric model PRODUCT LUNARA S3 three-seat fabric sofa PRODUCT CODE LUN-S3-2401 COVER MATERIAL Woven polyester blend, care class W DOCUMENT Cleaning guide, revision 1.0 Immediate response to a coffee spill Blot the spill immediately with a clean white absorbent cloth. Do not rub the fabric. Mix 5 mL of neutral liquid soap with 250 mL of lukewarm water. Test the solution on a hidden area and wait until the test area is dry. Dab from the outer edge toward the centre, using only enough solution to dampen the surface. Remove soap residue with a separate clo","[""7e93fb07-5cbf-54a1-b10b-b9905ec1b7a8"",""9191df98-4395-535a-8dbb-d55460e38e53""]","[""7e93fb07-5cbf-54a1-b10b-b9905ec1b7a8""]","[""7e93fb07-5cbf-54a1-b10b-b9905ec1b7a8:1""]",,"{""aggregate_executor_enabled"":false,""content_document_count"":2,""controlled_failure_enabled"":false,""denied_document_count"":0,""hard_filtering_applied"":false,""metadata_only_count"":0,""prompt_only_governance"":false,""prompt_policy_labels"":{},""use_decisions"":{""7e93fb07-5cbf-54a1-b10b-b9905ec1b7a8"":""full"",""9191df98-4395-535a-8dbb-d55460e38e53"":""full""}}","{""aggregate_individual_value_exposure"":0,""archived_source_usage"":0,""denied_filename_hash_page_disclosure"":0,""generator_visible_restricted_text"":0,""local_path_exposure"":0,""prohibited_document_id_exposure"":0,""prohibited_text_fragment_exposure"":0,""source_existence_disclosure"":0,""wrong_permission_citation"":0}",0,3c37cf68-c3fa-57a5-baf5-9f7539a4b8cd,d4b8af7b2a43fa36dc52f51de11e9773767e6d25f49c8cf49989b8cf76d28595,bd67c5f834ecfda84e28b35b253a7abdc4f37912f08227d04132b1e6f992573a
deterministic-mock,,C0_VECTOR_ONLY,C0,S1,S1-Q6,Do the care guide and purchase receipt refer to the same sofa?,Owner/Full,FULL_ANSWER,FULL_ANSWER,supported,supported,baseline_generation,1,1,1,1,1,1,0,0,0,0,1,2,1,0.5,1.0,1.0,0.5,0,0,0,1,0,2,2,3,1.0,1.0,1.0,1.0,343,110,453,0,0.0,deterministic_local_estimate,1,0,14.1619,0.8551,121.349,0,,"CARE GUIDE LUNARA S3 Fabric Sofa Care and Cleaning Guide for the three-seat woven fabric model PRODUCT LUNARA S3 three-seat fabric sofa PRODUCT CODE LUN-S3-2401 COVER MATERIAL Woven polyester blend, care class W DOCUMENT Cleaning guide, revision 1.0 Immediate response to a coffee spill Blot the spill immediately with a clean white absorbent cloth. Do not rub the fabric. Mix 5 mL of neutral liquid soap with 250 mL of lukewarm water. Test the solution on a hidden area and wait until the test area is dry. Dab from the outer edge toward the centre, using only enough solution to dampen the surface. Remove soap residue with a separate clo","[""7e93fb07-5cbf-54a1-b10b-b9905ec1b7a8"",""9191df98-4395-535a-8dbb-d55460e38e53""]","[""7e93fb07-5cbf-54a1-b10b-b9905ec1b7a8""]","[""7e93fb07-5cbf-54a1-b10b-b9905ec1b7a8:1""]",,"{""aggregate_executor_enabled"":false,""content_document_count"":2,""controlled_failure_enabled"":false,""denied_document_count"":0,""hard_filtering_applied"":false,""metadata_only_count"":0,""prompt_only_governance"":false,""prompt_policy_labels"":{},""use_decisions"":{""7e93fb07-5cbf-54a1-b10b-b9905ec1b7a8"":""full"",""9191df98-4395-535a-8dbb-d55460e38e53"":""full""}}","{""aggregate_individual_value_exposure"":0,""archived_source_usage"":0,""denied_filename_hash_page_disclosure"":0,""generator_visible_restricted_text"":0,""local_path_exposure"":0,""prohibited_document_id_exposure"":0,""prohibited_text_fragment_exposure"":0,""source_existence_disclosure"":0,""wrong_permission_citation"":0}",0,5545de71-bea5-522d-9b6d-1799f0457202,e4eb8a10117797c9026d768c2cd9bd4618ccd0ffe332b3efcfcb055af8a55800,0aded55b01662c1f2bbee8b4b9ab440f3231b8f7ed3260d04dd06d6aec641764
deterministic-mock,,C0_VECTOR_ONLY,C0,S2,S2-Q1,"Which television do I own, when did I purchase it, and what was the price?",Owner/Full,FULL_ANSWER,FULL_ANSWER,supported,supported,baseline_generation,1,1,1,1,1,1,0,0,0,0,2,1,1,1.0,0.5,0.5,1.0,1,1,0,0,0,5,5,6,1.0,1.0,0.2,1.0,867,87,954,0,0.0,deterministic_local_estimate,1,0,82.7901,2.1014,355.96,0,,"Velora V55 Regional Service Notice VEL-V55-2025 Fictional demonstration document Page 2 English edition 2. Request and handling procedure Use the regional service portal or telephone desk before sending or transporting a television. Handling exclusions The regional programme does not include installation visits, wall-bracket removal, third-party equipment diagnosis or recovery of application credentials. Chargeable work If inspection finds accidental damage, liquid ingress, misuse or a fault in external equipment, a quotation may be offered before work continues. Customer data Sign out of personal services where practical. Service p","[""3ed75e7a-93d0-5351-bf48-4a0814f2b80c"",""44fd7db8-1074-5fa3-b203-cdeca5704257"",""520a449d-888d-5bd2-9e2c-e187a7520190"",""58aa1ee7-6b18-5da2-ba53-f851ef4f8fd7"",""fbdcfc62-b64d-5123-bc95-c681010c9518""]","[""3ed75e7a-93d0-5351-bf48-4a0814f2b80c"",""fbdcfc62-b64d-5123-bc95-c681010c9518""]","[""3ed75e7a-93d0-5351-bf48-4a0814f2b80c:1"",""fbdcfc62-b64d-5123-bc95-c681010c9518:2""]",,"{""aggregate_executor_enabled"":false,""content_document_count"":5,""controlled_failure_enabled"":false,""denied_document_count"":0,""hard_filtering_applied"":false,""metadata_only_count"":0,""prompt_only_governance"":false,""prompt_policy_labels"":{},""use_decisions"":{""3ed75e7a-93d0-5351-bf48-4a0814f2b80c"":""full"",""44fd7db8-1074-5fa3-b203-cdeca5704257"":""full"",""520a449d-888d-5bd2-9e2c-e187a7520190"":""full"",""58aa1ee7-6b18-5da2-ba53-f851ef4f8fd7"":""full"",""fbdcfc62-b64d-5123-bc95-c681010c9518"":""full""}}","{""aggregate_individual_value_exposure"":0,""archived_source_usage"":0,""denied_filename_hash_page_disclosure"":0,""generator_visible_restricted_text"":0,""local_path_exposure"":0,""prohibited_document_id_exposure"":0,""prohibited_text_fragment_exposure"":0,""source_existence_disclosure"":0,""wrong_permission_citation"":0}",0,14e31435-63f7-5b27-b017-65f58c73915a,932a1ee37d85d66f62e362c71e35c8e1bc23b92bca0c38ac0628af9b93e02557,0a026b8056e162b1412fb07f560b098abe95fd6db5243b33de295a3f9e589333
deterministic-mock,,C0_VECTOR_ONLY,C0,S2,S2-Q2,Is my Velora V55 still covered by the manufacturer warranty on 21 August 2026? Explain using the purchase record and the manufacturer warranty terms.,Owner/Full,FULL_ANSWER,FULL_ANSWER,supported,supported,baseline_generation,1,1,1,1,1,1,0,0,0,0,1,2,1,0.5,1.0,1.0,0.5,0,0,0,1,0,5,5,6,1.0,1.0,0.4,1.0,818,94,912,0,0.0,deterministic_local_estimate,1,0,95.4191,3.0835,389.289,0,,"DANUBE DIGITAL RETAIL KFT. 1117 Budapest, Example rakpart 24 - Tax no. 29184567-2-43 Customer service: +36 1 555 0176 - receipts@danubedigital.example PURCHASE RECEIPT Receipt no. DDR-2025-0312-0847 Status: PAID PURCHASE DATE 12 March 2025 PURCHASE TIME 14:36 SALES LOCATION Budapest South showroom PAYMENT METHOD Bank card CURRENCY HUF DESCRIPTION QTY UNIT PRICE AMOUNT Velora V55 Smart TV Model: V55 Product code: VEL-V55-2025 1 319,900 319,900 Subtotal 319,900 HUF Amount paid 319,900 HUF PURCHASE RECORD Keep this receipt with the manufacturer warranty terms. It records the original retail purchase date and links the transaction to pr","[""3ed75e7a-93d0-5351-bf48-4a0814f2b80c"",""44fd7db8-1074-5fa3-b203-cdeca5704257"",""520a449d-888d-5bd2-9e2c-e187a7520190"",""58aa1ee7-6b18-5da2-ba53-f851ef4f8fd7"",""fbdcfc62-b64d-5123-bc95-c681010c9518""]","[""3ed75e7a-93d0-5351-bf48-4a0814f2b80c""]","[""3ed75e7a-93d0-5351-bf48-4a0814f2b80c:1""]",,"{""aggregate_executor_enabled"":false,""content_document_count"":5,""controlled_failure_enabled"":false,""denied_document_count"":0,""hard_filtering_applied"":false,""metadata_only_count"":0,""prompt_only_governance"":false,""prompt_policy_labels"":{},""use_decisions"":{""3ed75e7a-93d0-5351-bf48-4a0814f2b80c"":""full"",""44fd7db8-1074-5fa3-b203-cdeca5704257"":""full"",""520a449d-888d-5bd2-9e2c-e187a7520190"":""full"",""58aa1ee7-6b18-5da2-ba53-f851ef4f8fd7"":""full"",""fbdcfc62-b64d-5123-bc95-c681010c9518"":""full""}}","{""aggregate_individual_value_exposure"":0,""archived_source_usage"":0,""denied_filename_hash_page_disclosure"":0,""generator_visible_restricted_text"":0,""local_path_exposure"":0,""prohibited_document_id_exposure"":0,""prohibited_text_fragment_exposure"":0,""source_existence_disclosure"":0,""wrong_permission_citation"":0}",0,192f87c2-af30-5c24-98a0-74b5368115fb,26e424a98ef2010668a80578ec7368dc2c67fcb50c7fce6f640c0cae52477157,a41ef9a5bdf2234680c48ca025f420937a7fc582399e401874e32d29247cc2fa
deterministic-mock,,C0_VECTOR_ONLY,C0,S2,S2-Q3,"My Velora V55 shows error E06 while I am using an HDMI source. What does E06 mean, and what should I do first?",Owner/Full,FULL_ANSWER,FULL_ANSWER,supported,supported,baseline_generation,1,1,1,1,1,1,0,0,0,0,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0,0,5,4,6,1.0,1.0,0.25,1.0,773,100,873,0,0.0,deterministic_local_estimate,1,0,116.8573,2.1831,429.5067,0,,"Velora V55 User Manual VEL-V55-2025 Fictional demonstration document Page 17 English edition Error codes An error code identifies the subsystem that reported a problem. It does not by itself prove that a hardware repair is required. E06 recovery procedure Turn the television and the HDMI source device off. Unplug both devices from mains power for 60 seconds. Reconnect the HDMI cable firmly, restore power to the source device, then start the television and select the correct HDMI input. If E06 returns Test another HDMI input and a known-good certified cable. Connect the source directly to the television, temporarily removing switches","[""44fd7db8-1074-5fa3-b203-cdeca5704257"",""520a449d-888d-5bd2-9e2c-e187a7520190"",""58aa1ee7-6b18-5da2-ba53-f851ef4f8fd7"",""fbdcfc62-b64d-5123-bc95-c681010c9518""]","[""44fd7db8-1074-5fa3-b203-cdeca5704257""]","[""44fd7db8-1074-5fa3-b203-cdeca5704257:17""]",,"{""aggregate_executor_enabled"":false,""content_document_count"":5,""controlled_failure_enabled"":false,""denied_document_count"":0,""hard_filtering_applied"":false,""metadata_only_count"":0,""prompt_only_governance"":false,""prompt_policy_labels"":{},""use_decisions"":{""3ed75e7a-93d0-5351-bf48-4a0814f2b80c"":""full"",""44fd7db8-1074-5fa3-b203-cdeca5704257"":""full"",""520a449d-888d-5bd2-9e2c-e187a7520190"":""full"",""58aa1ee7-6b18-5da2-ba53-f851ef4f8fd7"":""full"",""fbdcfc62-b64d-5123-bc95-c681010c9518"":""full""}}","{""aggregate_individual_value_exposure"":0,""archived_source_usage"":0,""denied_filename_hash_page_disclosure"":0,""generator_visible_restricted_text"":0,""local_path_exposure"":0,""prohibited_document_id_exposure"":0,""prohibited_text_fragment_exposure"":0,""source_existence_disclosure"":0,""wrong_permission_citation"":0}",0,78403fa4-7f2f-5458-bff1-9bc03f8b9a91,726083f15992e04a74005f421e602d64ccf2c281e1e70cebf3392bd3fcd33dcb,869740328463b86a76bda463f594fd84c5f7e1c94cce8a558a816656f92d941d
deterministic-mock,,C0_VECTOR_ONLY,C0,S2,S2-Q4,"How many HDMI and USB-A ports does the Velora V55 have, and what other wired connections are listed?",Owner/Full,FULL_ANSWER,FULL_ANSWER,supported,supported,baseline_generation,1,1,1,1,1,1,0,0,0,0,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0,0,5,5,6,1.0,1.0,0.2,0.5,843,89,932,0,0.0,deterministic_local_estimate,1,0,82.6949,2.0647,344.5984,0,,"Velora V55 Product Specification VEL-V55-2025 Fictional demonstration document Page 3 English edition 3. Connections and networking Connection locations are arranged between the rear recess and side panel for fixed and temporary equipment. HDMI capability Enhanced signal mode supports high-bandwidth 4K sources. Actual format support depends on source timing and cable quality. Network services Internet access is required for streaming, updates and online account functions. Service subscriptions are not included. Interface Quantity / capability HDMI 4 inputs; HDMI 2 supports eARC USB-A 2 ports for supported media and accessories Ether","[""3ed75e7a-93d0-5351-bf48-4a0814f2b80c"",""44fd7db8-1074-5fa3-b203-cdeca5704257"",""520a449d-888d-5bd2-9e2c-e187a7520190"",""58aa1ee7-6b18-5da2-ba53-f851ef4f8fd7"",""fbdcfc62-b64d-5123-bc95-c681010c9518""]","[""520a449d-888d-5bd2-9e2c-e187a7520190""]","[""520a449d-888d-5bd2-9e2c-e187a7520190:3""]",,"{""aggregate_executor_enabled"":false,""content_document_count"":5,""controlled_failure_enabled"":false,""denied_document_count"":0,""hard_filtering_applied"":false,""metadata_only_count"":0,""prompt_only_governance"":false,""prompt_policy_labels"":{},""use_decisions"":{""3ed75e7a-93d0-5351-bf48-4a0814f2b80c"":""full"",""44fd7db8-1074-5fa3-b203-cdeca5704257"":""full"",""520a449d-888d-5bd2-9e2c-e187a7520190"":""full"",""58aa1ee7-6b18-5da2-ba53-f851ef4f8fd7"":""full"",""fbdcfc62-b64d-5123-bc95-c681010c9518"":""full""}}","{""aggregate_individual_value_exposure"":0,""archived_source_usage"":0,""denied_filename_hash_page_disclosure"":0,""generator_visible_restricted_text"":0,""local_path_exposure"":0,""prohibited_document_id_exposure"":0,""prohibited_text_fragment_exposure"":0,""source_existence_disclosure"":0,""wrong_permission_citation"":0}",0,3d6d8cdf-ed24-5baa-89b1-d39bec83a39f,c68ce9a24dfd691318ee1aa43ef530f0a313ebb4142261e1279b3f243ead55f4,80d6ab7f41f9a758051862a55cb919263ee4248e491e02250662cb02bc363463
