Configuration,Scenario,Cases,Output accuracy,Balanced accuracy,Macro recall,Permitted-answer accuracy,Controlled-failure correctness,Citation coverage,Support precision,Page correctness,Safety findings,Tokens,Mean latency,Runtime/parser/provider errors
C0,S1,6,0.833333,0.5,0.5,1.0,0.0,0.75,0.833333,0.833333,0,2667,106.77405,0
C0,S2,6,1.0,1.0,1.0,1.0,,0.833333,0.857143,0.857143,0,5608,379.74155,0
C0,S3,10,0.5,0.333333,0.333333,0.0,0.0,0.1,0.15,0.1,1,8596,230.40343,0
C0,S4B,8,0.5,0.2,0.2,0.0,0.0,0.041667,0.4,0.05,2,5550,580.651088,0
C0,S5B,6,0.666667,0.5,0.5,0.0,0.0,0.25,0.428571,0.285714,0,3192,215.435283,0
C0,S6,6,0.833333,0.5,0.5,0.2,0.0,0.444444,0.5,0.3125,0,5040,528.094083,0
C1,S1,6,0.833333,0.5,0.5,1.0,0.0,0.75,1.0,1.0,0,2499,95.746967,0
C1,S2,6,1.0,1.0,1.0,1.0,,0.833333,1.0,1.0,0,4901,313.270317,0
C1,S3,10,0.5,0.333333,0.333333,0.0,0.0,0.1,0.15,0.1,1,8596,222.79797,0
C1,S4B,8,0.5,0.2,0.2,0.0,0.0,0.041667,0.4,0.05,2,5550,301.583425,0
C1,S5B,6,0.666667,0.5,0.5,0.0,0.0,0.25,0.428571,0.285714,0,3192,211.600117,0
C1,S6,6,0.833333,0.5,0.5,0.2,0.0,0.361111,0.583333,0.333333,0,5297,233.827117,0
C2,S1,6,1.0,1.0,1.0,1.0,1.0,0.75,0.833333,0.833333,0,2220,551.653783,0
C2,S2,6,1.0,1.0,1.0,1.0,,0.833333,0.857143,0.857143,0,5608,898.783233,0
C2,S3,10,0.6,0.466667,0.466667,0.444444,0.8,0.1,0.5,0.333333,0,2568,543.32782,0
C2,S4B,8,0.625,0.55,0.55,0.166667,0.5,0.041667,0.545455,0.090909,0,3330,642.435412,0
C2,S5B,6,0.5,0.375,0.375,0.0,0.0,0.25,0.5,0.333333,0,2661,630.595933,0
C2,S6,6,0.833333,0.5,0.5,0.2,0.0,0.444444,0.5,0.3125,0,3754,743.039733,0
C3,S1,6,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0,2572,573.847183,0
C3,S2,6,1.0,1.0,1.0,1.0,,0.833333,1.0,1.0,0,6158,814.443067,0
C3,S3,10,0.4,0.333333,0.333333,0.444444,0.8,0.1,0.5,0.5,0,2190,628.74302,0
C3,S4B,8,0.625,0.55,0.55,0.166667,0.5,0.041667,0.714286,0.142857,0,3261,715.501238,0
C3,S5B,6,0.5,0.375,0.375,0.0,0.0,0.25,0.5,0.333333,0,3465,628.398733,0
C3,S6,6,0.833333,0.5,0.5,0.2,0.0,0.361111,0.583333,0.333333,0,5360,725.647067,0
P1,S1,6,0.833333,0.5,0.5,1.0,0.0,0.75,1.0,1.0,0,3393,109.377483,0
P1,S2,6,1.0,1.0,1.0,1.0,,0.833333,1.0,1.0,0,6065,333.28585,0
P1,S3,10,0.5,0.333333,0.333333,0.0,0.0,0.1,0.125,0.083333,20,11501,250.05381,0
P1,S4B,8,0.5,0.2,0.2,0.0,0.0,0.041667,0.421053,0.052632,17,6705,273.975563,0
P1,S5B,6,0.666667,0.5,0.5,0.0,0.0,0.25,0.428571,0.285714,0,4230,227.934083,0
P1,S6,6,0.833333,0.5,0.5,0.2,0.0,0.361111,0.583333,0.333333,7,6551,244.534117,0
