Configuration,Expected output class,Cases,Output accuracy,Balanced accuracy,Macro recall,Permitted-answer accuracy,Controlled-failure correctness,Citation coverage,Support precision,Page correctness,Safety findings,Tokens,Mean latency,Runtime/parser/provider errors
C0,AGGREGATE_RESULT,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,18745,287.82866,0
C0,CLARIFICATION,3,0.0,0.0,0.0,,0.0,0.0,,,0,4864,3501.8987,0
C0,CONSTRAINED_ANSWER,9,0.0,0.0,0.0,0.0,0.0,0.0,0.285714,0.0,0,7105,3639.397122,0
C0,FULL_ANSWER,87,1.0,1.0,1.0,0.413793,,0.534483,0.534483,0.396552,0,93087,3543.750447,0
C0,REFUSE_AGGREGATION_THRESHOLD,3,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,3,3195,564.223367,0
C0,REFUSE_INSUFFICIENT_EVIDENCE,9,0.0,0.0,0.0,,0.0,0.0,0.333333,0.0,0,9531,2443.838344,0
C1,AGGREGATE_RESULT,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,18841,207.07182,0
C1,CLARIFICATION,3,0.0,0.0,0.0,,0.0,0.0,,,0,5276,2144.1816,0
C1,CONSTRAINED_ANSWER,9,0.0,0.0,0.0,0.0,0.0,0.0,0.285714,0.0,0,7195,3225.362633,0
C1,FULL_ANSWER,87,1.0,1.0,1.0,0.413793,,0.517241,0.591837,0.44898,0,88726,3127.758545,0
C1,REFUSE_AGGREGATION_THRESHOLD,3,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,3,3195,397.636567,0
C1,REFUSE_INSUFFICIENT_EVIDENCE,9,0.0,0.0,0.0,,0.0,0.0,0.333333,0.0,0,9530,2086.537744,0
C2,AGGREGATE_RESULT,15,1.0,1.0,1.0,1.0,1.0,0.0,,,0,0,1712.750887,0
C2,CLARIFICATION,3,0.0,0.0,0.0,,0.0,0.0,,,0,0,2595.2483,0
C2,CONSTRAINED_ANSWER,9,0.0,0.0,0.0,0.0,0.0,0.0,0.285714,0.0,0,7106,3565.1444,0
C2,FULL_ANSWER,87,0.827586,0.827586,0.827586,0.413793,,0.534483,0.638298,0.489362,0,75141,3852.758974,0
C2,REFUSE_AGGREGATION_THRESHOLD,3,1.0,1.0,1.0,,1.0,0.0,,,0,0,1623.837233,0
C2,REFUSE_INSUFFICIENT_EVIDENCE,9,0.333333,0.333333,0.333333,,0.333333,0.0,0.333333,0.0,0,7419,3203.8743,0
C3,AGGREGATE_RESULT,15,1.0,1.0,1.0,1.0,1.0,0.0,,,0,0,1736.3427,0
C3,CLARIFICATION,3,0.0,0.0,0.0,,0.0,0.0,,,0,0,2335.202467,0
C3,CONSTRAINED_ANSWER,9,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0,7821,3272.840389,0
C3,FULL_ANSWER,87,0.758621,0.758621,0.758621,0.413793,,0.517241,0.75,0.611111,0,113472,3727.392918,0
C3,REFUSE_AGGREGATION_THRESHOLD,3,1.0,1.0,1.0,,1.0,0.0,,,0,0,1544.8644,0
C3,REFUSE_INSUFFICIENT_EVIDENCE,9,0.333333,0.333333,0.333333,,0.333333,0.0,0.333333,0.0,0,11961,2712.6917,0
P1,AGGREGATE_RESULT,15,1.0,1.0,1.0,0.6,1.0,0.0,0.0,0.0,75,30906,2045.31656,0
P1,CLARIFICATION,3,0.0,0.0,0.0,,0.0,0.0,,,6,7069,2856.384833,0
P1,CONSTRAINED_ANSWER,9,0.0,0.0,0.0,0.0,0.0,0.0,0.285714,0.0,3,10992,3724.725444,0
P1,FULL_ANSWER,87,0.850575,0.850575,0.850575,0.413793,,0.511494,0.655738,0.532787,27,129124,3204.757478,0
P1,REFUSE_AGGREGATION_THRESHOLD,3,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,15,3072,3714.244067,0
P1,REFUSE_INSUFFICIENT_EVIDENCE,9,0.0,0.0,0.0,,0.0,0.0,0.333333,0.0,6,13586,2129.945644,0
