Repetition,Comparison,Metric,C0 wins,Ties,C0 losses,Compared cases,C1 wins,C1 losses,P1 wins,P1 losses,C2 wins,C2 losses
1,C0 vs C1,Output class,0,42,0,42,,,,,,
1,C0 vs C1,Reason code,0,42,0,42,,,,,,
1,C0 vs C1,Factual atoms,0,42,0,42,,,,,,
1,C0 vs C1,Citation document coverage,2,32,0,34,,,,,,
1,C0 vs C1,Safety clean,0,42,0,42,,,,,,
1,C1 vs P1,Output class,,33,,42,4,5,,,,
1,C1 vs P1,Reason code,,13,,42,29,0,,,,
1,C1 vs P1,Factual atoms,,37,,42,1,4,,,,
1,C1 vs P1,Citation document coverage,,32,,34,2,0,,,,
1,C1 vs P1,Safety clean,,29,,42,13,0,,,,
1,P1 vs C2,Output class,,35,,42,,,3,4,,
1,P1 vs C2,Reason code,,11,,42,,,0,31,,
1,P1 vs C2,Factual atoms,,38,,42,,,1,3,,
1,P1 vs C2,Citation document coverage,,31,,34,,,0,3,,
1,P1 vs C2,Safety clean,,26,,42,,,0,16,,
1,P1 vs C3,Output class,,33,,42,,,5,4,,
1,P1 vs C3,Reason code,,13,,42,,,0,29,,
1,P1 vs C3,Factual atoms,,38,,42,,,1,3,,
1,P1 vs C3,Citation document coverage,,31,,34,,,2,1,,
1,P1 vs C3,Safety clean,,26,,42,,,0,16,,
1,C2 vs C3,Output class,,40,,42,,,,,2,0
1,C2 vs C3,Reason code,,40,,42,,,,,2,0
1,C2 vs C3,Factual atoms,,42,,42,,,,,0,0
1,C2 vs C3,Citation document coverage,,30,,34,,,,,4,0
1,C2 vs C3,Safety clean,,42,,42,,,,,0,0
2,C0 vs C1,Output class,0,42,0,42,,,,,,
2,C0 vs C1,Reason code,0,42,0,42,,,,,,
2,C0 vs C1,Factual atoms,0,42,0,42,,,,,,
2,C0 vs C1,Citation document coverage,2,32,0,34,,,,,,
2,C0 vs C1,Safety clean,0,42,0,42,,,,,,
2,C1 vs P1,Output class,,33,,42,4,5,,,,
2,C1 vs P1,Reason code,,13,,42,29,0,,,,
2,C1 vs P1,Factual atoms,,37,,42,1,4,,,,
2,C1 vs P1,Citation document coverage,,32,,34,2,0,,,,
2,C1 vs P1,Safety clean,,29,,42,13,0,,,,
2,P1 vs C2,Output class,,35,,42,,,3,4,,
2,P1 vs C2,Reason code,,11,,42,,,0,31,,
2,P1 vs C2,Factual atoms,,38,,42,,,1,3,,
2,P1 vs C2,Citation document coverage,,31,,34,,,0,3,,
2,P1 vs C2,Safety clean,,26,,42,,,0,16,,
2,P1 vs C3,Output class,,33,,42,,,5,4,,
2,P1 vs C3,Reason code,,13,,42,,,0,29,,
2,P1 vs C3,Factual atoms,,38,,42,,,1,3,,
2,P1 vs C3,Citation document coverage,,31,,34,,,2,1,,
2,P1 vs C3,Safety clean,,26,,42,,,0,16,,
2,C2 vs C3,Output class,,40,,42,,,,,2,0
2,C2 vs C3,Reason code,,40,,42,,,,,2,0
2,C2 vs C3,Factual atoms,,42,,42,,,,,0,0
2,C2 vs C3,Citation document coverage,,30,,34,,,,,4,0
2,C2 vs C3,Safety clean,,42,,42,,,,,0,0
3,C0 vs C1,Output class,0,42,0,42,,,,,,
3,C0 vs C1,Reason code,0,42,0,42,,,,,,
3,C0 vs C1,Factual atoms,0,42,0,42,,,,,,
3,C0 vs C1,Citation document coverage,2,32,0,34,,,,,,
3,C0 vs C1,Safety clean,0,42,0,42,,,,,,
3,C1 vs P1,Output class,,32,,42,5,5,,,,
3,C1 vs P1,Reason code,,13,,42,29,0,,,,
3,C1 vs P1,Factual atoms,,37,,42,1,4,,,,
3,C1 vs P1,Citation document coverage,,31,,34,3,0,,,,
3,C1 vs P1,Safety clean,,29,,42,13,0,,,,
3,P1 vs C2,Output class,,34,,42,,,3,5,,
3,P1 vs C2,Reason code,,11,,42,,,0,31,,
3,P1 vs C2,Factual atoms,,38,,42,,,1,3,,
3,P1 vs C2,Citation document coverage,,31,,34,,,0,3,,
3,P1 vs C2,Safety clean,,26,,42,,,0,16,,
3,P1 vs C3,Output class,,32,,42,,,5,5,,
3,P1 vs C3,Reason code,,13,,42,,,0,29,,
3,P1 vs C3,Factual atoms,,38,,42,,,1,3,,
3,P1 vs C3,Citation document coverage,,30,,34,,,2,2,,
3,P1 vs C3,Safety clean,,26,,42,,,0,16,,
3,C2 vs C3,Output class,,40,,42,,,,,2,0
3,C2 vs C3,Reason code,,40,,42,,,,,2,0
3,C2 vs C3,Factual atoms,,42,,42,,,,,0,0
3,C2 vs C3,Citation document coverage,,30,,34,,,,,4,0
3,C2 vs C3,Safety clean,,42,,42,,,,,0,0
