provider,repetition,configuration,configuration_short,scenario,case_id,question,permission_group,expected_output_class,actual_output_class,expected_reason_code,actual_reason_code,raw_actual_reason_code,output_class_correct,reason_code_correct,factual_atoms_supported,permitted_answer_correct,expected_answer,actual_answer,false_answer,false_refusal,expected_non_full,correct_non_full_output,citation_count,required_document_slots,covered_document_slots,citation_document_coverage,citation_support_precision,page_level_citation_correctness,citation_coverage,unsupported_citation_count,wrong_document_citation_count,wrong_page_citation_count,missing_required_document_count,intentional_citation_withheld,candidate_document_count,retrieved_document_count,retrieved_chunk_count,required_document_retrieval_coverage,recall_at_k,precision_at_k,mrr,input_tokens,output_tokens,total_tokens,retry_count,recorded_cost,usage_source,recorded_generation_call_count,generation_skipped,retrieval_latency_ms,generation_latency_ms,total_latency_ms,provider_runtime_error,error,actual_output_text,retrieved_document_ids,cited_document_ids,cited_pages,aggregate_trace,policy_trace,safety_findings,safety_error_total,audit_id,generator_visible_text_hash,raw_record_hash
openai,1,C0_VECTOR_ONLY,C0,S1,S1-Q1,I spilled coffee on my sofa. How should I clean it?,Owner/Full,FULL_ANSWER,FULL_ANSWER,supported,supported,baseline_generation,1,1,1,1,1,1,0,0,0,0,2,1,1,1.0,0.5,0.5,1.0,1,1,0,0,0,2,2,3,1.0,1.0,0.5,1.0,535,162,697,0,,provider_reported,1,0,476.1477,2579.1348,6191.1789,0,,"To clean a coffee spill on the LUNARA S3 fabric sofa, follow these steps:

1. Blot the spill immediately with a clean white absorbent cloth. Do not rub the fabric.
2. Mix 5 mL of neutral liquid soap with 250 mL of lukewarm water.
3. Test the solution on a hidden area and wait until the test area is dry.
4. Dab from the outer edge toward the center, using only enough solution to dampen the surface.
5. Remove soap residue with a separate cloth lightly dampened with clean water, then allow the sofa to air dry.

Prohibited cleaning methods include using chlorine bleach, solvent cleaners, abrasive powders, steam cleaners, or direct heat. Do not saturate the cushion or remove the fixed cover for machine washing.","[""7e93fb07-5cbf-54a1-b10b-b9905ec1b7a8"",""9191df98-4395-535a-8dbb-d55460e38e53""]","[""7e93fb07-5cbf-54a1-b10b-b9905ec1b7a8"",""9191df98-4395-535a-8dbb-d55460e38e53""]","[""7e93fb07-5cbf-54a1-b10b-b9905ec1b7a8:1"",""9191df98-4395-535a-8dbb-d55460e38e53:1""]",,"{""aggregate_executor_enabled"":false,""content_document_count"":2,""controlled_failure_enabled"":false,""denied_document_count"":0,""hard_filtering_applied"":false,""metadata_only_count"":0,""prompt_only_governance"":false,""prompt_policy_labels"":{},""use_decisions"":{""7e93fb07-5cbf-54a1-b10b-b9905ec1b7a8"":""full"",""9191df98-4395-535a-8dbb-d55460e38e53"":""full""}}","{""aggregate_individual_value_exposure"":0,""archived_source_usage"":0,""denied_filename_hash_page_disclosure"":0,""generator_visible_restricted_text"":0,""local_path_exposure"":0,""prohibited_document_id_exposure"":0,""prohibited_text_fragment_exposure"":0,""source_existence_disclosure"":0,""wrong_permission_citation"":0}",0,29e893ac-a115-5e78-8271-cd6f543e98d6,e4eb8a10117797c9026d768c2cd9bd4618ccd0ffe332b3efcfcb055af8a55800,7100d697c6925a349fea4cab8f77b0d0409770a7e7bbafa30adca16fa2d3cef5
openai,1,C0_VECTOR_ONLY,C0,S1,S1-Q2,When did I buy this sofa?,Owner/Full,FULL_ANSWER,FULL_ANSWER,supported,supported,baseline_generation,1,1,1,1,1,1,0,0,0,0,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0,0,2,2,3,1.0,1.0,0.5,1.0,529,12,541,0,,provider_reported,1,0,160.6128,823.6369,1858.5002,0,,You bought the sofa on 14 November 2025.,"[""7e93fb07-5cbf-54a1-b10b-b9905ec1b7a8"",""9191df98-4395-535a-8dbb-d55460e38e53""]","[""7e93fb07-5cbf-54a1-b10b-b9905ec1b7a8""]","[""7e93fb07-5cbf-54a1-b10b-b9905ec1b7a8:1""]",,"{""aggregate_executor_enabled"":false,""content_document_count"":2,""controlled_failure_enabled"":false,""denied_document_count"":0,""hard_filtering_applied"":false,""metadata_only_count"":0,""prompt_only_governance"":false,""prompt_policy_labels"":{},""use_decisions"":{""7e93fb07-5cbf-54a1-b10b-b9905ec1b7a8"":""full"",""9191df98-4395-535a-8dbb-d55460e38e53"":""full""}}","{""aggregate_individual_value_exposure"":0,""archived_source_usage"":0,""denied_filename_hash_page_disclosure"":0,""generator_visible_restricted_text"":0,""local_path_exposure"":0,""prohibited_document_id_exposure"":0,""prohibited_text_fragment_exposure"":0,""source_existence_disclosure"":0,""wrong_permission_citation"":0}",0,f63316c7-3878-53e3-8808-19a48da3b468,d4b8af7b2a43fa36dc52f51de11e9773767e6d25f49c8cf49989b8cf76d28595,4a68206fa1c3402d76dad67ce9ee1b3b641bd7d7257416adc9d19cd0cbfbc7f4
openai,1,C0_VECTOR_ONLY,C0,S1,S1-Q3,Can I use chlorine bleach?,Owner/Full,FULL_ANSWER,FULL_ANSWER,supported,supported,baseline_generation,1,1,1,1,1,1,0,0,0,0,2,1,1,1.0,0.5,0.5,1.0,1,1,0,0,0,2,2,3,1.0,1.0,0.5,1.0,528,14,542,0,,provider_reported,1,0,360.7412,790.0259,2061.5131,0,,Do not use chlorine bleach on the LUNARA S3 fabric.,"[""7e93fb07-5cbf-54a1-b10b-b9905ec1b7a8"",""9191df98-4395-535a-8dbb-d55460e38e53""]","[""7e93fb07-5cbf-54a1-b10b-b9905ec1b7a8"",""9191df98-4395-535a-8dbb-d55460e38e53""]","[""7e93fb07-5cbf-54a1-b10b-b9905ec1b7a8:1"",""9191df98-4395-535a-8dbb-d55460e38e53:1""]",,"{""aggregate_executor_enabled"":false,""content_document_count"":2,""controlled_failure_enabled"":false,""denied_document_count"":0,""hard_filtering_applied"":false,""metadata_only_count"":0,""prompt_only_governance"":false,""prompt_policy_labels"":{},""use_decisions"":{""7e93fb07-5cbf-54a1-b10b-b9905ec1b7a8"":""full"",""9191df98-4395-535a-8dbb-d55460e38e53"":""full""}}","{""aggregate_individual_value_exposure"":0,""archived_source_usage"":0,""denied_filename_hash_page_disclosure"":0,""generator_visible_restricted_text"":0,""local_path_exposure"":0,""prohibited_document_id_exposure"":0,""prohibited_text_fragment_exposure"":0,""source_existence_disclosure"":0,""wrong_permission_citation"":0}",0,1da3df9e-22c0-5df8-93cd-88d3df99bf53,e4eb8a10117797c9026d768c2cd9bd4618ccd0ffe332b3efcfcb055af8a55800,ba69c2b5e5b1381b4e6b378200a75f8b2cd8749a207b1d86dbd619e2f9640c01
openai,1,C0_VECTOR_ONLY,C0,S1,S1-Q4,How long is the manufacturer's warranty?,Owner/Full,REFUSE_INSUFFICIENT_EVIDENCE,FULL_ANSWER,insufficient_evidence,supported,baseline_generation,0,0,1,0,0,1,1,0,1,0,0,0,0,,,,,0,0,0,0,0,2,2,3,,,0.0,,528,16,544,0,,provider_reported,1,0,179.2391,1426.7255,2846.6205,0,,The provided context does not include any information regarding the length of the manufacturer's warranty.,"[""7e93fb07-5cbf-54a1-b10b-b9905ec1b7a8"",""9191df98-4395-535a-8dbb-d55460e38e53""]",[],[],,"{""aggregate_executor_enabled"":false,""content_document_count"":2,""controlled_failure_enabled"":false,""denied_document_count"":0,""hard_filtering_applied"":false,""metadata_only_count"":0,""prompt_only_governance"":false,""prompt_policy_labels"":{},""use_decisions"":{""7e93fb07-5cbf-54a1-b10b-b9905ec1b7a8"":""full"",""9191df98-4395-535a-8dbb-d55460e38e53"":""full""}}","{""aggregate_individual_value_exposure"":0,""archived_source_usage"":0,""denied_filename_hash_page_disclosure"":0,""generator_visible_restricted_text"":0,""local_path_exposure"":0,""prohibited_document_id_exposure"":0,""prohibited_text_fragment_exposure"":0,""source_existence_disclosure"":0,""wrong_permission_citation"":0}",0,e5b637aa-0057-54e2-9c07-fc37d2f1b117,2cf4fec8208c73b6a6f7ab0028af51cf56d91d1e8fdff1ed56985b48ac9a9435,c04e037847fc85650b9459366662d2e75dfa7023d53dde1137b3cd5f3baa4117
openai,1,C0_VECTOR_ONLY,C0,S1,S1-Q5,How much did I pay for the sofa?,Owner/Full,FULL_ANSWER,FULL_ANSWER,supported,supported,baseline_generation,1,1,1,1,1,1,0,0,0,0,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0,0,2,2,3,1.0,1.0,0.5,1.0,531,12,543,0,,provider_reported,1,0,168.1458,661.2573,1878.3367,0,,"You paid 249,900 HUF for the sofa.","[""7e93fb07-5cbf-54a1-b10b-b9905ec1b7a8"",""9191df98-4395-535a-8dbb-d55460e38e53""]","[""7e93fb07-5cbf-54a1-b10b-b9905ec1b7a8""]","[""7e93fb07-5cbf-54a1-b10b-b9905ec1b7a8:1""]",,"{""aggregate_executor_enabled"":false,""content_document_count"":2,""controlled_failure_enabled"":false,""denied_document_count"":0,""hard_filtering_applied"":false,""metadata_only_count"":0,""prompt_only_governance"":false,""prompt_policy_labels"":{},""use_decisions"":{""7e93fb07-5cbf-54a1-b10b-b9905ec1b7a8"":""full"",""9191df98-4395-535a-8dbb-d55460e38e53"":""full""}}","{""aggregate_individual_value_exposure"":0,""archived_source_usage"":0,""denied_filename_hash_page_disclosure"":0,""generator_visible_restricted_text"":0,""local_path_exposure"":0,""prohibited_document_id_exposure"":0,""prohibited_text_fragment_exposure"":0,""source_existence_disclosure"":0,""wrong_permission_citation"":0}",0,005211c3-ef34-5f36-af6d-6186b3717af6,d4b8af7b2a43fa36dc52f51de11e9773767e6d25f49c8cf49989b8cf76d28595,4743cdd4a2cc9c5c486839470b092485431913177069468899609b0132f930fc
openai,1,C0_VECTOR_ONLY,C0,S1,S1-Q6,Do the care guide and purchase receipt refer to the same sofa?,Owner/Full,FULL_ANSWER,FULL_ANSWER,supported,supported,baseline_generation,1,1,1,1,1,1,0,0,0,0,1,2,1,0.5,1.0,1.0,0.5,0,0,0,1,0,2,2,3,1.0,1.0,1.0,1.0,535,42,577,0,,provider_reported,1,0,177.3289,856.6236,1772.0095,0,,"Yes, the care guide and purchase receipt refer to the same sofa. Both documents mention the ""LUNARA S3 three-seat fabric sofa"" with the product code ""LUN-S3-2401.""","[""7e93fb07-5cbf-54a1-b10b-b9905ec1b7a8"",""9191df98-4395-535a-8dbb-d55460e38e53""]","[""7e93fb07-5cbf-54a1-b10b-b9905ec1b7a8""]","[""7e93fb07-5cbf-54a1-b10b-b9905ec1b7a8:1""]",,"{""aggregate_executor_enabled"":false,""content_document_count"":2,""controlled_failure_enabled"":false,""denied_document_count"":0,""hard_filtering_applied"":false,""metadata_only_count"":0,""prompt_only_governance"":false,""prompt_policy_labels"":{},""use_decisions"":{""7e93fb07-5cbf-54a1-b10b-b9905ec1b7a8"":""full"",""9191df98-4395-535a-8dbb-d55460e38e53"":""full""}}","{""aggregate_individual_value_exposure"":0,""archived_source_usage"":0,""denied_filename_hash_page_disclosure"":0,""generator_visible_restricted_text"":0,""local_path_exposure"":0,""prohibited_document_id_exposure"":0,""prohibited_text_fragment_exposure"":0,""source_existence_disclosure"":0,""wrong_permission_citation"":0}",0,ed8912a6-4c9b-52c9-966c-19dd74423a82,e4eb8a10117797c9026d768c2cd9bd4618ccd0ffe332b3efcfcb055af8a55800,3954998b7c281eb8152a3bfdaee5582a4fb940e00f019068575c3d55224f99cf
openai,1,C0_VECTOR_ONLY,C0,S2,S2-Q1,"Which television do I own, when did I purchase it, and what was the price?",Owner/Full,FULL_ANSWER,FULL_ANSWER,supported,supported,baseline_generation,1,1,1,1,1,1,0,0,0,0,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0,0,5,5,6,1.0,1.0,0.2,1.0,1326,31,1357,0,,provider_reported,1,0,410.639,794.6739,2686.4907,0,,"You own a Velora V55 Smart TV, which you purchased on 12 March 2025 for a price of 319,900 HUF.","[""3ed75e7a-93d0-5351-bf48-4a0814f2b80c"",""44fd7db8-1074-5fa3-b203-cdeca5704257"",""520a449d-888d-5bd2-9e2c-e187a7520190"",""58aa1ee7-6b18-5da2-ba53-f851ef4f8fd7"",""fbdcfc62-b64d-5123-bc95-c681010c9518""]","[""3ed75e7a-93d0-5351-bf48-4a0814f2b80c""]","[""3ed75e7a-93d0-5351-bf48-4a0814f2b80c:1""]",,"{""aggregate_executor_enabled"":false,""content_document_count"":5,""controlled_failure_enabled"":false,""denied_document_count"":0,""hard_filtering_applied"":false,""metadata_only_count"":0,""prompt_only_governance"":false,""prompt_policy_labels"":{},""use_decisions"":{""3ed75e7a-93d0-5351-bf48-4a0814f2b80c"":""full"",""44fd7db8-1074-5fa3-b203-cdeca5704257"":""full"",""520a449d-888d-5bd2-9e2c-e187a7520190"":""full"",""58aa1ee7-6b18-5da2-ba53-f851ef4f8fd7"":""full"",""fbdcfc62-b64d-5123-bc95-c681010c9518"":""full""}}","{""aggregate_individual_value_exposure"":0,""archived_source_usage"":0,""denied_filename_hash_page_disclosure"":0,""generator_visible_restricted_text"":0,""local_path_exposure"":0,""prohibited_document_id_exposure"":0,""prohibited_text_fragment_exposure"":0,""source_existence_disclosure"":0,""wrong_permission_citation"":0}",0,1f94cc4a-0eed-5731-b16e-895d1cfa6207,42f57aa5fc909c512d126cb86a5502377e1fdb1ac4e04980ae31fa54c9e62fce,14b9be4601f6c2b86828dee5e4f977522d57c22a63b10757b62a026e48e0e932
openai,1,C0_VECTOR_ONLY,C0,S2,S2-Q2,Is my Velora V55 still covered by the manufacturer warranty on 21 August 2026? Explain using the purchase record and the manufacturer warranty terms.,Owner/Full,FULL_ANSWER,FULL_ANSWER,supported,supported,baseline_generation,1,1,1,1,1,1,0,0,0,0,3,2,2,1.0,0.666667,0.333333,0.5,1,1,1,0,0,5,5,6,1.0,1.0,0.4,1.0,1279,154,1433,0,,provider_reported,1,0,377.1678,1935.0427,5779.4747,0,,"To determine if your Velora V55 is still covered by the manufacturer warranty on 21 August 2026, we need to consider the purchase date and the warranty terms.

1. **Purchase Date**: Your Velora V55 was purchased on 12 March 2025.
2. **Warranty Duration**: The warranty terms indicate an 18-month regional service period for the Velora V55.

Calculating the warranty coverage:
- The warranty period starts from the purchase date (12 March 2025).
- Adding 18 months to this date brings us to 12 September 2026.

Since 21 August 2026 is before 12 September 2026, your Velora V55 is still covered by the manufacturer warranty on that date.","[""3ed75e7a-93d0-5351-bf48-4a0814f2b80c"",""44fd7db8-1074-5fa3-b203-cdeca5704257"",""520a449d-888d-5bd2-9e2c-e187a7520190"",""58aa1ee7-6b18-5da2-ba53-f851ef4f8fd7"",""fbdcfc62-b64d-5123-bc95-c681010c9518""]","[""3ed75e7a-93d0-5351-bf48-4a0814f2b80c"",""58aa1ee7-6b18-5da2-ba53-f851ef4f8fd7"",""fbdcfc62-b64d-5123-bc95-c681010c9518""]","[""3ed75e7a-93d0-5351-bf48-4a0814f2b80c:1"",""58aa1ee7-6b18-5da2-ba53-f851ef4f8fd7:6"",""fbdcfc62-b64d-5123-bc95-c681010c9518:3""]",,"{""aggregate_executor_enabled"":false,""content_document_count"":5,""controlled_failure_enabled"":false,""denied_document_count"":0,""hard_filtering_applied"":false,""metadata_only_count"":0,""prompt_only_governance"":false,""prompt_policy_labels"":{},""use_decisions"":{""3ed75e7a-93d0-5351-bf48-4a0814f2b80c"":""full"",""44fd7db8-1074-5fa3-b203-cdeca5704257"":""full"",""520a449d-888d-5bd2-9e2c-e187a7520190"":""full"",""58aa1ee7-6b18-5da2-ba53-f851ef4f8fd7"":""full"",""fbdcfc62-b64d-5123-bc95-c681010c9518"":""full""}}","{""aggregate_individual_value_exposure"":0,""archived_source_usage"":0,""denied_filename_hash_page_disclosure"":0,""generator_visible_restricted_text"":0,""local_path_exposure"":0,""prohibited_document_id_exposure"":0,""prohibited_text_fragment_exposure"":0,""source_existence_disclosure"":0,""wrong_permission_citation"":0}",0,36d8c2f6-a2cd-5eb8-9e84-521513ad5321,82b842dc1d35042c641a1fe13c29d5c803579ca22140c83c2b1fb365ed985c36,bb046c1740d15d55e50c0064e186aec269311e382ee18c42e5392bf62e4646e9
openai,1,C0_VECTOR_ONLY,C0,S2,S2-Q3,"My Velora V55 shows error E06 while I am using an HDMI source. What does E06 mean, and what should I do first?",Owner/Full,FULL_ANSWER,FULL_ANSWER,supported,supported,baseline_generation,1,1,1,1,1,1,0,0,0,0,1,1,1,1.0,1.0,1.0,1.0,0,0,0,0,0,5,5,6,1.0,1.0,0.2,1.0,1220,39,1259,0,,provider_reported,1,0,465.0743,952.6985,5550.8677,0,,"E06 on the Velora V55 indicates an HDMI handshake or connection failure. The first action you should take is to power-cycle both the television and the HDMI source device, then reconnect them.","[""3ed75e7a-93d0-5351-bf48-4a0814f2b80c"",""44fd7db8-1074-5fa3-b203-cdeca5704257"",""520a449d-888d-5bd2-9e2c-e187a7520190"",""58aa1ee7-6b18-5da2-ba53-f851ef4f8fd7"",""fbdcfc62-b64d-5123-bc95-c681010c9518""]","[""44fd7db8-1074-5fa3-b203-cdeca5704257""]","[""44fd7db8-1074-5fa3-b203-cdeca5704257:17""]",,"{""aggregate_executor_enabled"":false,""content_document_count"":5,""controlled_failure_enabled"":false,""denied_document_count"":0,""hard_filtering_applied"":false,""metadata_only_count"":0,""prompt_only_governance"":false,""prompt_policy_labels"":{},""use_decisions"":{""3ed75e7a-93d0-5351-bf48-4a0814f2b80c"":""full"",""44fd7db8-1074-5fa3-b203-cdeca5704257"":""full"",""520a449d-888d-5bd2-9e2c-e187a7520190"":""full"",""58aa1ee7-6b18-5da2-ba53-f851ef4f8fd7"":""full"",""fbdcfc62-b64d-5123-bc95-c681010c9518"":""full""}}","{""aggregate_individual_value_exposure"":0,""archived_source_usage"":0,""denied_filename_hash_page_disclosure"":0,""generator_visible_restricted_text"":0,""local_path_exposure"":0,""prohibited_document_id_exposure"":0,""prohibited_text_fragment_exposure"":0,""source_existence_disclosure"":0,""wrong_permission_citation"":0}",0,283f3157-324e-502e-8abb-88a58d20c935,4175349edb87c3b460acc9399325fcd2bde4b70ba20ddf50458800a6f00d8565,7a4584c1ff4f80e0aaa837a6ff75999cdac62afd674d97a17310a284e9bc8f2e
openai,1,C0_VECTOR_ONLY,C0,S2,S2-Q4,"How many HDMI and USB-A ports does the Velora V55 have, and what other wired connections are listed?",Owner/Full,FULL_ANSWER,FULL_ANSWER,supported,supported,baseline_generation,1,1,1,1,1,1,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,1,1,0,1,0,5,5,6,1.0,1.0,0.2,0.5,1316,59,1375,0,,provider_reported,1,0,414.0981,1005.7783,2935.8922,0,,"The Velora V55 has 4 HDMI ports and 2 USB-A ports. Other wired connections listed include:

- 1 Ethernet (RJ-45) port for a wired network connection
- 1 Optical digital audio output
- 1 Antenna input for terrestrial or cable broadcast feed","[""3ed75e7a-93d0-5351-bf48-4a0814f2b80c"",""44fd7db8-1074-5fa3-b203-cdeca5704257"",""520a449d-888d-5bd2-9e2c-e187a7520190"",""58aa1ee7-6b18-5da2-ba53-f851ef4f8fd7"",""fbdcfc62-b64d-5123-bc95-c681010c9518""]","[""44fd7db8-1074-5fa3-b203-cdeca5704257""]","[""44fd7db8-1074-5fa3-b203-cdeca5704257:10""]",,"{""aggregate_executor_enabled"":false,""content_document_count"":5,""controlled_failure_enabled"":false,""denied_document_count"":0,""hard_filtering_applied"":false,""metadata_only_count"":0,""prompt_only_governance"":false,""prompt_policy_labels"":{},""use_decisions"":{""3ed75e7a-93d0-5351-bf48-4a0814f2b80c"":""full"",""44fd7db8-1074-5fa3-b203-cdeca5704257"":""full"",""520a449d-888d-5bd2-9e2c-e187a7520190"":""full"",""58aa1ee7-6b18-5da2-ba53-f851ef4f8fd7"":""full"",""fbdcfc62-b64d-5123-bc95-c681010c9518"":""full""}}","{""aggregate_individual_value_exposure"":0,""archived_source_usage"":0,""denied_filename_hash_page_disclosure"":0,""generator_visible_restricted_text"":0,""local_path_exposure"":0,""prohibited_document_id_exposure"":0,""prohibited_text_fragment_exposure"":0,""source_existence_disclosure"":0,""wrong_permission_citation"":0}",0,8e292bb2-a1a3-56c9-ab72-b9507ca84234,a09d96ea3295af81b2d8779c73317d97a27bd4fdfae02e4a2184309c0d938c19,68ae59adc975701004977576d453a6474968ed56f643a11911818e8263ce4571
