Repetition,Configuration,Cases,Output accuracy,Balanced accuracy,Macro recall,Permitted-answer accuracy,Controlled-failure correctness,Citation coverage,Support precision,Page correctness,Safety findings,Tokens,Mean latency,Runtime/parser/provider errors
1,C0,42,0.690476,0.166667,0.166667,0.324324,0.0,0.369048,0.409639,0.277108,3,45480,3010.767281,0
1,C1,42,0.690476,0.166667,0.166667,0.324324,0.0,0.357143,0.432432,0.297297,3,44209,2671.645145,0
1,C2,42,0.738095,0.52682,0.52682,0.459459,0.538462,0.369048,0.578947,0.403509,0,29854,3512.607281,0
1,C3,42,0.690476,0.515326,0.515326,0.459459,0.538462,0.357143,0.690476,0.52381,0,44387,3258.777329,0
1,P1,42,0.714286,0.310345,0.310345,0.405405,0.384615,0.357143,0.447761,0.328358,44,64890,3205.968638,0
2,C0,42,0.690476,0.166667,0.166667,0.324324,0.0,0.369048,0.409639,0.277108,3,45504,2949.895,0
2,C1,42,0.690476,0.166667,0.166667,0.324324,0.0,0.357143,0.432432,0.297297,3,44281,2616.34516,0
2,C2,42,0.738095,0.52682,0.52682,0.459459,0.538462,0.369048,0.578947,0.403509,0,29906,3879.313767,0
2,C3,42,0.690476,0.515326,0.515326,0.459459,0.538462,0.357143,0.690476,0.52381,0,44432,3736.896529,0
2,P1,42,0.714286,0.310345,0.310345,0.405405,0.384615,0.357143,0.447761,0.328358,44,64934,3143.411148,0
3,C0,42,0.690476,0.166667,0.166667,0.324324,0.0,0.369048,0.409639,0.277108,3,45543,3076.747343,0
3,C1,42,0.690476,0.166667,0.166667,0.324324,0.0,0.357143,0.432432,0.297297,3,44273,2584.715138,0
3,C2,42,0.738095,0.52682,0.52682,0.459459,0.538462,0.369048,0.578947,0.403509,0,29906,2952.357974,0
3,C3,42,0.690476,0.515326,0.515326,0.459459,0.538462,0.357143,0.690476,0.52381,0,44435,2905.238376,0
3,P1,42,0.690476,0.304598,0.304598,0.405405,0.384615,0.345238,0.439394,0.318182,44,64925,2743.419631,0
