Configuration,Scenario,Cases,Output accuracy,Balanced accuracy,Macro recall,Permitted-answer accuracy,Controlled-failure correctness,Citation coverage,Support precision,Page correctness,Safety findings,Tokens,Mean latency,Runtime/parser/provider errors
C0,S1,18,0.833333,0.5,0.5,1.0,0.0,0.75,0.714286,0.714286,0,10332,2763.952678,0
C0,S2,18,1.0,1.0,1.0,1.0,,0.75,0.777778,0.666667,0,25138,4900.39795,0
C0,S3,30,0.5,0.333333,0.333333,0.0,0.0,0.1,0.15,0.1,3,39941,1460.826073,0
C0,S4B,24,0.5,0.2,0.2,0.0,0.0,0.041667,0.291667,0.041667,6,24371,2431.803083,0
C0,S5B,18,0.666667,0.5,0.5,0.0,0.0,0.333333,0.571429,0.428571,0,13473,3570.884844,0
C0,S6,18,0.833333,0.5,0.5,0.2,0.0,0.527778,0.5,0.375,0,23272,4174.939417,0
C1,S1,18,0.833333,0.5,0.5,1.0,0.0,0.75,1.0,1.0,0,9317,2565.957606,0
C1,S2,18,1.0,1.0,1.0,1.0,,0.75,0.857143,0.857143,0,21005,4220.134772,0
C1,S3,30,0.5,0.333333,0.333333,0.0,0.0,0.1,0.15,0.1,3,39941,1402.329727,0
C1,S4B,24,0.5,0.2,0.2,0.0,0.0,0.041667,0.291667,0.041667,6,24626,2135.806704,0
C1,S5B,18,0.666667,0.5,0.5,0.0,0.0,0.333333,0.571429,0.428571,0,13470,2992.730583,0
C1,S6,18,0.833333,0.5,0.5,0.2,0.0,0.444444,0.636364,0.454545,0,24404,3405.864589,0
C2,S1,18,1.0,1.0,1.0,1.0,1.0,0.75,0.714286,0.714286,0,8700,3174.801517,0
C2,S2,18,1.0,1.0,1.0,1.0,,0.75,0.777778,0.666667,0,25155,5476.873456,0
C2,S3,30,0.6,0.466667,0.466667,0.444444,0.8,0.1,0.5,0.333333,0,12030,2199.299743,0
C2,S4B,24,0.625,0.55,0.55,0.166667,0.5,0.041667,0.461538,0.076923,0,15110,3050.123213,0
C2,S5B,18,0.5,0.375,0.375,0.0,0.0,0.333333,0.666667,0.5,0,11147,3735.045783,0
C2,S6,18,0.833333,0.5,0.5,0.2,0.0,0.527778,0.5,0.375,0,17524,4017.599772,0
C3,S1,18,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0,13323,3208.898822,0
C3,S2,18,1.0,1.0,1.0,1.0,,0.75,0.857143,0.857143,0,34875,5403.466383,0
C3,S3,30,0.4,0.333333,0.333333,0.444444,0.8,0.1,0.5,0.5,0,13512,2157.78564,0
C3,S4B,24,0.625,0.55,0.55,0.166667,0.5,0.041667,0.555556,0.111111,0,19461,2807.764637,0
C3,S5B,18,0.5,0.375,0.375,0.0,0.0,0.333333,0.666667,0.5,0,19989,3330.237933,0
C3,S6,18,0.833333,0.5,0.5,0.2,0.0,0.444444,0.636364,0.454545,0,32094,3819.529822,0
P1,S1,18,0.833333,0.5,0.5,1.0,0.0,0.75,1.0,1.0,0,15797,2556.917939,0
P1,S2,18,1.0,1.0,1.0,1.0,,0.75,0.857143,0.857143,0,29754,4688.118861,0
P1,S3,30,0.8,0.6,0.6,0.333333,0.8,0.1,0.136364,0.090909,60,60477,2268.588377,0
P1,S4B,24,0.25,0.25,0.25,0.0,0.25,0.041667,0.333333,0.066667,51,33227,2688.711579,0
P1,S5B,18,0.666667,0.5,0.5,0.0,0.0,0.333333,0.571429,0.428571,0,21043,3157.092711,0
P1,S6,18,0.777778,0.466666,0.466666,0.2,0.0,0.416667,0.625,0.4375,21,34451,3448.473061,0
