Config,Mode,Rep,citation_document_coverage,citation_support_precision,page_level_citation_correctness,citation_coverage,unsupported_citation_count,wrong_page_citation_count,citation_doc_miss_count
B0,B0_VECTOR_ONLY,1,0.857143,0.75,0.6875,0.785714,4,1,2
B1,B1_VECTOR_ROUTING,1,0.785714,0.916667,0.916667,0.785714,1,0,3
B2,B2_PERMISSION_FILTERED,1,0.857143,0.75,0.6875,0.785714,4,1,2
B3,B3_FULL_ROLE_AWARE,1,0.785714,0.916667,0.916667,0.785714,1,0,3
B0,B0_VECTOR_ONLY,2,0.857143,0.75,0.6875,0.785714,4,1,2
B1,B1_VECTOR_ROUTING,2,0.785714,0.916667,0.916667,0.785714,1,0,3
B2,B2_PERMISSION_FILTERED,2,0.857143,0.75,0.6875,0.785714,4,1,2
B3,B3_FULL_ROLE_AWARE,2,0.785714,0.916667,0.916667,0.785714,1,0,3
B0,B0_VECTOR_ONLY,3,0.857143,0.75,0.6875,0.785714,4,1,2
B1,B1_VECTOR_ROUTING,3,0.785714,0.916667,0.916667,0.785714,1,0,3
B2,B2_PERMISSION_FILTERED,3,0.857143,0.75,0.6875,0.785714,4,1,2
B3,B3_FULL_ROLE_AWARE,3,0.785714,0.916667,0.916667,0.785714,1,0,3
B0,B0_VECTOR_ONLY,AGGREGATE_MEAN,0.857143,0.75,0.6875,0.785714,12,3,6
B1,B1_VECTOR_ROUTING,AGGREGATE_MEAN,0.785714,0.916667,0.916667,0.785714,3,0,9
B2,B2_PERMISSION_FILTERED,AGGREGATE_MEAN,0.857143,0.75,0.6875,0.785714,12,3,6
B3,B3_FULL_ROLE_AWARE,AGGREGATE_MEAN,0.785714,0.916667,0.916667,0.785714,3,0,9
