Config,Mode,Rep,case_count,output_class_accuracy,reason_code_accuracy,permitted_answer_accuracy,false_or_unsupported_answer_rate,false_answer_rate_on_expected_abstentions,false_answer_count,expected_non_answer_count,abstention_precision,abstention_recall,citation_document_coverage,citation_support_precision,page_level_citation_correctness,citation_coverage,safety_error_total,runtime_error_count,controlled_failure_correct_count,controlled_failure_expected_count,controlled_failure_correctness,predicted_abstention_refusal_count,correct_abstention_count,false_refusal_count,unsupported_citation_count,wrong_page_citation_count,citation_doc_miss_count,mean_total_latency_ms,median_total_latency_ms,mean_retrieval_latency_ms,mean_generation_latency_ms,prompt_input_tokens,completion_output_tokens,total_tokens,provider_call_count_recorded_generation_only,retry_count,cost,raw_run_sha256,deterministic_content_sha256
B0,B0_VECTOR_ONLY,1,12,0.916667,0.916667,1.0,1.0,1.0,1,1,,0.0,0.857143,0.75,0.6875,0.785714,0,0,0,1,0.0,0,0,0,4,1,2,2948.937017,2249.9107,248.708075,1202.13585,11003,790,11793,12,0,NOT_RECORDED_BY_FROZEN_PROVIDER,096edd841717e7aa6a178babae04168d3fd0af5e2219b2e33e6bb3323aef266b,d0876e17c4cbe2109098df6a749430ba241ce9cc92fa00e5759c1f97c40daed3
B1,B1_VECTOR_ROUTING,1,12,0.916667,0.916667,1.0,1.0,1.0,1,1,,0.0,0.785714,0.916667,0.916667,0.785714,0,0,0,1,0.0,0,0,0,1,0,3,2840.283442,2081.1589,180.95685,1174.399725,9361,729,10090,12,0,NOT_RECORDED_BY_FROZEN_PROVIDER,f265ab800fa100d97d52187986ecd92f5c1f28af569e977bf9baf3851ec7fff4,e3d8c0023a206a218dc0be7f18d01bcfbb485dcd8a4db7919aa249550503cdf5
B2,B2_PERMISSION_FILTERED,1,12,1.0,1.0,1.0,0.0,0.0,0,1,1.0,1.0,0.857143,0.75,0.6875,0.785714,0,0,1,1,1.0,1,1,0,4,1,2,3121.04105,2283.8153,215.514042,1264.845033,10475,795,11270,11,0,NOT_RECORDED_BY_FROZEN_PROVIDER,b47e8391f5e046177e0ef477d5e8337f3977ff0b14257d26c4b8baa17580f0c4,cd43c1286da8faded38d2cb8cb5b0eed0f3f6772f7bb590a2ddaf134730a2579
B3,B3_FULL_ROLE_AWARE,1,12,1.0,1.0,1.0,0.0,0.0,0,1,1.0,1.0,0.785714,0.916667,0.916667,0.785714,0,0,1,1,1.0,1,1,0,1,0,3,3381.165058,2390.15515,218.166733,1348.811458,15349,721,16070,11,0,NOT_RECORDED_BY_FROZEN_PROVIDER,1170d15adb9685392a6763b439cfde79520891a1ceefefe33841efe722f61b79,36afe4137f36cebc32105a4a951e3e14767aa1bed9513c70d690da14038a1f0b
B0,B0_VECTOR_ONLY,2,12,0.916667,0.916667,1.0,1.0,1.0,1,1,,0.0,0.857143,0.75,0.6875,0.785714,0,0,0,1,0.0,0,0,0,4,1,2,3288.339575,2865.02245,231.680942,1312.295733,11003,793,11796,12,0,NOT_RECORDED_BY_FROZEN_PROVIDER,3fda29eb740bdc7cec412541d32a73fc8b5fcc8b866accf2ab501a471ccc1519,6b8f400fa49f5b98d355272d0d63118666c908ac449af68589ccb8438ce47010
B1,B1_VECTOR_ROUTING,2,12,0.916667,0.916667,1.0,1.0,1.0,1,1,,0.0,0.785714,0.916667,0.916667,0.785714,0,0,0,1,0.0,0,0,0,1,0,3,3112.394242,2696.778,194.437658,1231.89835,9361,749,10110,12,0,NOT_RECORDED_BY_FROZEN_PROVIDER,81fe76bfee5ddfa49425c2aed5e94ca00bbb6fd27da00484d7bdcda82259ff02,7c254dae880eb2a4580807e855d70df6ec36eb612f36de66e0df474ec689a2e8
B2,B2_PERMISSION_FILTERED,2,12,1.0,1.0,1.0,0.0,0.0,0,1,1.0,1.0,0.857143,0.75,0.6875,0.785714,0,0,1,1,1.0,1,1,0,4,1,2,2997.24295,2218.33965,208.079342,1136.683225,10475,813,11288,11,0,NOT_RECORDED_BY_FROZEN_PROVIDER,16c6728558d59ddf65b5709b0cfd09ed73470baf67bc407405502001786d67b4,29152e393cba92dd429f241f1e90b0ff6d8131ed2fbbd2d94735bffc05119fb2
B3,B3_FULL_ROLE_AWARE,2,12,1.0,1.0,1.0,0.0,0.0,0,1,1.0,1.0,0.785714,0.916667,0.916667,0.785714,0,0,1,1,1.0,1,1,0,1,0,3,3613.16195,2768.5251,197.519275,1555.785825,15349,697,16046,11,0,NOT_RECORDED_BY_FROZEN_PROVIDER,cc94016832874432b7c1d72b10030421b2db6c8fac4d0da63af4abaddde0e513,0e5a67674e503f96f6f51e3d9160674da7d8c154c2aee551f6acf2fc1bdacda3
B0,B0_VECTOR_ONLY,3,12,0.916667,0.916667,1.0,1.0,1.0,1,1,,0.0,0.857143,0.75,0.6875,0.785714,0,0,0,1,0.0,0,0,0,4,1,2,3425.303967,2967.41805,225.180867,1432.72535,11003,819,11822,12,0,NOT_RECORDED_BY_FROZEN_PROVIDER,c51ee0094313bc689ba139512963eaae8d90c7712693b43dcb9bf070a88855ba,4bd50679fccad96cc4026326090529660bdb1ea2966055c3505517f73303cabf
B1,B1_VECTOR_ROUTING,3,12,0.916667,0.916667,1.0,1.0,1.0,1,1,,0.0,0.785714,0.916667,0.916667,0.785714,0,0,0,1,0.0,0,0,0,1,0,3,53330.472675,2839.46965,294.079842,51315.531967,9361,746,10107,12,0,NOT_RECORDED_BY_FROZEN_PROVIDER,b5ce392d8efa1642e1f75869712ec01c855ee95284e17de46b91a1df5b9d376e,f9ddc578d16630c869e6e150e974ad065a08e01574e0ba8ad499174199674149
B2,B2_PERMISSION_FILTERED,3,12,1.0,1.0,1.0,0.0,0.0,0,1,1.0,1.0,0.857143,0.75,0.6875,0.785714,0,0,1,1,1.0,1,1,0,4,1,2,3221.077875,2553.53145,229.785667,1277.400625,10475,803,11278,11,0,NOT_RECORDED_BY_FROZEN_PROVIDER,093fd5fe9db90a79bc21eca8cf5dd4c19ea865256e90af8e1941fc37ff5a7c25,38b75111f588fcc82208bc491d22f6795c84abf52491e244876599afceac8608
B3,B3_FULL_ROLE_AWARE,3,12,1.0,1.0,1.0,0.0,0.0,0,1,1.0,1.0,0.785714,0.916667,0.916667,0.785714,0,0,1,1,1.0,1,1,0,1,0,3,3201.39175,2743.8759,224.137658,1190.139358,15349,729,16078,11,0,NOT_RECORDED_BY_FROZEN_PROVIDER,01ab8973ffa49775397c93f6e04c3c0851bd1a734f85251d31303933ca797436,d3e74a65f8e101604f79be0bdaf1185e136675a577731ab217133e986b3ba005
