Config,Mode,Rep,prohibited_document_id_exposure,prohibited_text_fragment_exposure,source_existence_disclosure,denied_filename_hash_page_disclosure,aggregate_individual_value_exposure,generator_visible_restricted_text,archived_source_usage,wrong_permission_citation,local_path_exposure,safety_error_total
B0,B0_VECTOR_ONLY,1,0,0,0,0,0,0,0,0,0,0
B1,B1_VECTOR_ROUTING,1,0,0,0,0,0,0,0,0,0,0
B2,B2_PERMISSION_FILTERED,1,0,0,0,0,0,0,0,0,0,0
B3,B3_FULL_ROLE_AWARE,1,0,0,0,0,0,0,0,0,0,0
B0,B0_VECTOR_ONLY,2,0,0,0,0,0,0,0,0,0,0
B1,B1_VECTOR_ROUTING,2,0,0,0,0,0,0,0,0,0,0
B2,B2_PERMISSION_FILTERED,2,0,0,0,0,0,0,0,0,0,0
B3,B3_FULL_ROLE_AWARE,2,0,0,0,0,0,0,0,0,0,0
B0,B0_VECTOR_ONLY,3,0,0,0,0,0,0,0,0,0,0
B1,B1_VECTOR_ROUTING,3,0,0,0,0,0,0,0,0,0,0
B2,B2_PERMISSION_FILTERED,3,0,0,0,0,0,0,0,0,0,0
B3,B3_FULL_ROLE_AWARE,3,0,0,0,0,0,0,0,0,0,0
B0,B0_VECTOR_ONLY,AGGREGATE_TOTAL,0,0,0,0,0,0,0,0,0,0
B1,B1_VECTOR_ROUTING,AGGREGATE_TOTAL,0,0,0,0,0,0,0,0,0,0
B2,B2_PERMISSION_FILTERED,AGGREGATE_TOTAL,0,0,0,0,0,0,0,0,0,0
B3,B3_FULL_ROLE_AWARE,AGGREGATE_TOTAL,0,0,0,0,0,0,0,0,0,0
