Config,Mode,Case,output_reason_atom_pass_count,citation_complete_count,stable_output_class,output_classes,output_class_changes,citation_set_changes,citation_sets,retrieved_set_changes,repeated_failure_pattern
B0,B0_VECTOR_ONLY,S1-Q1,3,3,True,FULL_ANSWER;FULL_ANSWER;FULL_ANSWER,False,False,77809285-cd77-5486-8c4e-0cd9dfc5cdd0:1;9c193693-5005-5272-815f-f251ce8fc8ae:1 || 77809285-cd77-5486-8c4e-0cd9dfc5cdd0:1;9c193693-5005-5272-815f-f251ce8fc8ae:1 || 77809285-cd77-5486-8c4e-0cd9dfc5cdd0:1;9c193693-5005-5272-815f-f251ce8fc8ae:1,False,none
B0,B0_VECTOR_ONLY,S1-Q2,3,3,True,FULL_ANSWER;FULL_ANSWER;FULL_ANSWER,False,False,9c193693-5005-5272-815f-f251ce8fc8ae:1 || 9c193693-5005-5272-815f-f251ce8fc8ae:1 || 9c193693-5005-5272-815f-f251ce8fc8ae:1,False,none
B0,B0_VECTOR_ONLY,S1-Q3,3,3,True,FULL_ANSWER;FULL_ANSWER;FULL_ANSWER,False,False,77809285-cd77-5486-8c4e-0cd9dfc5cdd0:1;9c193693-5005-5272-815f-f251ce8fc8ae:1 || 77809285-cd77-5486-8c4e-0cd9dfc5cdd0:1;9c193693-5005-5272-815f-f251ce8fc8ae:1 || 77809285-cd77-5486-8c4e-0cd9dfc5cdd0:1;9c193693-5005-5272-815f-f251ce8fc8ae:1,False,none
B0,B0_VECTOR_ONLY,S1-Q4,0,3,True,FULL_ANSWER;FULL_ANSWER;FULL_ANSWER,False,False, ||  || ,False,observed_failure_or_variation
B0,B0_VECTOR_ONLY,S1-Q5,3,3,True,FULL_ANSWER;FULL_ANSWER;FULL_ANSWER,False,False,9c193693-5005-5272-815f-f251ce8fc8ae:1 || 9c193693-5005-5272-815f-f251ce8fc8ae:1 || 9c193693-5005-5272-815f-f251ce8fc8ae:1,False,none
B0,B0_VECTOR_ONLY,S1-Q6,3,0,True,FULL_ANSWER;FULL_ANSWER;FULL_ANSWER,False,False,9c193693-5005-5272-815f-f251ce8fc8ae:1 || 9c193693-5005-5272-815f-f251ce8fc8ae:1 || 9c193693-5005-5272-815f-f251ce8fc8ae:1,False,known_frozen_citation_limitation
B0,B0_VECTOR_ONLY,S2-Q1,3,3,True,FULL_ANSWER;FULL_ANSWER;FULL_ANSWER,False,False,15aff4e8-ba87-5102-bea3-7531558c2e5c:1 || 15aff4e8-ba87-5102-bea3-7531558c2e5c:1 || 15aff4e8-ba87-5102-bea3-7531558c2e5c:1,False,none
B0,B0_VECTOR_ONLY,S2-Q2,3,3,True,FULL_ANSWER;FULL_ANSWER;FULL_ANSWER,False,False,15aff4e8-ba87-5102-bea3-7531558c2e5c:1;402e9da2-1654-5751-b970-4f3e35488c52:6;79523654-1146-564a-9dba-a62d61db335e:3 || 15aff4e8-ba87-5102-bea3-7531558c2e5c:1;402e9da2-1654-5751-b970-4f3e35488c52:6;79523654-1146-564a-9dba-a62d61db335e:3 || 15aff4e8-ba87-5102-bea3-7531558c2e5c:1;402e9da2-1654-5751-b970-4f3e35488c52:6;79523654-1146-564a-9dba-a62d61db335e:3,False,none
B0,B0_VECTOR_ONLY,S2-Q3,3,3,True,FULL_ANSWER;FULL_ANSWER;FULL_ANSWER,False,False,f1025ca4-e18c-59ae-b025-3cb12ee33522:17 || f1025ca4-e18c-59ae-b025-3cb12ee33522:17 || f1025ca4-e18c-59ae-b025-3cb12ee33522:17,False,none
B0,B0_VECTOR_ONLY,S2-Q4,3,0,True,FULL_ANSWER;FULL_ANSWER;FULL_ANSWER,False,False,f1025ca4-e18c-59ae-b025-3cb12ee33522:10 || f1025ca4-e18c-59ae-b025-3cb12ee33522:10 || f1025ca4-e18c-59ae-b025-3cb12ee33522:10,False,observed_failure_or_variation
B0,B0_VECTOR_ONLY,S2-Q5,3,3,True,FULL_ANSWER;FULL_ANSWER;FULL_ANSWER,False,False,402e9da2-1654-5751-b970-4f3e35488c52:2;79523654-1146-564a-9dba-a62d61db335e:1 || 402e9da2-1654-5751-b970-4f3e35488c52:2;79523654-1146-564a-9dba-a62d61db335e:1 || 402e9da2-1654-5751-b970-4f3e35488c52:2;79523654-1146-564a-9dba-a62d61db335e:1,False,none
B0,B0_VECTOR_ONLY,S2-Q6,3,3,True,FULL_ANSWER;FULL_ANSWER;FULL_ANSWER,False,False,f1025ca4-e18c-59ae-b025-3cb12ee33522:17 || f1025ca4-e18c-59ae-b025-3cb12ee33522:17 || f1025ca4-e18c-59ae-b025-3cb12ee33522:17,False,none
B1,B1_VECTOR_ROUTING,S1-Q1,3,3,True,FULL_ANSWER;FULL_ANSWER;FULL_ANSWER,False,False,77809285-cd77-5486-8c4e-0cd9dfc5cdd0:1 || 77809285-cd77-5486-8c4e-0cd9dfc5cdd0:1 || 77809285-cd77-5486-8c4e-0cd9dfc5cdd0:1,False,none
B1,B1_VECTOR_ROUTING,S1-Q2,3,3,True,FULL_ANSWER;FULL_ANSWER;FULL_ANSWER,False,False,9c193693-5005-5272-815f-f251ce8fc8ae:1 || 9c193693-5005-5272-815f-f251ce8fc8ae:1 || 9c193693-5005-5272-815f-f251ce8fc8ae:1,False,none
