case_id,mode,run_id,audit_id,raw_record_sha256,expected_output_class,actual_output_class,expected_reason_code,actual_reason_code,configured_k,expected_unique_contributor_count,raw_aggregate_document_representation_count,raw_contributor_count,unique_contributor_count,threshold_satisfied,public_citations_json,public_citation_count,exact_public_output,runtime_error,parser_error,provider_error,prohibited_exposure_total,full_mariadb_cross_check
S3-Q2,C2,s3s6-mariadb-focused-c2-20260831173131,97a05b42-b0bf-57ea-bb54-99a223bdc40b,d173050de1464156c078f2f92e21393eaf06c1ab6a0ae97acefc85ecc610b565,AGGREGATE_RESULT,AGGREGATE_RESULT,aggregate_threshold_satisfied,aggregate_threshold_satisfied,3,3,3,3,3,True,[],0,Governed aggregate mean: 14.5 days.,,,,0,PASS
S3-Q2,C3,s3s6-mariadb-focused-c3-20260831173131,13a2f1fd-eb7c-5175-96e6-64dc046b7310,2ff31ab474d7506f7fa5064314e3754d6a303418d4e968998190b0b2caa9d56d,AGGREGATE_RESULT,AGGREGATE_RESULT,aggregate_threshold_satisfied,aggregate_threshold_satisfied,3,3,3,3,3,True,[],0,Governed aggregate mean: 14.5 days.,,,,0,PASS
S3-Q4,C2,s3s6-mariadb-focused-c2-20260831173131,24daaa03-60e7-5197-982d-d4fba9b7f6b5,6574da8db23178066414e938e7c514f7ea3a42215c04865a34f89ea6d8efb40b,AGGREGATE_RESULT,AGGREGATE_RESULT,aggregate_threshold_satisfied,aggregate_threshold_satisfied,3,3,3,3,3,True,[],0,Governed aggregate sum: 3 litres.,,,,0,PASS
S3-Q4,C3,s3s6-mariadb-focused-c3-20260831173131,58ddb6e9-6dd8-5f35-9a8a-d9e28d01b25b,9e14849eaf57a6342baa8bc23edd8278c38c1678930de02796b09fedbd0fbe5b,AGGREGATE_RESULT,AGGREGATE_RESULT,aggregate_threshold_satisfied,aggregate_threshold_satisfied,3,3,3,3,3,True,[],0,Governed aggregate sum: 3 litres.,,,,0,PASS
S3-Q6,C2,s3s6-mariadb-focused-c2-20260831173131,c45b5dce-aadd-5bba-92f0-a322b1f19293,8e9e9f60a832e622ce746d798d3b5f8260de1df1b0e199ea820081574b436c95,AGGREGATE_RESULT,AGGREGATE_RESULT,aggregate_threshold_satisfied,aggregate_threshold_satisfied,3,3,3,3,3,True,[],0,Governed aggregate sum: 5 litres.,,,,0,PASS
S3-Q6,C3,s3s6-mariadb-focused-c3-20260831173131,7b5036a5-024b-50a7-acc2-5b2a42201767,620de105a220563cb2a4b65862966ac195bdd81e2a6bfa140f080e70264c75a3,AGGREGATE_RESULT,AGGREGATE_RESULT,aggregate_threshold_satisfied,aggregate_threshold_satisfied,3,3,3,3,3,True,[],0,Governed aggregate sum: 5 litres.,,,,0,PASS
S3-Q9,C2,s3s6-mariadb-focused-c2-20260831173131,4d000ecf-828f-521e-9b8e-864cfdc92ab4,c15f06215c83349e9b2db2ee46bb54b701becf3949ac65c199a9c3735e150e8a,AGGREGATE_RESULT,AGGREGATE_RESULT,aggregate_threshold_satisfied,aggregate_threshold_satisfied,2,2,3,2,2,True,[],0,Governed aggregate sum: 6 litres.,,,,0,PASS
S3-Q9,C3,s3s6-mariadb-focused-c3-20260831173131,c65ac4fe-152c-5c59-813d-7112fbdf0c22,25cff7950ab232826e3280daf466aa87fc2ff56eb415bd57b7b8b4dbb9cab500,AGGREGATE_RESULT,AGGREGATE_RESULT,aggregate_threshold_satisfied,aggregate_threshold_satisfied,2,2,3,2,2,True,[],0,Governed aggregate sum: 6 litres.,,,,0,PASS
S4B-Q3,C2,s3s6-mariadb-focused-c2-20260831173131,77e366fd-2bc4-50ce-aeb3-b72328e0c803,743b47ecd3dc81f8c2a7640bcd4c6d118f7f1b6a4e81c44d2ef5a4d64d9ff2ea,AGGREGATE_RESULT,AGGREGATE_RESULT,aggregate_threshold_satisfied,aggregate_threshold_satisfied,2,2,3,2,2,True,[],0,Governed aggregate net difference: +50 HUF; total discrepancy magnitude: 350 HUF.,,,,0,PASS
S4B-Q3,C3,s3s6-mariadb-focused-c3-20260831173131,18de2dbb-dcdf-5987-85d8-b74123d404f5,33090aee1cb86b2b53441e212059756b22bdb01c6729e120df7739a405ed922d,AGGREGATE_RESULT,AGGREGATE_RESULT,aggregate_threshold_satisfied,aggregate_threshold_satisfied,2,2,3,2,2,True,[],0,Governed aggregate net difference: +50 HUF; total discrepancy magnitude: 350 HUF.,,,,0,PASS
S4B-Q6,C2,s3s6-mariadb-focused-c2-20260831173131,9292fdb3-a54e-57bd-b502-563abd2f6583,06c8f980131d2b0003b4c63451594a0167143ab54349b727248e4e5058bad74c,REFUSE_AGGREGATION_THRESHOLD,REFUSE_AGGREGATION_THRESHOLD,aggregation_threshold_not_met,aggregation_threshold_not_met,3,2,1,2,2,False,[],0,A governed aggregate result is unavailable for this request.,,,,0,PASS
S4B-Q6,C3,s3s6-mariadb-focused-c3-20260831173131,7b061bd7-74cf-574f-95a6-cd4b8cd46e7d,b289eed80140ebc4a8cdef523ec03f83f956a830ebff43927f82b43d3ce8708a,REFUSE_AGGREGATION_THRESHOLD,REFUSE_AGGREGATION_THRESHOLD,aggregation_threshold_not_met,aggregation_threshold_not_met,3,2,1,2,2,False,[],0,A governed aggregate result is unavailable for this request.,,,,0,PASS
