case_id,provenance_id,origin_type,source_dataset,licence,transformation_method,source_text_newly_generated,contains_personal_information,checksum
HELD2_P1_01A,prov-held2_p1_01a,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,09a9c8378d6191ded77ca39c35f6d50a8858d0249890db557fa6c41110619d51
HELD2_P1_01B,prov-held2_p1_01b,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,a06e34758c434694686f248879b8c0a7dc58c91bedc3eb1f30d8d7ebb37bd7d5
HELD2_P1_02A,prov-held2_p1_02a,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,08fd442375edb696a055a32c1bdeda42ac59e35a3ab0ad10db78bc8ef9515634
HELD2_P1_02B,prov-held2_p1_02b,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,e28814a64212a0e8fca1c6f13d71c3f137c46cec59d892e7ee1f76f797bb8d5a
HELD2_P1_03A,prov-held2_p1_03a,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,ee5bf4c132c6e6e69aea21cd26dc3381812b517aed1cff54e53b7fd84e27bd8c
HELD2_P1_03B,prov-held2_p1_03b,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,0f52245811cfb776416f82e83df4286fa3f294d17decbaaef341e95f6eb2f64c
HELD2_P1_04A,prov-held2_p1_04a,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,0b7be1fc736e8d2c6890b08e2f88d6dbd059c2e847a1e052af02ff883330a8df
HELD2_P1_04B,prov-held2_p1_04b,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,be983b7f8defb1df3a867cfb9f3a39703a2b99f77bdaf0c4d8bb3fd2b39223fc
HELD2_P2_01A,prov-held2_p2_01a,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,fb38804701081c54b7df76813c72c38e6564992faca443acac17f91d420c7339
HELD2_P2_01B,prov-held2_p2_01b,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,636710785e7b7fb925e967cb1c2da5a5a0ea7a592734ad0f59db69fac5d1dc0e
HELD2_P2_02A,prov-held2_p2_02a,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,61a56998d879d674ea8f51408554b87e26f1e58afa176cb9a38fcc0408f66c72
HELD2_P2_02B,prov-held2_p2_02b,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,0b8a3025c45195e6f8606d9f1a43dd561176573866613caa99058b4391f5b595
HELD2_P2_03A,prov-held2_p2_03a,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,23d68b1ca74dad7631e852a2d91548c3cc069312553ed08c177978f9ae5131e8
HELD2_P2_03B,prov-held2_p2_03b,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,9914f992780a57e1d311635c48ec53b9f7e50c565e38ef207c7ee967cb5d6c06
HELD2_P2_04A,prov-held2_p2_04a,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,e90b4fda553b738171c34c2446cd2d9f1d0e975e34a876145fa5e6b069530e07
HELD2_P2_04B,prov-held2_p2_04b,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,60a706b8e9f693ed50a65be0a7e1631b697a1df94be7a4a20debfd0e9a292f77
HELD2_P3_01A,prov-held2_p3_01a,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,efe35d329423125574944043d0e70144f600b26902691cb5fc9698c313d2c884
HELD2_P3_01B,prov-held2_p3_01b,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,d31dcb3c77b9ba7e8ad942b3115de26ea8b0898421045c989caea3f4a10f1b4d
HELD2_P3_02A,prov-held2_p3_02a,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,71540362c4210949f0022eb737f1d43dbcf9d3200d9af14de1810c3ab91d778f
HELD2_P3_02B,prov-held2_p3_02b,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,739d6ea4a734a5c9c2f6e1fc6517841a8f102766b5e398ae37e11d91c71fc087
HELD2_P3_03A,prov-held2_p3_03a,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,ae20f74bc28933db6f44eedaadff99da97c572393c8d943fa5104aec3ec70401
HELD2_P3_03B,prov-held2_p3_03b,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,a623c760a0fd406988d29c7c69519999ca429ad5a3eadc6ee54abfabe8bb7ba0
HELD2_P3_04A,prov-held2_p3_04a,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,e4f041b1fe06a7875b5ce8c4cdbf00101f37f3a1542e698db152ef208ca884b7
HELD2_P3_04B,prov-held2_p3_04b,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,7c0998fbab5c3ea5705ae2028b7343785971beaf40169ea77208c06ee8d39abe
HELD2_P4_01A,prov-held2_p4_01a,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,3bc71c3c2e1d5cc8e4e532619c92daf0b8973c22eb8ea72a5cf9299212c4d732
HELD2_P4_01B,prov-held2_p4_01b,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,223e7dca488cb83b9a315eb4f91b4795dbd48e38a9b09d4d7617c9754f16d9f8
HELD2_P4_02A,prov-held2_p4_02a,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,1f94fb6c1a970f7f6f3e71fafc6b2382b1157136776f888a18dd18e1587adfd5
HELD2_P4_02B,prov-held2_p4_02b,synthetic,none,Repository LICENSE; synthetic WoLaLa pilot fixture.,newly generated deterministic synthetic template,True,False,4b1eca687b913b505b9bb79f199ae798d203147eccf1a8ed84e4e735698881a5
