provenance_id,case_id,pair_id,family,variant,dataset_name,seed,synthetic,source_count,created_by
prov-held3_p1_01a,HELD3_P1_01A,H3PAIR_P1_01,P1,A,heldout_pilot_v3,20261017,True,1,evaluation.wolala2026.generate_heldout_v3
prov-held3_p1_01b,HELD3_P1_01B,H3PAIR_P1_01,P1,B,heldout_pilot_v3,20261017,True,1,evaluation.wolala2026.generate_heldout_v3
prov-held3_p1_02a,HELD3_P1_02A,H3PAIR_P1_02,P1,A,heldout_pilot_v3,20261017,True,1,evaluation.wolala2026.generate_heldout_v3
prov-held3_p1_02b,HELD3_P1_02B,H3PAIR_P1_02,P1,B,heldout_pilot_v3,20261017,True,1,evaluation.wolala2026.generate_heldout_v3
prov-held3_p1_03a,HELD3_P1_03A,H3PAIR_P1_03,P1,A,heldout_pilot_v3,20261017,True,1,evaluation.wolala2026.generate_heldout_v3
prov-held3_p1_03b,HELD3_P1_03B,H3PAIR_P1_03,P1,B,heldout_pilot_v3,20261017,True,1,evaluation.wolala2026.generate_heldout_v3
prov-held3_p1_04a,HELD3_P1_04A,H3PAIR_P1_04,P1,A,heldout_pilot_v3,20261017,True,1,evaluation.wolala2026.generate_heldout_v3
prov-held3_p1_04b,HELD3_P1_04B,H3PAIR_P1_04,P1,B,heldout_pilot_v3,20261017,True,1,evaluation.wolala2026.generate_heldout_v3
prov-held3_p2_01a,HELD3_P2_01A,H3PAIR_P2_01,P2,A,heldout_pilot_v3,20261017,True,1,evaluation.wolala2026.generate_heldout_v3
prov-held3_p2_01b,HELD3_P2_01B,H3PAIR_P2_01,P2,B,heldout_pilot_v3,20261017,True,1,evaluation.wolala2026.generate_heldout_v3
prov-held3_p2_02a,HELD3_P2_02A,H3PAIR_P2_02,P2,A,heldout_pilot_v3,20261017,True,1,evaluation.wolala2026.generate_heldout_v3
prov-held3_p2_02b,HELD3_P2_02B,H3PAIR_P2_02,P2,B,heldout_pilot_v3,20261017,True,1,evaluation.wolala2026.generate_heldout_v3
prov-held3_p2_03a,HELD3_P2_03A,H3PAIR_P2_03,P2,A,heldout_pilot_v3,20261017,True,1,evaluation.wolala2026.generate_heldout_v3
prov-held3_p2_03b,HELD3_P2_03B,H3PAIR_P2_03,P2,B,heldout_pilot_v3,20261017,True,1,evaluation.wolala2026.generate_heldout_v3
prov-held3_p2_04a,HELD3_P2_04A,H3PAIR_P2_04,P2,A,heldout_pilot_v3,20261017,True,1,evaluation.wolala2026.generate_heldout_v3
prov-held3_p2_04b,HELD3_P2_04B,H3PAIR_P2_04,P2,B,heldout_pilot_v3,20261017,True,1,evaluation.wolala2026.generate_heldout_v3
prov-held3_p3_01a,HELD3_P3_01A,H3PAIR_P3_01,P3,A,heldout_pilot_v3,20261017,True,1,evaluation.wolala2026.generate_heldout_v3
prov-held3_p3_01b,HELD3_P3_01B,H3PAIR_P3_01,P3,B,heldout_pilot_v3,20261017,True,1,evaluation.wolala2026.generate_heldout_v3
prov-held3_p3_02a,HELD3_P3_02A,H3PAIR_P3_02,P3,A,heldout_pilot_v3,20261017,True,1,evaluation.wolala2026.generate_heldout_v3
prov-held3_p3_02b,HELD3_P3_02B,H3PAIR_P3_02,P3,B,heldout_pilot_v3,20261017,True,1,evaluation.wolala2026.generate_heldout_v3
prov-held3_p3_03a,HELD3_P3_03A,H3PAIR_P3_03,P3,A,heldout_pilot_v3,20261017,True,1,evaluation.wolala2026.generate_heldout_v3
prov-held3_p3_03b,HELD3_P3_03B,H3PAIR_P3_03,P3,B,heldout_pilot_v3,20261017,True,1,evaluation.wolala2026.generate_heldout_v3
prov-held3_p3_04a,HELD3_P3_04A,H3PAIR_P3_04,P3,A,heldout_pilot_v3,20261017,True,1,evaluation.wolala2026.generate_heldout_v3
prov-held3_p3_04b,HELD3_P3_04B,H3PAIR_P3_04,P3,B,heldout_pilot_v3,20261017,True,1,evaluation.wolala2026.generate_heldout_v3
prov-held3_p4_01a,HELD3_P4_01A,H3PAIR_P4_01,P4,A,heldout_pilot_v3,20261017,True,1,evaluation.wolala2026.generate_heldout_v3
prov-held3_p4_01b,HELD3_P4_01B,H3PAIR_P4_01,P4,B,heldout_pilot_v3,20261017,True,1,evaluation.wolala2026.generate_heldout_v3
