condition,question_family,questions,exact_accuracy,mean_structured_score,controlled_failure_accuracy,evidence_precision,evidence_recall,evidence_f1,evidence_exact_accuracy,evidence_source_validity,errors,api_calls,input_tokens,output_tokens,total_tokens,average_tokens_per_question,mean_latency_seconds
STANDARD_RAG,ACTOR_RESPONSIBILITY,45,0.02222222,0.15541446,1.0,0.80518519,0.56666667,0.62190476,0.24444444,1.0,0,45,52398,13723,66121,1469.3556,5.68626833
STANDARD_RAG,BLOCKED_BY,4,0.0,0.0,1.0,0.75,1.0,0.83333334,0.5,1.0,0,4,4787,1175,5962,1490.5,2.708574
STANDARD_RAG,CLOSED_TASKS,50,0.2,0.42663492,0.68,0.80666667,0.71788095,0.73446398,0.44,1.0,0,50,57538,21317,78855,1577.1,6.57950706
STANDARD_RAG,DEADLINE,6,0.66666667,0.75,1.0,0.69444444,0.91666667,0.72222222,0.33333333,1.0,0,6,7265,1728,8993,1498.8333,4.2260485
STANDARD_RAG,NO_TASK_CONTROL,19,0.73684211,0.73684211,0.73684211,0.86842105,0.89473684,0.87719298,0.84210526,1.0,0,19,23460,1890,25350,1334.2105,5.06814326
STANDARD_RAG,OPEN_TASKS,50,0.18,0.56732756,0.92,0.84433333,0.79583333,0.76706716,0.34,1.0,0,50,57517,21640,79157,1583.14,6.11987428
STANDARD_RAG,REQUESTER,36,0.08333333,0.14358466,1.0,0.69444444,0.51203704,0.55753968,0.27777778,1.0,0,36,41863,11057,52920,1470.0,5.00831383
STANDARD_RAG,TASK_HISTORY,42,0.0952381,0.51125284,1.0,0.85039683,0.89280045,0.85113379,0.42857143,1.0,0,42,49165,18096,67261,1601.4524,69.63887276
STANDARD_RAG,WAITING_FOR,19,0.0,0.02105263,1.0,0.85526316,0.75877193,0.75037594,0.42105263,1.0,0,19,21601,6042,27643,1454.8947,5.02563374
THREAD_AWARE_RAG,ACTOR_RESPONSIBILITY,45,0.06666667,0.1724515,1.0,0.82592593,0.57037037,0.64846561,0.24444444,0.97777778,0,45,53030,13704,66734,1482.9778,5.38929731
THREAD_AWARE_RAG,BLOCKED_BY,4,0.0,0.0,1.0,0.6875,1.0,0.76666667,0.5,1.0,0,4,4786,1304,6090,1522.5,5.4669285
THREAD_AWARE_RAG,CLOSED_TASKS,50,0.2,0.47637229,0.68,0.81333333,0.81509524,0.79045022,0.5,1.0,0,50,58483,24327,82810,1656.2,7.03543984
THREAD_AWARE_RAG,DEADLINE,6,0.5,0.72474748,1.0,0.80555555,0.91666667,0.80555556,0.5,1.0,0,6,7394,1782,9176,1529.3333,3.02639433
THREAD_AWARE_RAG,NO_TASK_CONTROL,19,0.73684211,0.73684211,0.73684211,1.0,1.0,1.0,1.0,1.0,0,19,23864,1915,25779,1356.7895,5.65433879
THREAD_AWARE_RAG,OPEN_TASKS,50,0.18,0.56714807,0.9,0.86135714,0.7925,0.77160318,0.34,1.0,0,50,58433,21245,79678,1593.56,5.82353348
THREAD_AWARE_RAG,REQUESTER,36,0.05555556,0.15515873,1.0,0.67592593,0.49675926,0.53981482,0.16666667,1.0,0,36,42346,11315,53661,1490.5833,4.95880339
THREAD_AWARE_RAG,TASK_HISTORY,42,0.11904762,0.52494331,1.0,0.86190476,0.93469388,0.88125618,0.47619048,1.0,0,42,50070,19731,69801,1661.9286,69.46040036
THREAD_AWARE_RAG,WAITING_FOR,19,0.0,0.02105263,1.0,0.90789474,0.78070175,0.80651629,0.52631579,1.0,0,19,21598,5972,27570,1451.0526,4.58559768
ORACLE_TASK_STATE_RAG,ACTOR_RESPONSIBILITY,45,0.95555556,0.99506173,1.0,0.76789852,1.0,0.83548057,0.55555556,0.57777778,0,45,88916,28552,117468,2610.4,25.63941207
ORACLE_TASK_STATE_RAG,BLOCKED_BY,4,0.75,0.875,1.0,0.52083333,1.0,0.64166667,0.25,0.5,0,4,8960,1455,10415,2603.75,41.82642775
ORACLE_TASK_STATE_RAG,CLOSED_TASKS,50,0.84,0.84,0.84,0.77528571,0.89766667,0.81560318,0.46,0.52,0,50,97108,21508,118616,2372.32,17.18939672
ORACLE_TASK_STATE_RAG,DEADLINE,6,1.0,1.0,1.0,0.51515152,1.0,0.63888889,0.16666667,0.16666667,0,6,14046,3156,17202,2867.0,28.89911417
ORACLE_TASK_STATE_RAG,NO_TASK_CONTROL,19,0.84210526,0.84210526,0.84210526,0.85964912,0.89473684,0.86842105,0.84210526,0.94736842,0,19,37370,2189,39559,2082.0526,22.60768532
ORACLE_TASK_STATE_RAG,OPEN_TASKS,50,0.94,0.956,0.96,0.85474359,0.98,0.88933333,0.74,0.76,0,50,97058,34576,131634,2632.68,24.43500412
ORACLE_TASK_STATE_RAG,REQUESTER,36,0.66666667,0.90672878,1.0,0.56787919,0.99444444,0.67253487,0.25,0.41666667,0,36,73753,24592,98345,2731.8056,24.53457589
ORACLE_TASK_STATE_RAG,TASK_HISTORY,42,0.69047619,0.91742036,1.0,0.87976191,1.0,0.92569917,0.64285714,0.85714286,0,42,84287,24688,108975,2594.6429,281.82567455
ORACLE_TASK_STATE_RAG,WAITING_FOR,19,0.78947368,0.86842105,1.0,0.75438597,0.94736842,0.82606516,0.42105263,0.57894737,0,19,38764,7943,46707,2458.2632,20.14595589
