left_condition,right_condition,scope,questions,left_exact_accuracy,right_exact_accuracy,absolute_exact_difference_left_minus_right,left_structured_score,right_structured_score,absolute_structured_difference_left_minus_right,left_wins,right_wins,ties,mcnemar_p_value,wilcoxon_p_value,wilcoxon_n_nonzero,rank_biserial_effect_left_minus_right,primary_family_test,small_sample_test_suppressed,mcnemar_holm_p_value,wilcoxon_holm_p_value
STANDARD_RAG,THREAD_AWARE_RAG,PRIMARY_OVERALL,223,0.12107623,0.13004484,-0.00896861,0.37369256,0.3926891,-0.01899654,5,7,211,0.7744140625,0.31332734103021687,54,-0.15824916,True,False,1.0,1.0
STANDARD_RAG,THREAD_AWARE_RAG,ACTOR_RESPONSIBILITY,45,0.02222222,0.06666667,-0.04444445,0.15541446,0.1724515,-0.01703704,0,2,43,0.5,0.7194375444233914,9,-0.15555556,True,False,1.0,1.0
STANDARD_RAG,THREAD_AWARE_RAG,CLOSED_TASKS,50,0.2,0.2,0.0,0.42663492,0.47637229,-0.04973737,2,2,46,1.0,0.18166496074010346,12,-0.44871795,True,False,1.0,1.0
STANDARD_RAG,THREAD_AWARE_RAG,OPEN_TASKS,50,0.18,0.18,0.0,0.56732756,0.56714807,0.00017949,1,1,48,1.0,0.888365699321041,8,0.08333333,True,False,1.0,1.0
STANDARD_RAG,THREAD_AWARE_RAG,REQUESTER,36,0.08333333,0.05555556,0.02777777,0.14358466,0.15515873,-0.01157407,1,0,35,1.0,0.7854947471183542,5,-0.2,True,False,1.0,1.0
STANDARD_RAG,THREAD_AWARE_RAG,TASK_HISTORY,42,0.0952381,0.11904762,-0.02380952,0.51125284,0.52494331,-0.01369047,1,2,39,1.0,0.8225779304211256,20,-0.06190476,True,False,1.0,1.0
THREAD_AWARE_RAG,ORACLE_TASK_STATE_RAG,PRIMARY_OVERALL,223,0.13004484,0.82959641,-0.69955157,0.3926891,0.92265322,-0.52996412,2,158,63,1.7627075702117157e-44,3.985384987127799e-32,182,-0.99807842,True,False,2.9966028693599167e-43,6.775154478117258e-31
THREAD_AWARE_RAG,ORACLE_TASK_STATE_RAG,ACTOR_RESPONSIBILITY,45,0.06666667,0.95555556,-0.88888889,0.1724515,0.99506173,-0.82261023,0,40,5,1.8189894035458565e-12,7.789517677337499e-10,42,-1.0,True,False,2.7284841053187847e-11,1.1684276516006249e-08
THREAD_AWARE_RAG,ORACLE_TASK_STATE_RAG,CLOSED_TASKS,50,0.2,0.84,-0.64,0.47637229,0.84,-0.36362771,0,32,18,4.656612873077393e-10,2.3714370608810054e-06,28,-1.0,True,False,5.587935447692871e-09,1.6600059426167038e-05
THREAD_AWARE_RAG,ORACLE_TASK_STATE_RAG,OPEN_TASKS,50,0.18,0.94,-0.76,0.56714807,0.956,-0.38885193,0,38,12,7.275957614183426e-12,4.4917719797681756e-08,39,-1.0,True,False,1.0186340659856796e-10,6.288480771675446e-07
THREAD_AWARE_RAG,ORACLE_TASK_STATE_RAG,REQUESTER,36,0.05555556,0.66666667,-0.61111111,0.15515873,0.90672878,-0.75157005,0,22,14,4.76837158203125e-07,1.8587746170216596e-07,34,-1.0,True,False,4.291534423828125e-06,1.8587746170216595e-06
THREAD_AWARE_RAG,ORACLE_TASK_STATE_RAG,TASK_HISTORY,42,0.11904762,0.69047619,-0.57142857,0.52494331,0.91742036,-0.39247705,2,26,14,3.032386302947998e-06,9.817855657367622e-08,39,-0.97948718,True,False,2.1226704120635986e-05,1.0799641223104385e-06
STANDARD_RAG,ORACLE_TASK_STATE_RAG,PRIMARY_OVERALL,223,0.12107623,0.82959641,-0.70852018,0.37369256,0.92265322,-0.54896066,1,159,63,2.2032134058231987e-46,1.0494718815242314e-32,185,-0.9987213,True,False,3.9657841304817577e-45,1.8890493867436166e-31
STANDARD_RAG,ORACLE_TASK_STATE_RAG,ACTOR_RESPONSIBILITY,45,0.02222222,0.95555556,-0.93333334,0.15541446,0.99506173,-0.83964727,0,42,3,4.547473508864641e-13,5.002730394815051e-10,44,-1.0,True,False,7.275957614183426e-12,8.004368631704081e-09
STANDARD_RAG,ORACLE_TASK_STATE_RAG,CLOSED_TASKS,50,0.2,0.84,-0.64,0.42663492,0.84,-0.41336508,0,32,18,4.656612873077393e-10,5.293007518105896e-07,31,-1.0,True,False,5.587935447692871e-09,4.234406014484717e-06
STANDARD_RAG,ORACLE_TASK_STATE_RAG,OPEN_TASKS,50,0.18,0.94,-0.76,0.56732756,0.956,-0.38867244,0,38,12,7.275957614183426e-12,6.60477195874722e-08,38,-1.0,True,False,1.0186340659856796e-10,8.586203546371387e-07
STANDARD_RAG,ORACLE_TASK_STATE_RAG,REQUESTER,36,0.08333333,0.66666667,-0.58333334,0.14358466,0.90672878,-0.76314412,0,21,15,9.5367431640625e-07,2.632442878154084e-07,33,-1.0,True,False,7.62939453125e-06,2.3691985903386754e-06
STANDARD_RAG,ORACLE_TASK_STATE_RAG,TASK_HISTORY,42,0.0952381,0.69047619,-0.59523809,0.51125284,0.91742036,-0.40616752,1,26,15,4.172325134277344e-07,8.847454240900961e-08,39,-0.98333333,True,False,4.172325134277344e-06,1.0616945089081154e-06
