condition,question_family,questions,exact_accuracy,mean_structured_score,controlled_failure_accuracy,evidence_precision,evidence_recall,evidence_f1,evidence_exact_accuracy,evidence_source_validity,errors,api_calls,input_tokens,output_tokens,total_tokens,average_tokens_per_question,mean_latency_seconds
STANDARD_RAG,ACTOR_RESPONSIBILITY,45,0.0,0.09218855,0.71111111,0.70539683,0.87222222,0.72772487,0.26666667,0.97777778,0,45,52398,10840,63238,1405.2889,3.09688084
STANDARD_RAG,BLOCKED_BY,4,0.0,0.0,0.0,0.32083333,1.0,0.475,0.0,1.0,0,4,4787,377,5164,1291.0,1.43264675
STANDARD_RAG,CLOSED_TASKS,50,0.3,0.47466667,0.64,0.77266667,0.95159524,0.81756133,0.46,0.94,0,50,57526,13401,70927,1418.54,3.34175388
STANDARD_RAG,DEADLINE,6,0.5,0.56666667,0.66666667,0.54166667,0.91666667,0.58650794,0.16666667,1.0,0,6,7265,1281,8546,1424.3333,2.93078183
STANDARD_RAG,NO_TASK_CONTROL,19,0.94736842,0.94736842,0.94736842,0.62280702,0.89473684,0.68872181,0.47368421,1.0,0,19,23460,1521,24981,1314.7895,1.662868
STANDARD_RAG,OPEN_TASKS,50,0.14,0.49613564,0.96,0.733,0.87,0.75742857,0.34,0.98,0,50,57517,15948,73465,1469.3,4.10990808
STANDARD_RAG,REQUESTER,36,0.02777778,0.21388889,0.97222222,0.61851852,0.94537037,0.69390332,0.22222222,1.0,0,36,41863,12742,54605,1516.8056,3.87211083
STANDARD_RAG,TASK_HISTORY,42,0.11904762,0.47998514,1.0,0.80436508,0.94657029,0.85314368,0.38095238,0.97619048,0,42,49165,15130,64295,1530.8333,4.22081393
STANDARD_RAG,WAITING_FOR,19,0.0,0.04210526,1.0,0.6,0.9122807,0.67284879,0.21052632,0.89473684,0,19,21601,5726,27327,1438.2632,3.99652826
THREAD_AWARE_RAG,ACTOR_RESPONSIBILITY,45,0.0,0.06224146,0.75555556,0.67873016,0.87037037,0.72368607,0.31111111,0.91111111,0,45,53030,11839,64869,1441.5333,3.27706391
THREAD_AWARE_RAG,BLOCKED_BY,4,0.0,0.0,0.25,0.32083333,1.0,0.475,0.0,1.0,0,4,4786,544,5330,1332.5,1.8506985
THREAD_AWARE_RAG,CLOSED_TASKS,50,0.32,0.48038095,0.68,0.75559524,0.91916667,0.78486292,0.48,0.92,0,50,58483,13290,71773,1435.46,3.4050086
THREAD_AWARE_RAG,DEADLINE,6,0.5,0.56666667,0.66666667,0.53769841,0.91666667,0.58055556,0.16666667,1.0,0,6,7394,1329,8723,1453.8333,2.63050867
THREAD_AWARE_RAG,NO_TASK_CONTROL,19,0.94736842,0.94736842,0.94736842,0.89473684,0.94736842,0.9122807,0.84210526,1.0,0,19,23864,1320,25184,1325.4737,1.45856416
THREAD_AWARE_RAG,OPEN_TASKS,50,0.08,0.46230536,0.94,0.72421429,0.89,0.76492064,0.38,0.96,0,50,58433,15510,73943,1478.86,3.94319988
THREAD_AWARE_RAG,REQUESTER,36,0.0,0.14675926,0.91666667,0.57017196,0.86111111,0.65104618,0.25,1.0,0,36,42346,10918,53264,1479.5556,3.69264619
THREAD_AWARE_RAG,TASK_HISTORY,42,0.07142857,0.49132224,1.0,0.79750567,0.99404762,0.86648603,0.42857143,0.97619048,0,42,50070,16434,66504,1583.4286,4.55640274
THREAD_AWARE_RAG,WAITING_FOR,19,0.0,0.04210526,0.94736842,0.53508772,0.87719298,0.62481203,0.26315789,0.89473684,0,19,21598,5738,27336,1438.7368,3.781429
ORACLE_TASK_STATE_RAG,ACTOR_RESPONSIBILITY,45,0.75555556,0.95241894,1.0,0.92962963,1.0,0.95142857,0.84444444,1.0,0,45,88916,29208,118124,2624.9778,7.6214286
ORACLE_TASK_STATE_RAG,BLOCKED_BY,4,0.5,0.83333334,1.0,0.8125,1.0,0.85,0.75,1.0,0,4,8960,1434,10394,2598.5,4.61631275
ORACLE_TASK_STATE_RAG,CLOSED_TASKS,50,0.84,0.92582906,0.96,0.84266667,0.92166667,0.86077778,0.68,1.0,0,50,97108,17792,114900,2298.0,4.38310282
ORACLE_TASK_STATE_RAG,DEADLINE,6,1.0,1.0,1.0,0.79166667,1.0,0.84444445,0.66666667,1.0,0,6,14046,3070,17116,2852.6667,5.7184635
ORACLE_TASK_STATE_RAG,NO_TASK_CONTROL,19,0.63157895,0.63157895,0.63157895,0.55263158,0.63157895,0.57894737,0.47368421,0.89473684,0,19,37370,2573,39943,2102.2632,1.98481563
ORACLE_TASK_STATE_RAG,OPEN_TASKS,50,0.98,0.996,1.0,0.87,0.98,0.90933333,0.68,1.0,0,50,97058,32086,129144,2582.88,7.28367908
ORACLE_TASK_STATE_RAG,REQUESTER,36,0.30555556,0.76314103,1.0,0.64560185,1.0,0.74941078,0.33333333,0.97222222,0,36,73753,30524,104277,2896.5833,9.50534142
ORACLE_TASK_STATE_RAG,TASK_HISTORY,42,0.26190476,0.78414348,1.0,0.84739229,1.0,0.90302489,0.57142857,1.0,0,42,84287,31394,115681,2754.3095,7.81678188
ORACLE_TASK_STATE_RAG,WAITING_FOR,19,0.57894737,0.74210526,1.0,0.79385965,1.0,0.8537594,0.63157895,1.0,0,19,38764,7557,46321,2437.9474,4.90511632
