left_condition,right_condition,scope,questions,left_exact_accuracy,right_exact_accuracy,absolute_exact_difference_left_minus_right,left_structured_score,right_structured_score,absolute_structured_difference_left_minus_right,left_wins,right_wins,ties,mcnemar_p_value,wilcoxon_p_value,wilcoxon_n_nonzero,rank_biserial_effect_left_minus_right,primary_family_test,small_sample_test_suppressed,mcnemar_holm_p_value,wilcoxon_holm_p_value
STANDARD_RAG,THREAD_AWARE_RAG,PRIMARY_OVERALL,223,0.12556054,0.10313901,0.02242153,0.36120169,0.34015268,0.02104901,9,4,210,0.266845703125,0.24144337545709832,65,0.16736597,True,False,1.0,1.0
STANDARD_RAG,THREAD_AWARE_RAG,ACTOR_RESPONSIBILITY,45,0.0,0.0,0.0,0.09218855,0.06224146,0.02994709,0,0,45,,0.10247043485974944,5,0.86666667,True,False,,0.6148226091584966
STANDARD_RAG,THREAD_AWARE_RAG,CLOSED_TASKS,50,0.3,0.32,-0.02,0.47466667,0.48038095,-0.00571428,3,4,43,1.0,0.9152126173107621,13,-0.04395604,True,False,1.0,1.0
STANDARD_RAG,THREAD_AWARE_RAG,OPEN_TASKS,50,0.14,0.08,0.06,0.49613564,0.46230536,0.03383028,3,0,47,0.25,0.5275985054107835,8,0.27777778,True,False,1.0,1.0
STANDARD_RAG,THREAD_AWARE_RAG,REQUESTER,36,0.02777778,0.0,0.02777778,0.21388889,0.14675926,0.06712963,1,0,35,1.0,0.20167695355004406,13,0.40659341,True,False,1.0,1.0
STANDARD_RAG,THREAD_AWARE_RAG,TASK_HISTORY,42,0.11904762,0.07142857,0.04761905,0.47998514,0.49132224,-0.0113371,2,0,40,0.5,0.8092318729282344,26,-0.05698006,True,False,1.0,1.0
THREAD_AWARE_RAG,ORACLE_TASK_STATE_RAG,PRIMARY_OVERALL,223,0.10313901,0.65919283,-0.55605382,0.34015268,0.89397941,-0.55382673,3,127,93,5.381942110522302e-34,1.4158012099655339e-32,201,-0.95906606,True,False,9.149301587887914e-33,2.548442177937961e-31
THREAD_AWARE_RAG,ORACLE_TASK_STATE_RAG,ACTOR_RESPONSIBILITY,45,0.0,0.75555556,-0.75555556,0.06224146,0.95241894,-0.89017748,0,34,11,1.1641532182693481e-10,2.875490549208585e-10,45,-1.0,True,False,1.5133991837501526e-09,4.600784878733736e-09
THREAD_AWARE_RAG,ORACLE_TASK_STATE_RAG,CLOSED_TASKS,50,0.32,0.84,-0.52,0.48038095,0.92582906,-0.44544811,1,27,22,2.1606683731079102e-07,3.384347330021357e-06,34,-0.88067227,True,False,2.16066837310791e-06,3.045912597019221e-05
THREAD_AWARE_RAG,ORACLE_TASK_STATE_RAG,OPEN_TASKS,50,0.08,0.98,-0.9,0.46230536,0.996,-0.53369464,0,45,5,5.684341886080802e-14,2.907186605043406e-09,46,-1.0,True,False,8.526512829121202e-13,4.0700612470607684e-08
THREAD_AWARE_RAG,ORACLE_TASK_STATE_RAG,REQUESTER,36,0.0,0.30555556,-0.30555556,0.14675926,0.76314103,-0.61638177,0,11,25,0.0009765625,2.8541632911240624e-07,36,-0.97897898,True,False,0.0087890625,3.424995949348875e-06
THREAD_AWARE_RAG,ORACLE_TASK_STATE_RAG,TASK_HISTORY,42,0.07142857,0.26190476,-0.19047619,0.49132224,0.78414348,-0.29282124,2,10,30,0.03857421875,1.0665674014670222e-05,40,-0.8,True,False,0.27001953125,7.751720379833023e-05
STANDARD_RAG,ORACLE_TASK_STATE_RAG,PRIMARY_OVERALL,223,0.12556054,0.65919283,-0.53363229,0.36120169,0.89397941,-0.53277772,5,124,94,8.422465982981402e-31,4.570917155377292e-32,195,-0.96603872,True,False,1.3475945572770243e-29,7.770559164141396e-31
STANDARD_RAG,ORACLE_TASK_STATE_RAG,ACTOR_RESPONSIBILITY,45,0.0,0.75555556,-0.75555556,0.09218855,0.95241894,-0.86023039,0,34,11,1.1641532182693481e-10,5.324471886067851e-10,45,-1.0,True,False,1.5133991837501526e-09,7.986707829101777e-09
STANDARD_RAG,ORACLE_TASK_STATE_RAG,CLOSED_TASKS,50,0.3,0.84,-0.54,0.47466667,0.92582906,-0.45116239,1,28,21,1.1175870895385742e-07,1.3787667844229566e-06,34,-0.91428571,True,False,1.2293457984924316e-06,1.3787667844229566e-05
STANDARD_RAG,ORACLE_TASK_STATE_RAG,OPEN_TASKS,50,0.14,0.98,-0.84,0.49613564,0.996,-0.49986436,0,42,8,4.547473508864641e-13,9.674433069481992e-09,43,-1.0,True,False,6.366462912410498e-12,1.257676299032659e-07
STANDARD_RAG,ORACLE_TASK_STATE_RAG,REQUESTER,36,0.02777778,0.30555556,-0.27777778,0.21388889,0.76314103,-0.54925214,0,10,26,0.001953125,6.444498192703076e-07,33,-0.99286988,True,False,0.015625,7.088948011973384e-06
STANDARD_RAG,ORACLE_TASK_STATE_RAG,TASK_HISTORY,42,0.11904762,0.26190476,-0.14285714,0.47998514,0.78414348,-0.30415834,4,10,28,0.1795654296875,9.689650474791279e-06,40,-0.80365854,True,False,1.0,7.751720379833023e-05
