split,thread_id,source_path,thread_length,nonempty_turns,event_instances,event_types,request_action_instances,deliver_action_data_instances,amend_instances,lexical_indicators,raw_participant_count,selection_reasons,candidate_id
dev,campbell-l_inbox1277,data/dev/campbell-l_inbox1277.json,4,4,23,Amend_Data;Deliver_Action_Data;Deliver_Data;Deliver_Meeting_Data;Request_Action,8,9,1,commitment;completion;modify;request,15,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; contains Amend event; has deterministic completion lexical signal; has deterministic modify lexical signal,MAILEX_CAND_001
test,germany-c_inbox223,data/test/germany-c_inbox223.json,7,7,17,Amend_Data;Deliver_Action_Data;Deliver_Data;Request_Action;Request_Action_Data;Request_Data,2,6,1,commitment;completion;confirm;deadline;reject;request,12,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; contains Amend event; has deterministic deadline lexical signal; has deterministic completion lexical signal,MAILEX_CAND_002
dev,crandell-s_inbox99,data/dev/crandell-s_inbox99.json,5,5,14,Amend_Data;Deliver_Action_Data;Deliver_Data;Deliver_Meeting_Data;Request_Action;Request_Data,1,7,1,cancel;commitment;completion;deadline;modify;request,7,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; contains Amend event; has deterministic deadline lexical signal; has deterministic completion lexical signal,MAILEX_CAND_003
train,beck-s_inbox5,data/train/beck-s_inbox5.json,4,3,18,Deliver_Action_Data;Deliver_Data;Request_Action;Request_Data,7,9,0,commitment;completion;request,22,contains Request_Action; contains Deliver_Action_Data; has deterministic completion lexical signal,MAILEX_CAND_004
dev,heard-m_inbox85,data/dev/heard-m_inbox85.json,5,5,26,Amend_Data;Deliver_Action_Data;Deliver_Data;Request_Action_Data;Request_Data,0,16,2,commitment;completion;confirm;deadline;modify;request,6,contains Deliver_Action_Data; contains Amend event; has deterministic deadline lexical signal; has deterministic completion lexical signal; has deterministic modify lexical signal; has deterministic confirm lexical signal,MAILEX_CAND_005
train,lavorato-j_inbox97,data/train/lavorato-j_inbox97.json,4,4,16,Deliver_Action_Data;Request_Action,4,12,0,commitment;completion;deadline;reject;request,11,contains Request_Action; contains Deliver_Action_Data; has deterministic deadline lexical signal; has deterministic completion lexical signal; has deterministic reject lexical signal,MAILEX_CAND_006
train,schoolcraft-d_inbox_junk648,data/train/schoolcraft-d_inbox_junk648.json,5,5,19,Deliver_Action_Data;Deliver_Data;Deliver_Meeting_Data;Request_Action;Request_Data,6,8,0,commitment;confirm;request,17,contains Request_Action; contains Deliver_Action_Data; has deterministic confirm lexical signal,MAILEX_CAND_007
dev,kaminski-v_inbox_254,data/dev/kaminski-v_inbox_254.json,5,5,17,Deliver_Action_Data;Deliver_Data;Request_Action;Request_Action_Data;Request_Meeting,4,8,0,deadline;reject;request,8,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; has deterministic deadline lexical signal; has deterministic reject lexical signal,MAILEX_CAND_008
train,kaminski-v_inbox254,data/train/kaminski-v_inbox254.json,5,5,17,Deliver_Action_Data;Deliver_Data;Request_Action;Request_Action_Data;Request_Meeting,4,8,0,deadline;reject;request,8,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; has deterministic deadline lexical signal; has deterministic reject lexical signal,MAILEX_CAND_009
dev,blair-l_inbox164,data/dev/blair-l_inbox164.json,3,3,23,Deliver_Action_Data;Deliver_Data;Request_Action;Request_Data,1,12,0,commitment;confirm;deadline;reject;request,13,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; has deterministic deadline lexical signal; has deterministic reject lexical signal; has deterministic confirm lexical signal,MAILEX_CAND_010
train,schoolcraft-d_inbox_junk289,data/train/schoolcraft-d_inbox_junk289.json,3,3,15,Deliver_Action_Data;Request_Action;Request_Data,7,7,0,commitment;confirm;request,8,contains Request_Action; contains Deliver_Action_Data; has deterministic confirm lexical signal,MAILEX_CAND_011
dev,rapp-b_inbox_397,data/dev/rapp-b_inbox_397.json,5,5,12,Deliver_Action_Data;Deliver_Data;Request_Action;Request_Data,6,3,0,commitment;confirm;deadline;modify;request,19,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; has deterministic deadline lexical signal; has deterministic modify lexical signal; has deterministic confirm lexical signal,MAILEX_CAND_012
train,blair-l_inbox40,data/train/blair-l_inbox40.json,4,4,18,Deliver_Action_Data;Deliver_Data;Request_Action;Request_Action_Data;Request_Data,6,8,0,completion;deadline;request,11,contains Request_Action; contains Deliver_Action_Data; has deterministic deadline lexical signal; has deterministic completion lexical signal,MAILEX_CAND_013
train,wolfe-j_inbox73,data/train/wolfe-j_inbox73.json,5,5,16,Deliver_Action_Data;Deliver_Data;Deliver_Meeting_Data;Request_Action;Request_Action_Data,3,7,0,commitment;modify;request,8,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; has deterministic modify lexical signal,MAILEX_CAND_014
train,watson-k_inbox347,data/train/watson-k_inbox347.json,5,5,12,Deliver_Action_Data;Request_Action;Request_Action_Data;Request_Data,3,6,0,commitment;confirm;reject;request,24,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; has deterministic reject lexical signal; has deterministic confirm lexical signal,MAILEX_CAND_015
