pilot_id,candidate_id,thread_id,split,source_path,thread_length,nonempty_turns,event_instances,event_types,request_action_instances,deliver_action_data_instances,amend_instances,lexical_indicators,raw_participant_count,selection_reasons
P001,MAILEX_CAND_001,campbell-l_inbox1277,dev,data/dev/campbell-l_inbox1277.json,4,4,23,Amend_Data;Deliver_Action_Data;Deliver_Data;Deliver_Meeting_Data;Request_Action,8,9,1,commitment;completion;modify;request,15,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; contains Amend event; has deterministic completion lexical signal; has deterministic modify lexical signal
P002,MAILEX_CAND_002,germany-c_inbox223,test,data/test/germany-c_inbox223.json,7,7,17,Amend_Data;Deliver_Action_Data;Deliver_Data;Request_Action;Request_Action_Data;Request_Data,2,6,1,commitment;completion;confirm;deadline;reject;request,12,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; contains Amend event; has deterministic deadline lexical signal; has deterministic completion lexical signal
P003,MAILEX_CAND_003,crandell-s_inbox99,dev,data/dev/crandell-s_inbox99.json,5,5,14,Amend_Data;Deliver_Action_Data;Deliver_Data;Deliver_Meeting_Data;Request_Action;Request_Data,1,7,1,cancel;commitment;completion;deadline;modify;request,7,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; contains Amend event; has deterministic deadline lexical signal; has deterministic completion lexical signal
P004,MAILEX_CAND_004,beck-s_inbox5,train,data/train/beck-s_inbox5.json,4,3,18,Deliver_Action_Data;Deliver_Data;Request_Action;Request_Data,7,9,0,commitment;completion;request,22,contains Request_Action; contains Deliver_Action_Data; has deterministic completion lexical signal
P005,MAILEX_CAND_005,heard-m_inbox85,dev,data/dev/heard-m_inbox85.json,5,5,26,Amend_Data;Deliver_Action_Data;Deliver_Data;Request_Action_Data;Request_Data,0,16,2,commitment;completion;confirm;deadline;modify;request,6,contains Deliver_Action_Data; contains Amend event; has deterministic deadline lexical signal; has deterministic completion lexical signal; has deterministic modify lexical signal; has deterministic confirm lexical signal
P006,MAILEX_CAND_006,lavorato-j_inbox97,train,data/train/lavorato-j_inbox97.json,4,4,16,Deliver_Action_Data;Request_Action,4,12,0,commitment;completion;deadline;reject;request,11,contains Request_Action; contains Deliver_Action_Data; has deterministic deadline lexical signal; has deterministic completion lexical signal; has deterministic reject lexical signal
P007,MAILEX_CAND_007,schoolcraft-d_inbox_junk648,train,data/train/schoolcraft-d_inbox_junk648.json,5,5,19,Deliver_Action_Data;Deliver_Data;Deliver_Meeting_Data;Request_Action;Request_Data,6,8,0,commitment;confirm;request,17,contains Request_Action; contains Deliver_Action_Data; has deterministic confirm lexical signal
P008,MAILEX_CAND_008,kaminski-v_inbox_254,dev,data/dev/kaminski-v_inbox_254.json,5,5,17,Deliver_Action_Data;Deliver_Data;Request_Action;Request_Action_Data;Request_Meeting,4,8,0,deadline;reject;request,8,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; has deterministic deadline lexical signal; has deterministic reject lexical signal
P009,MAILEX_CAND_009,kaminski-v_inbox254,train,data/train/kaminski-v_inbox254.json,5,5,17,Deliver_Action_Data;Deliver_Data;Request_Action;Request_Action_Data;Request_Meeting,4,8,0,deadline;reject;request,8,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; has deterministic deadline lexical signal; has deterministic reject lexical signal
P010,MAILEX_CAND_010,blair-l_inbox164,dev,data/dev/blair-l_inbox164.json,3,3,23,Deliver_Action_Data;Deliver_Data;Request_Action;Request_Data,1,12,0,commitment;confirm;deadline;reject;request,13,request followed by later action-related MailEx event; contains Request_Action; contains Deliver_Action_Data; has deterministic deadline lexical signal; has deterministic reject lexical signal; has deterministic confirm lexical signal
