annotator_id,pilot_id,thread_id,task_id,task_description,initial_message_id,final_observed_state,final_state_confidence,number_of_transitions,notes
,P001,campbell-l_inbox1277,,,,,,,
,P002,germany-c_inbox223,,,,,,,
,P003,crandell-s_inbox99,,,,,,,
,P004,beck-s_inbox5,,,,,,,
,P005,heard-m_inbox85,,,,,,,
,P006,lavorato-j_inbox97,,,,,,,
,P007,schoolcraft-d_inbox_junk648,,,,,,,
,P008,kaminski-v_inbox_254,,,,,,,
,P009,kaminski-v_inbox254,,,,,,,
,P010,blair-l_inbox164,,,,,,,
,P011,schoolcraft-d_inbox_junk289,,,,,,,
,P012,rapp-b_inbox_397,,,,,,,
,P013,blair-l_inbox40,,,,,,,
,P014,wolfe-j_inbox73,,,,,,,
,P015,watson-k_inbox347,,,,,,,
,P016,buy-r_inbox716,,,,,,,
,P017,ward-k_inbox310,,,,,,,
,P018,lavorato-j_inbox15,,,,,,,
,P019,hernandez-j_inbox268,,,,,,,
,P020,mims-thurston-p_inbox272,,,,,,,
,P021,geaccone-t_inbox237,,,,,,,
,P022,dasovich-j_inbox1731,,,,,,,
,P023,ybarbo-p_inbox125,,,,,,,
,P024,kaminski-v_inbox687,,,,,,,
,P025,mccarty-d_inbox96,,,,,,,
,P026,campbell-l_inbox1169,,,,,,,
,P027,mclaughlin-e_inbox163,,,,,,,
,P028,germany-c_inbox27,,,,,,,
,P029,rapp-b_inbox273,,,,,,,
,P030,watson-k_inbox9,,,,,,,
,P031,buy-r_inbox396,,,,,,,
,P032,corman-s_inbox_archives142,,,,,,,
,P033,sager-e_inbox522,,,,,,,
,P034,ward-k_inbox120,,,,,,,
,P035,heard-m_inbox_master_netting3,,,,,,,
,P036,mims-thurston-p_inbox348,,,,,,,
,P037,schoolcraft-d_inbox_junk204,,,,,,,
,P038,heard-m_inbox_48,,,,,,,
,P039,lokey-t_inbox578,,,,,,,
,P040,keiser-k_inbox166,,,,,,,
,P041,watson-k_inbox440,,,,,,,
,P042,lay-k_inbox187,,,,,,,
,P043,lokey-t_inbox734,,,,,,,
,P044,steffes-j_inbox386,,,,,,,
,P045,parks-j_inbox_147,,,,,,,
,P046,heard-m_inbox102,,,,,,,
,P047,nemec-g_inbox_21,,,,,,,
,P048,blair-l_inbox_180,,,,,,,
,P049,derrick-j_inbox111,,,,,,,
,P050,tycholiz-b_inbox333,,,,,,,
