split,thread_id,source_path,thread_length,nonempty_turns,empty_turns,event_instances,event_groups,event_types,request_action_instances,deliver_action_data_instances,amend_instances,has_later_action_after_request,lexical_request_turns,lexical_commitment_turns,lexical_deadline_turns,lexical_completion_turns,lexical_cancel_turns,lexical_modify_turns,lexical_reject_turns,lexical_confirm_turns,raw_segments,raw_participant_count,raw_has_date
train,bass-e_inbox114,data/train/bass-e_inbox114.json,2,2,0,5,5,Deliver_Action_Data;Deliver_Data;Request_Action;Request_Data,1,1,0,0,1,1,0,0,1,1,1,0,2,5,0
train,bass-e_inbox136,data/train/bass-e_inbox136.json,3,3,0,8,7,Deliver_Action_Data;Deliver_Meeting_Data;Request_Meeting;Request_Meeting_Data,0,1,0,0,1,1,2,0,1,1,1,0,3,7,0
train,bass-e_inbox137,data/train/bass-e_inbox137.json,2,2,0,1,1,Request_Action,1,0,0,0,0,0,0,0,0,0,0,0,2,12,0
train,bass-e_inbox195,data/train/bass-e_inbox195.json,4,3,1,6,6,Amend_Meeting_Data;Deliver_Data;Request_Action;Request_Meeting,2,0,1,0,2,2,1,0,1,0,1,0,4,40,0
train,bass-e_inbox217,data/train/bass-e_inbox217.json,2,2,0,3,3,Deliver_Data;Request_Action;Request_Data,1,0,0,0,1,1,0,0,0,0,0,0,2,26,0
train,bass-e_inbox26,data/train/bass-e_inbox26.json,2,2,0,2,2,Request_Action;Request_Data,1,0,0,0,1,0,0,0,0,0,0,0,2,6,0
train,bass-e_inbox290,data/train/bass-e_inbox290.json,2,1,1,4,4,Deliver_Action_Data;Deliver_Meeting_Data;Request_Action;Request_Meeting,1,1,0,0,1,1,0,0,0,0,0,0,2,37,0
train,bass-e_inbox298,data/train/bass-e_inbox298.json,5,5,0,5,5,Deliver_Action_Data;Request_Data,0,2,0,0,1,1,0,0,1,2,1,0,5,7,0
train,bass-e_inbox39,data/train/bass-e_inbox39.json,6,5,1,6,6,Deliver_Action_Data;Deliver_Data;Request_Action;Request_Data,2,1,0,0,1,0,0,1,0,0,0,0,6,12,0
train,bass-e_inbox47,data/train/bass-e_inbox47.json,3,3,0,9,8,Deliver_Action_Data;Deliver_Meeting_Data;Request_Action;Request_Data;Request_Meeting,2,2,0,0,2,1,0,0,0,0,0,0,3,6,0
train,bass-e_inbox52,data/train/bass-e_inbox52.json,2,2,0,2,2,Deliver_Data;Request_Data,0,0,0,0,0,0,0,1,0,0,0,0,2,31,0
train,bass-e_inbox53,data/train/bass-e_inbox53.json,2,2,0,4,3,Deliver_Meeting_Data;Request_Meeting;Request_Meeting_Data,0,0,0,0,1,1,0,0,0,0,0,0,2,23,0
train,bass-e_inbox79,data/train/bass-e_inbox79.json,3,3,0,6,6,Deliver_Action_Data;Deliver_Data;Deliver_Meeting_Data;Request_Action;Request_Meeting,1,1,0,1,2,1,0,0,0,0,0,0,3,47,0
train,bass-e_inbox88,data/train/bass-e_inbox88.json,3,2,1,6,3,Deliver_Action_Data;Deliver_Data;Deliver_Meeting_Data,0,4,0,0,1,1,1,0,0,0,0,0,3,9,0
train,bass-e_inbox89,data/train/bass-e_inbox89.json,3,1,2,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0
train,beck-s_inbox141,data/train/beck-s_inbox141.json,2,2,0,15,5,Amend_Data;Deliver_Action_Data;Deliver_Data;Request_Data;Request_Meeting,0,1,1,0,2,0,1,1,0,0,0,0,2,65,0
train,beck-s_inbox148,data/train/beck-s_inbox148.json,2,2,0,2,1,Deliver_Action_Data,0,2,0,0,0,1,0,1,0,0,0,0,3,6,0
train,beck-s_inbox149,data/train/beck-s_inbox149.json,2,2,0,7,5,Deliver_Action_Data;Deliver_Data;Deliver_Meeting_Data;Request_Data,0,3,0,0,2,2,1,0,0,0,0,0,2,6,0
train,beck-s_inbox272,data/train/beck-s_inbox272.json,3,2,1,6,4,Deliver_Action_Data;Deliver_Data;Deliver_Meeting_Data,0,3,0,0,2,2,1,2,0,0,0,0,3,8,0
train,beck-s_inbox32,data/train/beck-s_inbox32.json,2,2,0,3,3,Deliver_Action_Data;Deliver_Data,0,1,0,0,1,2,0,1,0,0,0,0,2,6,0
train,beck-s_inbox36,data/train/beck-s_inbox36.json,4,4,0,12,7,Deliver_Data;Request_Action;Request_Data,3,0,0,0,3,1,1,1,0,0,0,0,4,26,0
train,beck-s_inbox451,data/train/beck-s_inbox451.json,3,3,0,6,6,Deliver_Action_Data;Request_Action;Request_Data;Request_Meeting,1,3,0,1,1,1,0,0,0,0,0,0,3,12,0
train,beck-s_inbox484,data/train/beck-s_inbox484.json,3,3,0,9,5,Deliver_Action_Data;Deliver_Data;Request_Data,0,4,0,0,3,1,0,2,0,0,0,0,3,11,0
train,beck-s_inbox5,data/train/beck-s_inbox5.json,4,3,1,18,5,Deliver_Action_Data;Deliver_Data;Request_Action;Request_Data,7,9,0,0,2,1,0,1,0,0,0,0,4,22,0
train,beck-s_inbox527,data/train/beck-s_inbox527.json,3,3,0,9,5,Deliver_Action_Data;Deliver_Data;Request_Action;Request_Data,1,1,0,0,2,1,0,2,0,0,0,0,3,10,0
train,beck-s_inbox541,data/train/beck-s_inbox541.json,3,3,0,6,5,Deliver_Action_Data;Deliver_Data;Deliver_Meeting_Data;Request_Action_Data,0,2,0,0,1,2,0,2,0,1,0,0,3,25,0
train,beck-s_inbox629,data/train/beck-s_inbox629.json,2,2,0,4,3,Deliver_Action_Data;Deliver_Data,0,1,0,0,0,1,0,0,0,1,0,0,2,6,0
