condition,question_family,questions,exact_accuracy,mean_structured_score,controlled_failure_accuracy,evidence_precision,evidence_recall,evidence_f1,evidence_exact_accuracy,evidence_source_validity,errors,api_calls,input_tokens,output_tokens,total_tokens,average_tokens_per_question,mean_latency_seconds
STANDARD_RAG,ACTOR_RESPONSIBILITY,9,0.11111111,0.26137566,1.0,0.92592593,0.66666667,0.71375662,0.22222222,1.0,0,9,11571,3502,15073,1674.7778,7.25931922
STANDARD_RAG,BLOCKED_BY,2,0.0,0.0,1.0,0.41666666,1.0,0.58333334,0.0,1.0,0,2,2649,738,3387,1693.5,3.599585
STANDARD_RAG,CLOSED_TASKS,10,0.1,0.35,0.7,0.7,0.60833333,0.62904762,0.3,1.0,0,10,12701,4112,16813,1681.3,4.4723987
STANDARD_RAG,DEADLINE,1,0.0,0.5,1.0,1.0,0.5,0.66666667,0.0,1.0,0,1,1362,228,1590,1590.0,6.570174
STANDARD_RAG,NO_TASK_CONTROL,5,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1.0,0,5,6546,459,7005,1401.0,4.9577994
STANDARD_RAG,OPEN_TASKS,10,0.2,0.49,0.8,0.89166667,0.74166667,0.74738095,0.2,1.0,0,10,12725,4180,16905,1690.5,4.3237779
STANDARD_RAG,REQUESTER,6,0.16666667,0.16666667,1.0,0.16666667,0.16666667,0.16666667,0.16666667,1.0,0,6,7752,1786,9538,1589.6667,8.12846333
STANDARD_RAG,TASK_HISTORY,10,0.0,0.46238095,1.0,0.82166667,0.90166667,0.8286508,0.2,1.0,0,10,12814,4966,17780,1778.0,5.9346394
STANDARD_RAG,WAITING_FOR,4,0.0,0.1,1.0,1.0,0.6875,0.76666667,0.5,1.0,0,4,5187,1294,6481,1620.25,2.1390635
THREAD_AWARE_RAG,ACTOR_RESPONSIBILITY,9,0.11111111,0.23544974,1.0,0.86666667,0.61111111,0.69664903,0.11111111,1.0,0,9,11712,3240,14952,1661.3333,5.86925911
THREAD_AWARE_RAG,BLOCKED_BY,2,0.0,0.0,1.0,0.41666666,1.0,0.58333334,0.0,1.0,0,2,2649,732,3381,1690.5,3.702644
THREAD_AWARE_RAG,CLOSED_TASKS,10,0.2,0.38333333,0.7,0.71666667,0.61666667,0.63666667,0.4,1.0,0,10,12875,4246,17121,1712.1,4.6915324
THREAD_AWARE_RAG,DEADLINE,1,0.0,0.4,1.0,1.0,0.5,0.66666667,0.0,1.0,0,1,1362,398,1760,1760.0,12.269741
THREAD_AWARE_RAG,NO_TASK_CONTROL,5,0.8,0.8,0.8,1.0,1.0,1.0,1.0,1.0,0,5,6546,444,6990,1398.0,5.6417488
THREAD_AWARE_RAG,OPEN_TASKS,10,0.2,0.49,0.8,0.89428571,0.79166667,0.77198413,0.3,1.0,0,10,12865,4395,17260,1726.0,4.6090958
THREAD_AWARE_RAG,REQUESTER,6,0.16666667,0.16666667,1.0,0.20833333,0.33333333,0.23333333,0.16666667,1.0,0,6,7752,2101,9853,1642.1667,6.18834517
THREAD_AWARE_RAG,TASK_HISTORY,10,0.1,0.48571429,1.0,0.84166667,0.91,0.84547619,0.3,1.0,0,10,12955,5411,18366,1836.6,6.6307241
THREAD_AWARE_RAG,WAITING_FOR,4,0.0,0.1,1.0,1.0,0.75,0.83333334,0.5,1.0,0,4,5187,1369,6556,1639.0,5.04672175
ORACLE_TASK_STATE_RAG,ACTOR_RESPONSIBILITY,9,0.88888889,0.94444444,1.0,0.94444444,1.0,0.96296296,0.88888889,0.88888889,0,9,18913,6352,25265,2807.2222,16.79892578
ORACLE_TASK_STATE_RAG,BLOCKED_BY,2,0.5,0.83333334,1.0,0.375,1.0,0.53333334,0.0,0.5,0,2,4417,866,5283,2641.5,4.937348
ORACLE_TASK_STATE_RAG,CLOSED_TASKS,10,0.7,0.7,0.7,0.9,0.955,0.91460317,0.5,0.7,0,10,20448,4490,24938,2493.8,20.2549928
ORACLE_TASK_STATE_RAG,DEADLINE,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,2306,558,2864,2864.0,8.658519
ORACLE_TASK_STATE_RAG,NO_TASK_CONTROL,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,5,11411,277,11688,2337.6,15.6504676
ORACLE_TASK_STATE_RAG,OPEN_TASKS,10,0.9,0.9,0.9,0.95,1.0,0.96666667,0.9,0.9,0,10,20438,7284,27722,2772.2,31.3830179
ORACLE_TASK_STATE_RAG,REQUESTER,6,0.33333333,0.84126984,1.0,0.49166667,1.0,0.63015873,0.0,0.33333333,0,6,13685,2813,16498,2749.6667,18.1284385
ORACLE_TASK_STATE_RAG,TASK_HISTORY,10,0.7,0.86666667,1.0,0.86666667,1.0,0.91333333,0.7,1.0,0,10,20528,6080,26608,2660.8,32.5689598
ORACLE_TASK_STATE_RAG,WAITING_FOR,4,0.75,0.875,1.0,0.91666667,1.0,0.95,0.75,1.0,0,4,9204,1659,10863,2715.75,25.45914275
