left_condition,right_condition,scope,questions,left_exact_accuracy,right_exact_accuracy,absolute_exact_difference_left_minus_right,left_structured_score,right_structured_score,absolute_structured_difference_left_minus_right,left_wins,right_wins,ties,mcnemar_p_value,wilcoxon_p_value,wilcoxon_n_nonzero,rank_biserial_effect_left_minus_right,primary_family_test,small_sample_test_suppressed,mcnemar_holm_p_value,wilcoxon_holm_p_value
STANDARD_RAG,THREAD_AWARE_RAG,PRIMARY_OVERALL,45,0.11111111,0.15555556,-0.04444445,0.36391534,0.37132275,-0.00740741,0,2,43,0.5,0.5483429354628135,7,-0.28571429,True,False,0.5,0.5483429354628135
STANDARD_RAG,THREAD_AWARE_RAG,ACTOR_RESPONSIBILITY,9,0.11111111,0.11111111,0.0,0.26137566,0.23544974,0.02592592,0,0,9,,,3,0.0,True,True,,
STANDARD_RAG,THREAD_AWARE_RAG,CLOSED_TASKS,10,0.1,0.2,-0.1,0.35,0.38333333,-0.03333333,0,1,9,,,1,-1.0,True,True,,
STANDARD_RAG,THREAD_AWARE_RAG,OPEN_TASKS,10,0.2,0.2,0.0,0.49,0.49,0.0,0,0,10,,,0,0.0,True,True,,
STANDARD_RAG,THREAD_AWARE_RAG,REQUESTER,6,0.16666667,0.16666667,0.0,0.16666667,0.16666667,0.0,0,0,6,,,0,0.0,True,True,,
STANDARD_RAG,THREAD_AWARE_RAG,TASK_HISTORY,10,0.0,0.1,-0.1,0.46238095,0.48571429,-0.02333334,0,1,9,,,3,-0.33333333,True,True,,
THREAD_AWARE_RAG,ORACLE_TASK_STATE_RAG,PRIMARY_OVERALL,45,0.15555556,0.73333333,-0.57777777,0.37132275,0.84920635,-0.4778836,0,26,19,2.9802322387695312e-08,3.2756349315345036e-07,34,-1.0,True,False,5.960464477539063e-08,6.551269863069007e-07
THREAD_AWARE_RAG,ORACLE_TASK_STATE_RAG,ACTOR_RESPONSIBILITY,9,0.11111111,0.88888889,-0.77777778,0.23544974,0.94444444,-0.7089947,0,7,2,,,8,-1.0,True,True,,
THREAD_AWARE_RAG,ORACLE_TASK_STATE_RAG,CLOSED_TASKS,10,0.2,0.7,-0.5,0.38333333,0.7,-0.31666667,0,5,5,,,5,-1.0,True,True,,
THREAD_AWARE_RAG,ORACLE_TASK_STATE_RAG,OPEN_TASKS,10,0.2,0.9,-0.7,0.49,0.9,-0.41,0,7,3,,,7,-1.0,True,True,,
THREAD_AWARE_RAG,ORACLE_TASK_STATE_RAG,REQUESTER,6,0.16666667,0.33333333,-0.16666666,0.16666667,0.84126984,-0.67460317,0,1,5,,,5,-1.0,True,True,,
THREAD_AWARE_RAG,ORACLE_TASK_STATE_RAG,TASK_HISTORY,10,0.1,0.7,-0.6,0.48571429,0.86666667,-0.38095238,0,6,4,,,9,-1.0,True,True,,
STANDARD_RAG,ORACLE_TASK_STATE_RAG,PRIMARY_OVERALL,45,0.11111111,0.73333333,-0.62222222,0.36391534,0.84920635,-0.48529101,0,28,17,7.450580596923828e-09,1.492259447668558e-07,36,-1.0,True,False,2.2351741790771484e-08,4.476778343005674e-07
STANDARD_RAG,ORACLE_TASK_STATE_RAG,ACTOR_RESPONSIBILITY,9,0.11111111,0.88888889,-0.77777778,0.26137566,0.94444444,-0.68306878,0,7,2,,,8,-1.0,True,True,,
STANDARD_RAG,ORACLE_TASK_STATE_RAG,CLOSED_TASKS,10,0.1,0.7,-0.6,0.35,0.7,-0.35,0,6,4,,,6,-1.0,True,True,,
STANDARD_RAG,ORACLE_TASK_STATE_RAG,OPEN_TASKS,10,0.2,0.9,-0.7,0.49,0.9,-0.41,0,7,3,,,7,-1.0,True,True,,
STANDARD_RAG,ORACLE_TASK_STATE_RAG,REQUESTER,6,0.16666667,0.33333333,-0.16666666,0.16666667,0.84126984,-0.67460317,0,1,5,,,5,-1.0,True,True,,
STANDARD_RAG,ORACLE_TASK_STATE_RAG,TASK_HISTORY,10,0.0,0.7,-0.7,0.46238095,0.86666667,-0.40428572,0,7,3,,,10,-1.0,True,True,,
