condition,question_family,questions,exact_accuracy,mean_structured_score,controlled_failure_accuracy,evidence_precision,evidence_recall,evidence_f1,evidence_exact_accuracy,evidence_source_validity,errors,api_calls,input_tokens,output_tokens,total_tokens,average_tokens_per_question,mean_latency_seconds
STANDARD_RAG,ACTOR_RESPONSIBILITY,9,0.0,0.07407407,0.88888889,0.8,0.66666667,0.68289242,0.0,1.0,0,9,11571,2559,14130,1570.0,3.45525078
STANDARD_RAG,BLOCKED_BY,2,0.0,0.0,0.0,0.225,1.0,0.36666667,0.0,1.0,0,2,2649,223,2872,1436.0,1.8818625
STANDARD_RAG,CLOSED_TASKS,10,0.1,0.3,0.5,0.66333333,0.86333333,0.71865079,0.3,1.0,0,10,12701,3136,15837,1583.7,3.6889372
STANDARD_RAG,DEADLINE,1,0.0,0.4,1.0,1.0,0.5,0.66666667,0.0,1.0,0,1,1362,360,1722,1722.0,3.790404
STANDARD_RAG,NO_TASK_CONTROL,5,1.0,1.0,1.0,0.85,1.0,0.88,0.8,1.0,0,5,6546,333,6879,1375.8,1.2784808
STANDARD_RAG,OPEN_TASKS,10,0.2,0.55424242,0.9,0.80666667,0.925,0.81428572,0.3,1.0,0,10,12725,3538,16263,1626.3,4.525307
STANDARD_RAG,REQUESTER,6,0.0,0.22222222,1.0,0.4,1.0,0.55,0.0,1.0,0,6,7752,3792,11544,1924.0,7.12921
STANDARD_RAG,TASK_HISTORY,10,0.0,0.42606061,1.0,0.715,0.95833333,0.79349206,0.1,1.0,0,10,12814,4167,16981,1698.1,4.6449122
STANDARD_RAG,WAITING_FOR,4,0.0,0.2,1.0,0.95,0.75,0.80555556,0.25,1.0,0,4,5187,1285,6472,1618.0,3.71117775
THREAD_AWARE_RAG,ACTOR_RESPONSIBILITY,9,0.0,0.0,0.88888889,0.79259259,0.66666667,0.67283951,0.22222222,1.0,0,9,11712,2919,14631,1625.6667,3.88860978
THREAD_AWARE_RAG,BLOCKED_BY,2,0.0,0.0,0.0,0.225,1.0,0.36666667,0.0,1.0,0,2,2649,223,2872,1436.0,3.686479
THREAD_AWARE_RAG,CLOSED_TASKS,10,0.1,0.28333333,0.5,0.68,0.83333333,0.69642857,0.4,1.0,0,10,12875,3157,16032,1603.2,3.7060802
THREAD_AWARE_RAG,DEADLINE,1,0.0,0.4,1.0,1.0,0.5,0.66666667,0.0,1.0,0,1,1362,350,1712,1712.0,3.602025
THREAD_AWARE_RAG,NO_TASK_CONTROL,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,5,6546,297,6843,1368.6,1.1735196
THREAD_AWARE_RAG,OPEN_TASKS,10,0.2,0.55424242,1.0,0.77,0.85,0.78888889,0.3,1.0,0,10,12865,3232,16097,1609.7,3.9008946
THREAD_AWARE_RAG,REQUESTER,6,0.0,0.0,1.0,0.24166667,0.66666667,0.34444444,0.0,0.83333333,0,6,7752,2209,9961,1660.1667,4.32059967
THREAD_AWARE_RAG,TASK_HISTORY,10,0.0,0.45904762,1.0,0.73071429,0.95,0.81072039,0.3,1.0,0,10,12955,3794,16749,1674.9,4.2253444
THREAD_AWARE_RAG,WAITING_FOR,4,0.0,0.2,1.0,0.5375,0.6875,0.58035714,0.25,0.75,0,4,5187,1351,6538,1634.5,3.761336
ORACLE_TASK_STATE_RAG,ACTOR_RESPONSIBILITY,9,0.88888889,0.92063492,1.0,1.0,1.0,1.0,1.0,1.0,0,9,18913,6121,25034,2781.5556,7.17769289
ORACLE_TASK_STATE_RAG,BLOCKED_BY,2,0.5,0.83333334,1.0,0.625,1.0,0.7,0.5,1.0,0,2,4417,826,5243,2621.5,4.408359
ORACLE_TASK_STATE_RAG,CLOSED_TASKS,10,0.8,0.8,0.8,0.86,0.955,0.88293651,0.5,1.0,0,10,20448,4090,24538,2453.8,5.2337922
ORACLE_TASK_STATE_RAG,DEADLINE,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,1,2306,577,2883,2883.0,8.420321
ORACLE_TASK_STATE_RAG,NO_TASK_CONTROL,5,1.0,1.0,1.0,0.6,0.6,0.6,0.6,0.6,0,5,11411,289,11700,2340.0,1.0613752
ORACLE_TASK_STATE_RAG,OPEN_TASKS,10,0.9,0.98888889,1.0,0.98,1.0,0.98888889,0.9,1.0,0,10,20438,6401,26839,2683.9,7.096874
ORACLE_TASK_STATE_RAG,REQUESTER,6,0.0,0.42539683,1.0,0.4,1.0,0.55,0.0,1.0,0,6,13685,6477,20162,3360.3333,11.91543817
ORACLE_TASK_STATE_RAG,TASK_HISTORY,10,0.5,0.81082251,1.0,0.80738095,1.0,0.87230769,0.5,1.0,0,10,20528,7369,27897,2789.7,7.8256675
ORACLE_TASK_STATE_RAG,WAITING_FOR,4,0.25,0.65,1.0,0.875,1.0,0.91666667,0.75,1.0,0,4,9204,2158,11362,2840.5,5.764492
