left_condition,right_condition,scope,questions,left_exact_accuracy,right_exact_accuracy,absolute_exact_difference_left_minus_right,left_structured_score,right_structured_score,absolute_structured_difference_left_minus_right,left_wins,right_wins,ties,mcnemar_p_value,wilcoxon_p_value,wilcoxon_n_nonzero,rank_biserial_effect_left_minus_right,primary_family_test,small_sample_test_suppressed,mcnemar_holm_p_value,wilcoxon_holm_p_value
STANDARD_RAG,THREAD_AWARE_RAG,PRIMARY_OVERALL,45,0.06666667,0.06666667,0.0,0.32895623,0.28813853,0.0408177,1,1,43,1.0,0.1952308709703821,13,0.41758242,True,False,1.0,0.1952308709703821
STANDARD_RAG,THREAD_AWARE_RAG,ACTOR_RESPONSIBILITY,9,0.0,0.0,0.0,0.07407407,0.0,0.07407407,0,0,9,,,1,1.0,True,True,,
STANDARD_RAG,THREAD_AWARE_RAG,CLOSED_TASKS,10,0.1,0.1,0.0,0.3,0.28333333,0.01666667,0,0,10,,,1,1.0,True,True,,
STANDARD_RAG,THREAD_AWARE_RAG,OPEN_TASKS,10,0.2,0.2,0.0,0.55424242,0.55424242,0.0,1,1,8,,,2,0.0,True,True,,
STANDARD_RAG,THREAD_AWARE_RAG,REQUESTER,6,0.0,0.0,0.0,0.22222222,0.0,0.22222222,0,0,6,,,3,1.0,True,True,,
STANDARD_RAG,THREAD_AWARE_RAG,TASK_HISTORY,10,0.0,0.0,0.0,0.42606061,0.45904762,-0.03298701,0,0,10,,,6,-0.14285714,True,True,,
THREAD_AWARE_RAG,ORACLE_TASK_STATE_RAG,PRIMARY_OVERALL,45,0.06666667,0.66666667,-0.6,0.28813853,0.81856021,-0.53042168,0,27,18,1.4901161193847656e-08,3.53712757829709e-08,40,-0.99268293,True,False,4.470348358154297e-08,1.061138273489127e-07
THREAD_AWARE_RAG,ORACLE_TASK_STATE_RAG,ACTOR_RESPONSIBILITY,9,0.0,0.88888889,-0.88888889,0.0,0.92063492,-0.92063492,0,8,1,,,9,-1.0,True,True,,
THREAD_AWARE_RAG,ORACLE_TASK_STATE_RAG,CLOSED_TASKS,10,0.1,0.8,-0.7,0.28333333,0.8,-0.51666667,0,7,3,,,7,-1.0,True,True,,
THREAD_AWARE_RAG,ORACLE_TASK_STATE_RAG,OPEN_TASKS,10,0.2,0.9,-0.7,0.55424242,0.98888889,-0.43464647,0,7,3,,,8,-1.0,True,True,,
THREAD_AWARE_RAG,ORACLE_TASK_STATE_RAG,REQUESTER,6,0.0,0.0,0.0,0.0,0.42539683,-0.42539683,0,0,6,,,6,-1.0,True,True,,
THREAD_AWARE_RAG,ORACLE_TASK_STATE_RAG,TASK_HISTORY,10,0.0,0.5,-0.5,0.45904762,0.81082251,-0.35177489,0,5,5,,,10,-0.89090909,True,True,,
STANDARD_RAG,ORACLE_TASK_STATE_RAG,PRIMARY_OVERALL,45,0.06666667,0.66666667,-0.6,0.32895623,0.81856021,-0.48960398,0,27,18,1.4901161193847656e-08,4.6831861989003416e-08,40,-0.98536585,True,False,4.470348358154297e-08,1.061138273489127e-07
STANDARD_RAG,ORACLE_TASK_STATE_RAG,ACTOR_RESPONSIBILITY,9,0.0,0.88888889,-0.88888889,0.07407407,0.92063492,-0.84656085,0,8,1,,,9,-1.0,True,True,,
STANDARD_RAG,ORACLE_TASK_STATE_RAG,CLOSED_TASKS,10,0.1,0.8,-0.7,0.3,0.8,-0.5,0,7,3,,,7,-1.0,True,True,,
STANDARD_RAG,ORACLE_TASK_STATE_RAG,OPEN_TASKS,10,0.2,0.9,-0.7,0.55424242,0.98888889,-0.43464647,0,7,3,,,8,-1.0,True,True,,
STANDARD_RAG,ORACLE_TASK_STATE_RAG,REQUESTER,6,0.0,0.0,0.0,0.22222222,0.42539683,-0.20317461,0,0,6,,,6,-0.85714286,True,True,,
STANDARD_RAG,ORACLE_TASK_STATE_RAG,TASK_HISTORY,10,0.0,0.5,-0.5,0.42606061,0.81082251,-0.3847619,0,5,5,,,10,-1.0,True,True,,
